"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"0023d1db-074b-41cc-b74a-36d39bf7ff33","0a79c2f4-6651-4596-8da9-0beb20b0cd7c","etsu015776","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"1977-05-29","1977","5","29","john c. warden","21b563bc-70c2-46d5-bce8-2489db2db3d8"
"0055fbfa-2378-4add-8641-b0de7f462c3a","4c172d75-993e-4378-94b7-de7116ada31d","duke10095552","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"006c7d6c-86c0-4096-b260-90c517c05300","6cd3f28c-60dc-4996-89bd-39c968828d44","vpi-v-0059501","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"00845880-3d08-49de-b063-2b1666b356a3","772a6b4d-177b-4a30-8eef-6352179b7cc3","vpi-v-0059484","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"00efe74d-d47b-4ddd-8c29-2ed06b5ad9da","https://arctos.database.museum/guid/utep:herb:61004","utep:herb:61004","diapensiaceae","galax","galax urceolata","united states","alabama",NA,NA,"1992-05-23/1992-05-23","1992","05","23","collector(s): stanley d. jones","e36691ec-c4f8-4bec-b331-b48ffa82ff49"
"011c1cd9-f6a7-4276-af60-2ade6add0982","be3103ed-4275-47bd-a19d-44b7ce716682","vpi-v-0060061","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"01778493-dc30-4a2b-b7c9-9a6fda4cd986","c3e8b0b7-0991-4b5a-a87e-a58388b1a767","ncu00080578","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1975",NA,NA,"boufford, david e.; wood, emily w.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"018211d3-6c31-415b-8954-bf2e06962934","9987fad7-a610-11e3-a341-00ff10703b0e","sjnm-v-0064866","diapensiaceae","galax","galax urceolata","united states","kentucky",-84.3333333,36.8333333,"1997-05-13","1997","5","13","heil, kenneth d.","8ec76c75-a673-4682-bfde-00a18bc12794"
"01b93580-d71d-43ec-b07b-a9602e90d7d8","b32c8990-ec49-461d-ac5c-282afe98c984","ucht045403","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"120d557c-c5be-474d-98f0-1ba00ae16b40"
"020d9e49-fd16-42d0-9b13-9ecc48815c49","b9fd6575-136c-4365-ad44-4206b6036325","ncsc00082894","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"aca26f37-3ec8-4e9e-b927-50b4944a0096"
"0274c566-27b4-4703-846a-8be8d04cf72e","0cb67ea4-b661-4e46-b3d1-4c27f909f8f7","mem004201","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"1967-10-25","1967","10","25","raymond athey","1d17fdad-d338-4ae0-9232-dbf18eaf9f66"
