"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator","accepted_name"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"026ff6ee-e3d2-4e4a-9839-fd2065f0378e","377166fa-c915-4856-ba91-ba22ef9c9fc9","PreservedSpecimen","1937-07-02",1937,7,2,"PH","John M. Fogg, Jr.","United States","Burlington","New Jersey","Locality: 0.5 mile SSW of Taunton Occurrence Remarks: NA Verbatim Locality: NA",39.85,-74.86,518,NA,"border open sandy pine-oak woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"072a031e-f7c4-4664-bc1b-f5e67c90f45b","25afda66-9e7b-4c1b-a5d8-dc633b7daa38","PreservedSpecimen","1935-04-22",1935,4,22,"MOAR","Joseph W. Adams; Myrtle T. Adams","United States","Salem","New Jersey","Locality: about 1 mi N of Broatmanville Occurrence Remarks: NA Verbatim Locality: NA",39.54,-75.08,5241,NA,"sandy, scrubby woods along Maurice River","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"0753d666-161b-4fa7-9cd9-bc33f6d1f304","1b6eb359-099d-41fd-b017-d1106da4c60a","PreservedSpecimen","1935-04-16",1935,4,16,"PH","Bayard Long","United States","Atlantic","New Jersey","Locality: N Weymouth Occurrence Remarks: NA Verbatim Locality: NA",39.54,-74.79,2318,NA,"dry open sandy pine woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"076c92c8-381c-4a58-9d0f-354d489bdef4","82ad3d53-3054-49ee-8191-1eca0dcab739","PreservedSpecimen","1934-01-28",1934,1,28,"PH","Bayard Long","United States","Cumberland","New Jersey","Locality: Manantico Creek, S of Leamings Mill Occurrence Remarks: NA Verbatim Locality: NA",39.39,-74.99,1006,NA,"moist sand + peat, pine woods (pine barrens)","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"08ee8d42-c99e-4477-afe2-b1041b5bc833","97C72DC8-91C1-4368-9318-EDFD3109081B","PreservedSpecimen","1975-08-15",1975,8,15,"CM","Boufford, D.E.; Wood, E.W.","United States","Ocean","New Jersey","Locality: 5.3 mi SE of state road 72 on state road 539, vicinity of Warren Grove Occurrence Remarks: NA Verbatim Locality: NA",39.72,-74.37,3150,NA,"dwarf forest. dry course sand","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"0b3934a3-0442-4674-b4f7-da5fc83ff404","fcfa2313-2b7a-40c0-83e3-477488b27d16","PreservedSpecimen","1936-01-12",1936,1,12,"PH","Bayard Long","United States","Camden","New Jersey","Locality: SW of Gibbsboro Occurrence Remarks: NA Verbatim Locality: NA",39.83,-74.97,1239,NA,"dry sandy open pitch pine woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"0ba9ba72-feb1-49a0-aaff-d75e31a19abf","AFB58ABE-B65B-499A-89C5-08352B24DAA0","PreservedSpecimen","1973-04-29",1973,4,29,"CM","Leberman, R.C.","United States","Ocean","New Jersey","Locality: 0.5 mi NE of Bambur Occurrence Remarks: NA Verbatim Locality: NA",39.91,-74.32,1725,NA,NA,"iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"0c8f6da4-662b-47c3-90bb-61601d54a4a2","6cb179ba-5387-4ebc-b70e-ab1f92edf740","PreservedSpecimen","1938-08-12",1938,8,12,"PH","Bayard Long","United States","Burlington","New Jersey","Locality: along Burrs Mill Brook, just S of Burrs Mill Occurrence Remarks: NA Verbatim Locality: NA",39.89,-74.65,845,NA,"sandy and peaty open woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"0daa7b5a-3831-4d36-9b63-45172373e6d5","cf3714ca-f64e-4d44-ab4d-758dc4e532f4","PreservedSpecimen","1910-05-28",1910,5,28,"PH","Bayard Long; Stewardson Brown","United States","Monmouth","New Jersey","Locality: Farmingdale, NW along P.R.R. Occurrence Remarks: NA Verbatim Locality: NA",40.2,-74.17,2577,NA,"sandy woods margin","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"0db5c027-0de8-41bc-8dbf-351a6289bbce","8510dfd8-320b-4526-911e-f2fac2ae88cd","PreservedSpecimen","1941-04-09",1941,4,9,"PH","Bayard Long","United States","Monmouth","New Jersey","Locality: on fork of Yellow Brook, 2 mi. NE of Jerseyville Occurrence Remarks: NA Verbatim Locality: NA",40.26,-74.2,1118,NA,"peaty, open thickets","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"0debb8c2-0747-416f-9ccd-a732d6138052","59319660-1706-494e-be72-99a1095331a8","PreservedSpecimen","1918-09-28",1918,9,28,"PH","Bayard Long","United States","Cumberland","New Jersey","Locality: Cedar Branch of Manatico Cr, 1 mi E Main Avenue Occurrence Remarks: NA Verbatim Locality: NA",39.39,-74.9,3247,NA,"Edge of peaty swale on streamlet","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"0ecc90a9-d8f3-406f-9ac9-711996da2a70","d6d709bf-804c-4280-9c21-a03a498358f6","PreservedSpecimen","1938-07-27",1938,7,27,"PH","Bayard Long","United States","Atlantic","New Jersey","Locality: head of Absecon Creek, ca. 2 mi. E of McKee City Occurrence Remarks: NA Verbatim Locality: NA",39.45,-74.6,1497,NA,"low, open pine-woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"133e4e32-68d4-409f-b49f-b8802bac41a4","5234a029-e374-4fbf-834e-44fa9b9c1b51","PreservedSpecimen","1935-04-22",1935,4,22,"MOAR","Joseph W. Adams; Myrtle T. Adams","United States","Salem","New Jersey","Locality: 1 mi N of Broatmanville, along Maurice River Occurrence Remarks: NA Verbatim Locality: NA",40.56,-74.59,4787,NA,"sandy, scrubby woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"15dc7cfd-5b6a-4fff-845f-b6aafec24a7c","028ece9b-9967-4fb5-b05f-59356cd4deb0","PreservedSpecimen","1934-04-15",1934,4,15,"PH","Bayard Long","United States","Cumberland","New Jersey","Locality: Blackwater Br., 1.5 mi SW of North Vineland Occurrence Remarks: NA Verbatim Locality: NA",39.51,-75.05,931,NA,"moist open sandy thicket","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"16043bb5-1522-447b-a5b2-d28a9356aa79","8c24f088-0126-470e-a729-d1f9c186e5e9","PreservedSpecimen","1910-07-06",1910,7,6,"PH","Witmer Stone","United States","Monmouth","New Jersey","Locality: NW along railroad, vicinity of Allaire Occurrence Remarks: NA Verbatim Locality: NA",40.17,-74.14,1997,NA,"NW along railroad","iDigBio","Pyxidanthera barbulata"
