"","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","elev"
"bio_1",1,0.988822813015607,0.9969806018326,0.585171805630917,0.576988985496673,0.513231929440677,0.237249613989253,0.598579432124325,0.485833975141872,0.63063424988404,0.724153190124767,0.473014111803413,0.823392358513308,0.935909536822504,0.960786533052561,0.991706920482845,0.838037471122004,0.796754621132663,0.862308828087638,0.7886116390364
"bio_10",0.988822813015607,1,0.974966204108508,0.54865561105904,0.501451624531772,0.519017744066342,0.151864395445395,0.527935022624524,0.50411177488911,0.558663055685595,0.705986475704206,0.451706906179121,0.773109447949473,0.873706380426838,0.979821965884103,0.973401866939593,0.78007827621993,0.792694935951186,0.832996645743472,0.847182571545249
"bio_11",0.9969806018326,0.974966204108508,1,0.597403066761758,0.603879533705561,0.512766105575832,0.268410238995135,0.622287898012907,0.479100985686943,0.65406314097565,0.730574670669629,0.470600083960536,0.836017589920769,0.959808497189585,0.941666539159547,0.993992724228241,0.864622949577731,0.786312318736662,0.875694684951769,0.75704393415014
"bio_12",0.585171805630917,0.54865561105904,0.597403066761758,1,0.801011014762045,0.731509211408107,0.20264958855203,0.860939950674727,0.800691106852125,0.828658199509218,0.921023247020449,0.0902526406743467,0.419891709367583,0.611953577683105,0.469637191479979,0.600177228225239,0.636402873888641,0.329014196610115,0.56395776388194,0.493638181052272
"bio_13",0.576988985496673,0.501451624531772,0.603879533705561,0.801011014762045,1,0.280603292441979,0.719956981785362,0.978966572146459,0.338581300507696,0.977413012008341,0.651416787936205,0.152798066868585,0.516335243704047,0.685323294243296,0.421444029785549,0.60399886237356,0.699602176304943,0.435898010966433,0.556903030402454,0.355504689966391
"bio_14",0.513231929440677,0.519017744066342,0.512766105575832,0.731509211408107,0.280603292441979,1,0.424008239595758,0.353128609895492,0.950311397792246,0.316064328870616,0.847301084907077,0.122653804243164,0.327469162609847,0.467745261295737,0.475397772228365,0.512628191655536,0.457747106189275,0.202414259184054,0.522640078597672,0.493025702975193
"bio_15",0.237249613989253,0.151864395445395,0.268410238995135,0.20264958855203,0.719956981785362,0.424008239595758,1,0.656884646927581,0.38572807935994,0.686889282188175,0.00746533837010233,0.114130821759352,0.331332584238421,0.392072238750207,0.108179906337288,0.265172686059874,0.39594739627758,0.310895586978979,0.228495446919822,0.00843719845601728
"bio_16",0.598579432124325,0.527935022624524,0.622287898012907,0.860939950674727,0.978966572146459,0.353128609895492,0.656884646927581,1,0.416582511241228,0.985721536636405,0.708724574576726,0.151008705278588,0.518270328769562,0.691785729148616,0.447129066556127,0.622829171816349,0.706914966868341,0.433006711974597,0.560875931459198,0.38880098368186
"bio_17",0.485833975141872,0.50411177488911,0.479100985686943,0.800691106852125,0.338581300507696,0.950311397792246,0.38572807935994,0.416582511241228,1,0.376109278726468,0.887800022317513,0.0199321859574086,0.23876056811359,0.411361233912066,0.448826272119893,0.488790027940565,0.44162026556785,0.194693727159162,0.488902649345128,0.549670825329238
"bio_18",0.63063424988404,0.558663055685595,0.65406314097565,0.828658199509218,0.977413012008341,0.316064328870616,0.686889282188175,0.985721536636405,0.376109278726468,1,0.686225920239737,0.221412276453422,0.577756348524008,0.723029561201754,0.488557479850259,0.648595215760718,0.709660892146609,0.521885220409782,0.568121656648746,0.395528648647555
"bio_19",0.724153190124767,0.705986475704206,0.730574670669629,0.921023247020449,0.651416787936205,0.847301084907077,0.00746533837010233,0.708724574576726,0.887800022317513,0.686225920239737,1,0.152337012308181,0.499889428276712,0.705315947668504,0.633194289988794,0.735766103385414,0.713776711247843,0.402878786059761,0.74857941517389,0.657236315480463
"bio_2",0.473014111803413,0.451706906179121,0.470600083960536,0.0902526406743467,0.152798066868585,0.122653804243164,0.114130821759352,0.151008705278588,0.0199321859574086,0.221412276453422,0.152337012308181,1,0.850396539050645,0.474633874337919,0.595670361513868,0.378670727339141,0.0555888987430971,0.512383548902854,0.25629334975913,0.150312474365255
"bio_3",0.823392358513308,0.773109447949473,0.836017589920769,0.419891709367583,0.516335243704047,0.327469162609847,0.331332584238421,0.518270328769562,0.23876056811359,0.577756348524008,0.499889428276712,0.850396539050645,1,0.863181627137048,0.827363288509977,0.77681128558927,0.57003525685914,0.729546358452932,0.651784065702534,0.427069517250841
"bio_4",0.935909536822504,0.873706380426838,0.959808497189585,0.611953577683105,0.685323294243296,0.467745261295737,0.392072238750207,0.691785729148616,0.411361233912066,0.723029561201754,0.705315947668504,0.474633874337919,0.863181627137048,1,0.829330690837885,0.94703646916085,0.902186314062788,0.721974941918683,0.862285125001611,0.584885209391361
"bio_5",0.960786533052561,0.979821965884103,0.941666539159547,0.469637191479979,0.421444029785549,0.475397772228365,0.108179906337288,0.447129066556127,0.448826272119893,0.488557479850259,0.633194289988794,0.595670361513868,0.827363288509977,0.829330690837885,1,0.923908893095197,0.659526891079191,0.802572732869916,0.767260455807806,0.813851246658447
"bio_6",0.991706920482845,0.973401866939593,0.993992724228241,0.600177228225239,0.60399886237356,0.512628191655536,0.265172686059874,0.622829171816349,0.488790027940565,0.648595215760718,0.735766103385414,0.378670727339141,0.77681128558927,0.94703646916085,0.923908893095197,1,0.896945325865414,0.771615777045618,0.885261503366486,0.780147109381707
