"","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","elev"
"bio_1",1,0.978347417016045,0.98702379202523,0.184466117918384,0.288646741084673,0.687166473074749,0.73253206055338,0.5416534650366,0.579323146565931,0.542863482787689,0.365283549672281,0.299529228618611,0.583376982060934,0.77011863997927,0.864899794055283,0.959794854620898,0.44748811407459,0.963693782859464,0.983836559097013,0.55789381212708
"bio_10",0.978347417016045,1,0.937112371209184,0.215498484062929,0.271145054109743,0.658290350334731,0.692844321804443,0.500170859750205,0.555826970329564,0.501211333621553,0.363076026508498,0.25114376722664,0.483625103029692,0.627813483665555,0.872434329413362,0.910329317155415,0.366669452227358,0.979786435186739,0.941790871270728,0.569847457759918
"bio_11",0.98702379202523,0.937112371209184,1,0.181538870827331,0.268264487888024,0.704671659031859,0.727419242538453,0.530117934460998,0.567712106214051,0.531633455731541,0.343814366663183,0.330796433728462,0.641898506042966,0.8593769298081,0.84573909957557,0.973085535700823,0.488196157551447,0.927716640020271,0.982472434328805,0.545493352527166
"bio_12",0.184466117918384,0.215498484062929,0.181538870827331,1,0.574290819089225,0.0940366646503773,0.150151492833228,0.412407324927702,0.27827376329419,0.412888037569598,0.30568095689141,0.219819500318692,0.186519583726117,0.0914794530371102,0.304248062611459,0.138108786368355,0.134886459432134,0.175146370868685,0.153954395975508,0.293708273597967
"bio_13",0.288646741084673,0.271145054109743,0.268264487888024,0.574290819089225,1,0.489193163642828,0.805332075662831,0.915380002992377,0.391368175087635,0.914643576560103,0.324137748480656,0.208033868824089,0.289861508393884,0.199494445334321,0.251324907099886,0.252590184307567,0.0914886354914484,0.296293350712088,0.317951793323848,0.324625578668504
"bio_14",0.687166473074749,0.658290350334731,0.704671659031859,0.0940366646503773,0.489193163642828,1,0.723986576542666,0.539625535169371,0.342634723881579,0.54043859056017,0.185994753639624,0.597273475164912,0.697299801185947,0.621335079609065,0.812366973175032,0.614272765964743,0.000480318659958666,0.658403976211104,0.650630110364376,0.384819306116893
"bio_15",0.73253206055338,0.692844321804443,0.727419242538453,0.150151492833228,0.805332075662831,0.723986576542666,1,0.939155376773975,0.752637781442645,0.938791939449518,0.602126864932659,0.312120142021806,0.557126882710789,0.604854148155739,0.608898230315499,0.712256235524967,0.368583856789734,0.699003662926556,0.767545413810221,0.664548520926467
"bio_16",0.5416534650366,0.500170859750205,0.530117934460998,0.412407324927702,0.915380002992377,0.539625535169371,0.939155376773975,1,0.635153860566383,0.999808520504115,0.523184361751281,0.187898024907866,0.402765796127582,0.444507223092278,0.391020304053789,0.535511774776737,0.351138985197371,0.523147538903255,0.585979172584566,0.5020144616351
"bio_17",0.579323146565931,0.555826970329564,0.567712106214051,0.27827376329419,0.391368175087635,0.342634723881579,0.752637781442645,0.635153860566383,1,0.632939640727285,0.910021958814459,0.0824462052762005,0.352321834854909,0.440665224506567,0.358051880175707,0.604493988199682,0.488739500608861,0.532966524826361,0.660387165692624,0.850860247313809
"bio_18",0.542863482787689,0.501211333621553,0.531633455731541,0.412888037569598,0.914643576560103,0.54043859056017,0.938791939449518,0.999808520504115,0.632939640727285,1,0.519964260579386,0.188756144164653,0.403840242787388,0.446480507725699,0.392630262624791,0.536859124672337,0.351328455903979,0.527589093118627,0.586594450220285,0.501350484213468
