"","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","elev"
"bio_1",1,0.993137318736266,0.981944727730644,0.68427519908124,0.673532790463783,0.60908746111186,0.203855774530207,0.667027396461327,0.633945487535757,0.712732064927113,0.615129850383672,0.548323612189322,0.209495246608653,0.849779876160438,0.984860583324112,0.950554239688884,0.836325526933225,0.491251656470859,0.101921362953716,0.97957977178699
"bio_10",0.993137318736266,1,0.953544954727522,0.746899153292776,0.739351352708208,0.674856619864753,0.233023699319065,0.731513852045245,0.699833380915421,0.769553407385691,0.684480465084293,0.568065492621259,0.239845040331629,0.905291784301328,0.993592927436473,0.914300632022204,0.882029558741946,0.551456501931506,0.172735967247372,0.991986901197642
"bio_11",0.981944727730644,0.953544954727522,1,0.563458161519864,0.547636587451939,0.483715054973831,0.142623060863064,0.545455395920381,0.507986877456471,0.601554283578868,0.485968157358002,0.507590741429686,0.147536439834243,0.73556080461116,0.943658003328061,0.980487220874288,0.741609480685715,0.372978949424977,0.0162461622074893,0.931602597316674
"bio_12",0.68427519908124,0.746899153292776,0.563458161519864,1,0.992889849916869,0.976078777319408,0.464331315376986,0.991121214699424,0.990843382127035,0.98162901606319,0.987567460804685,0.456645499174543,0.340768875778516,0.881813302809131,0.747446798062037,0.513607232566152,0.812788748315602,0.69567066113501,0.589774548609695,0.779787376282353
"bio_13",0.673532790463783,0.739351352708208,0.547636587451939,0.992889849916869,1,0.959451080265856,0.403518023056769,0.991321900786313,0.977229117337024,0.970198959352746,0.990717762196351,0.430591125103274,0.375029483187337,0.887118712630012,0.736866483509417,0.501280857212942,0.80561619257108,0.741190010799151,0.625697890013743,0.774849919505923
"bio_14",0.60908746111186,0.674856619864753,0.483715054973831,0.976078777319408,0.959451080265856,1,0.598085149421985,0.955597652740512,0.989882225494685,0.949768106278917,0.951671076954415,0.467090197194644,0.268962899773302,0.833768031520674,0.680062242175369,0.427919968206518,0.773262376021516,0.651897238487959,0.55135933723599,0.713030773971269
"bio_15",0.203855774530207,0.233023699319065,0.142623060863064,0.464331315376986,0.403518023056769,0.598085149421985,1,0.373321404245735,0.559907807005636,0.395871647914449,0.406829784422444,0.196817788549438,0.0400344708779465,0.323713824762923,0.23195104479225,0.132631602265277,0.275153671967951,0.298768611811635,0.135247488873606,0.276240355511973
"bio_16",0.667027396461327,0.731513852045245,0.545455395920381,0.991121214699424,0.991321900786313,0.955597652740512,0.373321404245735,1,0.971010268434814,0.97378343153485,0.989436185387224,0.441016377550802,0.355071510656498,0.872600255832919,0.731904138230302,0.493872787843597,0.803646174952085,0.680416053553616,0.60558983142753,0.760561449612788
"bio_17",0.633945487535757,0.699833380915421,0.507986877456471,0.990843382127035,0.977229117337024,0.989882225494685,0.559907807005636,0.971010268434814,1,0.968650268555667,0.97308352590395,0.461706219942054,0.302308974163252,0.854595230392331,0.704162753282973,0.454688869734084,0.790722100012817,0.684986507187622,0.583541738430806,0.739294873725506
"bio_18",0.712732064927113,0.769553407385691,0.601554283578868,0.98162901606319,0.970198959352746,0.949768106278917,0.395871647914449,0.97378343153485,0.968650268555667,1,0.955004843217097,0.532741933772147,0.259649457036631,0.880603851373667,0.779560166448308,0.537218179319739,0.84638615076016,0.625729262836415,0.547360077193472,0.794367579409525
"bio_19",0.615129850383672,0.684480465084293,0.485968157358002,0.987567460804685,0.990717762196351,0.951671076954415,0.406829784422444,0.989436185387224,0.97308352590395,0.955004843217097,1,0.377677404553683,0.404871987712739,0.849151581261405,0.680884680510039,0.443341043631509,0.761426369815783,0.726162613974179,0.661965822454265,0.721193439939285
"bio_2",0.548323612189322,0.568065492621259,0.507590741429686,0.456645499174543,0.430591125103274,0.467090197194644,0.196817788549438,0.441016377550802,0.461706219942054,0.532741933772147,0.377677404553683,1,0.587039343329619,0.566092775764331,0.65339492634136,0.337309234070603,0.806207356496684,0.190634483046843,0.0127192207378801,0.593828259549296
