packages,version
ade4,1.7.22
ape,5.7.1
biomod2,4.2.3
caret,6.0.94
CoordinateCleaner,2.0.20
devtools,2.4.5
dismo,1.3.14
dplyr,1.1.2
ecospat,3.5
ENMeval,2.0.4
ENMTools,1.1.1
fields,14.1
gatoRs,1.0.0
ggplot2,3.4.2
ggspatial,1.1.8
gridExtra,2.3
gtools,3.9.4
hypervolume,3.1.1
kuenm,1.1.9
lattice,0.21.8
leaflet,2.1.2
magrittr,2.0.3
maps,3.4.1
multcompView,0.1.9
parsedate,1.3.1
phytools,1.5.1
plyr,1.8.8
rangeBuilder,2.1
raster,3.6.20
Rcpp,1.0.10
ridigbio,0.3.6
rJava,1.0.6
rgbif,3.7.7
sf,1.0.13
sp,1.6.0
spThin,0.2.0
spam,2.9.1
spatstat.geom,3.2.1
stringr,1.5.0
terra,1.7.29
tidyr,1.3.0
usdm,1.1.18
viridis,0.6.3
viridisLite,0.4.2
