ID,name,basis,catalogNumber,collectionCode,collectionID,coordinateUncertaintyInMeters,lat,long,date
f00b80f9-e1e0-4358-a196-c17adbb1df5c,Shortia galacifolia,PreservedSpecimen,MEL 2130514A,MEL,,,,,3/18/44
dbb07b87-97e6-4014-a19f-ae8ae10b5a5a,Shortia galacifolia,PreservedSpecimen,CLEMS0042919,,81b5c57b-5f26-423f-93b6-d4dc434fe707,,,,
9cce79db-e572-40c2-a810-b0d8b83619bf,Shortia galacifolia,PreservedSpecimen,27718,Herb,,,,,1900
a6cfaa07-958c-43ca-85ab-cbde4c10ab8e,Shortia galacifolia,PreservedSpecimen,,Botany,,,,,4/23/67
1170b4ec-4fea-408a-bf0f-16406e503ce8,Shortia galacifolia,PreservedSpecimen,NCU00060823,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,4/17/63
040bb066-3644-4a43-890d-07db50365891,Shortia galacifolia,Still Image,CONN00108025,CONN,,5000,34.97093,-82.93736,3/18/44
4dd2ab43-e541-49b4-994f-1a8750435b97,Shortia galacifolia,PreservedSpecimen,NCU00042354,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,8/14/32
a0857b66-046d-42c7-a20b-60dcdfa40a46,Shortia galacifolia,PreservedSpecimen,NCU00042369,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,1947-00-00
03f1152c-21aa-4bfb-8ea7-316020e7dcdf,Shortia galacifolia,PreservedSpecimen,barcode-00348095,A,urn:lsid:biocol.org:col:15406,,,,5/13/35
2803c8bd-cbca-4f98-a227-be81ba929f55,Shortia galacifolia,PreservedSpecimen,,Botany,,,,,1897/04/07
b6d8521a-0ad5-43ee-8936-21c0abd2f231,Shortia galacifolia,PreservedSpecimen,NCU00042360,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,1879-04-01
5251432d-d76e-41ec-aeda-8bff1197607f,Shortia galacifolia,PreservedSpecimen,USCH0025780,MAIN,a13355a1-1ccc-46d9-9672-521d8d668804,,,,1978-03-00
f7f2a959-7af6-4f6f-bc5c-303466c45b39,Shortia galacifolia,Preserved Specimen,CONN00108024,CONN,,5000,34.97093,-82.93736,1896-03-31
d2f09681-1dd1-4ca9-b0ce-ef3d2525154d,Shortia galacifolia,PreservedSpecimen,NCU00042367,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,3/29/46
531454e2-5d1a-4c1d-9f74-959682502582,Shortia galacifolia,PreservedSpecimen,NCU00042348,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,7/16/42
0ff03b9a-6a98-46e1-8904-41407a80536b,Shortia galacifolia,PreservedSpecimen,NCU00027824,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,5/21/09
67edaf47-13ef-4d8c-88e6-9ef3e8fdc915,Shortia galacifolia,PreservedSpecimen,CM164220,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,,,1888-00-00
734e8345-af9a-44d3-9ae2-ba9bdfa1549c,Shortia galacifolia,PreservedSpecimen,NCU00237341,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,6/29/76
84ea89a2-1b8f-40b2-bd93-402252fb3454,Shortia galacifolia,PreservedSpecimen,GA059202,,urn:lsid:biocol.org:col:15610,,,,3/19/49
01248009-632b-4a8d-a103-ad02a4877be8,Shortia galacifolia,PreservedSpecimen,CM257114,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,,,1975-00-00
6cfe9158-2ef9-487f-ab76-c33ec3c76217,Shortia galacifolia,PreservedSpecimen,NCU00042365,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,2206,35.912053,-79.050909,3/26/28
939a7b54-e575-42fc-9b3a-c21b92d9f819,Shortia galacifolia,PreservedSpecimen,BSN-13467,BSN,d987d886-f32f-4cdb-b8e5-64d71185f286,4481,43.81555,-69.66056,5/30/35
eb5343c3-f57c-4db0-b646-b65f32723dab,Shortia galacifolia,PreservedSpecimen,NCU00042353,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,4/20/30
bbe819b8-6958-4bc0-808c-d93b766ee35b,Shortia galacifolia,PreservedSpecimen,UNCC_42079,UNCC,827097ef-52b6-4bfc-bdea-45e382fde5b1,,,,3/25/08
