coreid,ac:accessURI,idigbio:dateModified,idigbio:dataQualityScore,idigbio:etag,idigbio:flags,dcterms:format,idigbio:hasSpecimen,ac:licenseLogoURL,idigbio:mediaType,dcterms:modified,idigbio:recordIds,idigbio:records,idigbio:recordsets,dcterms:rights,ac:tag,dc:type,idigbio:uuid,idigbio:version,xmpRights:WebStatement,exif:PixelXDimension,exif:PixelYDimension
a6f62638-4d53-4865-9c46-39021b503adc,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259211_lg.jpg,2018-08-24T10:25:32.978645+00:00,0.45454545454545453,7220301077898a5ac2d11d7152e06f1922b1062e,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\media\\http://storage.idigbio.org/vt/vplants/uvmvt259/uvmvt259211_lg.jpg"", ""urn:uuid:43a99134-b8f1-4195-9e0e-ca1d00ac6dbf""]","[""a6f62638-4d53-4865-9c46-39021b503adc""]",3027c437-cdb3-4072-9410-5a46ec3b1fd5,BY-NC,,,15c883f7-9055-427d-a281-edf6c162d070,,http://creativecommons.org/licenses/by-nc/3.0/,,
5391233f-3f4c-4f97-85ac-d224c2307d37,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259213_lg.jpg,2018-08-24T10:25:32.978645+00:00,0.45454545454545453,774c94335b39503e2c115953b8f65309654b4290,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\media\\http://storage.idigbio.org/vt/vplants/uvmvt259/uvmvt259213_lg.jpg"", ""urn:uuid:3d527291-d090-41d1-85c9-5cc1c8996cd1""]","[""5391233f-3f4c-4f97-85ac-d224c2307d37""]",3027c437-cdb3-4072-9410-5a46ec3b1fd5,BY-NC,,,0794f980-5478-4308-9f1d-a9330d68cfc0,,http://creativecommons.org/licenses/by-nc/3.0/,,
33da3b27-9749-41e3-9b10-7e2d9850670b,https://bisque.cyverse.org/image_service/image/00-zNTzdHddehiY5s4DGAxEXj/resize:4000/format:jpeg,2019-03-16T09:03:24.551985+00:00,0.45454545454545453,e893728ece9ff1647ebf8728a21293a22d2a70b7,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""urn:uuid:fe0ba42a-96ac-4aa4-8f8c-b1a9f0ebcc89"", ""e23109b4-e143-437c-b329-3dff7cb35488\\media\\https://bisque.cyverse.org/image_service/image/00-zntzdhddehiy5s4dgaxexj/resize:4000/format:jpeg""]","[""33da3b27-9749-41e3-9b10-7e2d9850670b""]",e23109b4-e143-437c-b329-3dff7cb35488,CC0,,,c4022bfa-e439-400b-af35-42fb2b91d79f,,http://creativecommons.org/publicdomain/zero/1.0/,,
cfa42779-13b8-4d7c-a32c-2bc2dbe2484a,https://bisque.cyverse.org/image_service/image/00-4MwHJSRHckpfUHFinxNteP/resize:4000/format:jpeg,2019-03-16T09:03:24.551985+00:00,0.45454545454545453,e1526cdb89f328c2b122f9189d9ada35ebd84ac2,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""e23109b4-e143-437c-b329-3dff7cb35488\\media\\https://bisque.cyverse.org/image_service/image/00-4mwhjsrhckpfuhfinxntep/resize:4000/format:jpeg"", ""urn:uuid:c74f3c87-e49e-4744-ace2-20c7890c4391""]","[""cfa42779-13b8-4d7c-a32c-2bc2dbe2484a""]",e23109b4-e143-437c-b329-3dff7cb35488,CC0,,,a4e88883-cef3-4ccc-bd2c-1ad26f9d379a,,http://creativecommons.org/publicdomain/zero/1.0/,,
5a7d32b5-4d55-463b-a9cd-6b909057b145,https://bisque.cyverse.org/image_service/image/00-RKBz7eiV6StFBoqhs4JRTQ?resize=4000&format=jpeg,2019-04-12T08:44:10.758082+00:00,0.45454545454545453,74039c947d7782ce55dd5ca21a4355a7a097af0e,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""urn:uuid:d98dcf5c-045a-46df-87c4-96d33ba0fca6"", ""d53132e6-7997-4850-8607-4fec5a3f9c3f\\media\\https://bisque.cyverse.org/image_service/image/00-rkbz7eiv6stfboqhs4jrtq?resize=4000&format=jpeg""]","[""5a7d32b5-4d55-463b-a9cd-6b909057b145""]",d53132e6-7997-4850-8607-4fec5a3f9c3f,CC0,,,d4388a19-43a6-4e6c-ac4b-b2782c0f77e4,,http://creativecommons.org/publicdomain/zero/1.0/,,
c77c8b2a-7591-46b2-9320-655653670082,https://bisque.cyverse.org/image_service/image/00-jsNjWZwiWwYRpbPUTmP38V?resize=4000&format=jpeg,2019-04-12T08:44:10.758082+00:00,0.45454545454545453,0d06feb7271f52d9f71dc9180d464ff6abcdf691,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""d53132e6-7997-4850-8607-4fec5a3f9c3f\\media\\https://bisque.cyverse.org/image_service/image/00-jsnjwzwiwwyrpbputmp38v?resize=4000&format=jpeg"", ""urn:uuid:d13069f4-6c4b-4371-ab63-e6e23a1ef55f""]","[""c77c8b2a-7591-46b2-9320-655653670082""]",d53132e6-7997-4850-8607-4fec5a3f9c3f,CC0,,,8e508299-be53-4819-b976-3eb322740a13,,http://creativecommons.org/publicdomain/zero/1.0/,,
9cce79db-e572-40c2-a810-b0d8b83619bf,https://cdn.plantatlas.org/img/specimens/USF/27718.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,4c7f9fc08e2b51ea5928dfc861e06ab11e104429,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/27718.jpg""]","[""9cce79db-e572-40c2-a810-b0d8b83619bf""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,b6ce4e8a-4a23-4e35-bf53-12b8319201a5,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
852e1de9-cf3f-4d43-b00e-afa6730d039a,https://bisque.cyverse.org/image_service/image/00-Ys8C7u6BmWMk7t2TwZK58/resize:4000/format:jpeg,2019-03-16T11:14:01.311823+00:00,0.45454545454545453,956463918f49d8ab8b70e9f91bf8fee93020f3dd,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""urn:uuid:933aab25-c5fd-40ef-aa31-2c47676de12c"", ""6258d160-a7aa-4937-bce3-3538eebd374f\\media\\https://bisque.cyverse.org/image_service/image/00-ys8c7u6bmwmk7t2twzk58/resize:4000/format:jpeg""]","[""852e1de9-cf3f-4d43-b00e-afa6730d039a""]",6258d160-a7aa-4937-bce3-3538eebd374f,BY-NC,,,6d9f80c3-e9d1-4826-bc43-cef13e16a5cb,,http://creativecommons.org/licenses/by-nc/3.0/,,
36c94bf8-82b6-439d-868b-9c8e9202d886,http://mediaphoto.mnhn.fr/media/1441453175167KQXyWNTQV8AhQ01D,2016-05-04T09:52:03.417244+00:00,0.45454545454545453,6b463d1163f40769a0ed4949b275c4adc1fda474,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""616857b7-f952-44ef-9b6f-576dc1e65b51\\media\\http://mediaphoto.mnhn.fr/media/1441453175167kqxywntqv8ahq01d""]","[""36c94bf8-82b6-439d-868b-9c8e9202d886"", ""48d51c5b-a999-434f-b207-5e40561af78f""]",616857b7-f952-44ef-9b6f-576dc1e65b51,BY,,,a999920a-46c9-4d95-b247-99f8c8ccfa21,,http://creativecommons.org/licenses/by/4.0/,,
36c94bf8-82b6-439d-868b-9c8e9202d886,http://mediaphoto.mnhn.fr/media/14414531751887aCsDUP6Micb8DBq,2016-05-04T09:52:03.417244+00:00,0.45454545454545453,2d170233cb54a14d55aff43fa10c1807547e4c4b,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""616857b7-f952-44ef-9b6f-576dc1e65b51\\media\\http://mediaphoto.mnhn.fr/media/14414531751887acsdup6micb8dbq""]","[""36c94bf8-82b6-439d-868b-9c8e9202d886"", ""1e0b6573-ff8d-4c91-8d4c-0cd428c9f985""]",616857b7-f952-44ef-9b6f-576dc1e65b51,BY,,,8ab1d95e-54ee-4f71-a379-7827d535d285,,http://creativecommons.org/licenses/by/4.0/,,
