coreid,Iptc4xmpExt:CountryName,Iptc4xmpExt:LocationCreated,Iptc4xmpExt:ProvinceState,Iptc4xmpExt:WorldRegion,ac:IDofContainingCollection,ac:accessURI,ac:associatedSpecimenReference,ac:attributionLogoURL,ac:bestQualityAccessURI,ac:bestQualityFormat,ac:caption,ac:captureDevice,ac:comments,ac:derivedFrom,ac:digitizationDate,ac:fundingAttribution,ac:furtherInformationURL,ac:goodQualityAccessURI,ac:hasServiceAccessPoint,ac:hashFunction,ac:hashValue,ac:licenseLogoURL,ac:metadataCreator,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProvider,ac:metadataProviderLiteral,ac:physicalSetting,ac:provider,ac:providerID,ac:providerLiteral,ac:providerManagedID,ac:resourceCreationTechnique,ac:serviceExpectation,ac:subjectCategoryVocabulary,ac:subjectOrientation,ac:subjectPart,ac:subtype,ac:subtypeLiteral,ac:tag,ac:taxonCount,ac:taxonCoverage,ac:thumbnailAccessURI,ac:variant,ac:variantDescription,ac:variantLiteral,dc:creator,dc:format,dc:language,dc:rights,dc:source,dc:type,dcterms:accessRights,dcterms:audience,dcterms:available,dcterms:created,dcterms:creator,dcterms:description,dcterms:format,dcterms:identifier,dcterms:language,dcterms:license,dcterms:modified,dcterms:publisher,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:title,dcterms:type,dwc:Identification,dwc:associatedTaxa,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:collectionID,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:county,dwc:datasetID,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:eventDate,dwc:family,dwc:genus,dwc:geodeticDatum,dwc:georeferencedBy,dwc:habitat,dwc:identificationQualifier,dwc:identifiedBy,dwc:institutionCode,dwc:kingdom,dwc:locality,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:order,dwc:otherCatalogNumbers,dwc:phylum,dwc:recordNumber,dwc:recordedBy,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:verbatimElevation,dwc:year,exif:PixelXDimension,exif:PixelYDimension,idigbio:OriginalFileName,idigbio:associatedRecordReference,idigbio:associatedRecordsetReference,idigbio:mediaStatus,idigbio:mediaStatusDate,idigbio:recordId,photoshop:Credit,symbiota:recordEnteredBy,xmp:CreateDate,xmp:MetadataDate,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement
a6f62638-4d53-4865-9c46-39021b503adc,,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259211_lg.jpg,http://nansh.org/portal/collections/individual/index.php?occid=16631659,,,,,,,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259211.jpg,,,,,,en,,,,,,,,urn:uuid:43a99134-b8f1-4195-9e0e-ca1d00ac6dbf,,,,,,Photograph,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259211_tn.jpg,,,,,,,,,,,,,,,,image/jpeg,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259211_lg.jpg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-05 06:23:56,University of Vermont,CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
5391233f-3f4c-4f97-85ac-d224c2307d37,,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259213_lg.jpg,http://nansh.org/portal/collections/individual/index.php?occid=16631661,,,,,,,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259213.jpg,,,,,,en,,,,,,,,urn:uuid:3d527291-d090-41d1-85c9-5cc1c8996cd1,,,,,,Photograph,,,,,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259213_tn.jpg,,,,,,,,,,,,,,,,image/jpeg,http://storage.idigbio.org/vt/vplants/UVMVT259/UVMVT259213_lg.jpg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-04 06:35:25,University of Vermont,CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
33da3b27-9749-41e3-9b10-7e2d9850670b,,,,,,https://bisque.cyverse.org/image_service/image/00-zNTzdHddehiY5s4DGAxEXj/resize:4000/format:jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=20387024,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-zNTzdHddehiY5s4DGAxEXj/resize:1250/format:jpeg,,,,,,en,,,,,,,,urn:uuid:fe0ba42a-96ac-4aa4-8f8c-b1a9f0ebcc89,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-zNTzdHddehiY5s4DGAxEXj/thumbnail:200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-zNTzdHddehiY5s4DGAxEXj/resize:4000/format:jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-15 12:09:18,"Appalachian State University, I. W. Carpenter, Jr. Herbarium (BOON)",CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
cfa42779-13b8-4d7c-a32c-2bc2dbe2484a,,,,,,https://bisque.cyverse.org/image_service/image/00-4MwHJSRHckpfUHFinxNteP/resize:4000/format:jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=20387030,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-4MwHJSRHckpfUHFinxNteP/resize:1250/format:jpeg,,,,,,en,,,,,,,,urn:uuid:c74f3c87-e49e-4744-ace2-20c7890c4391,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-4MwHJSRHckpfUHFinxNteP/thumbnail:200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-4MwHJSRHckpfUHFinxNteP/resize:4000/format:jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-15 12:09:18,"Appalachian State University, I. W. Carpenter, Jr. Herbarium (BOON)",CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
5a7d32b5-4d55-463b-a9cd-6b909057b145,,,,,,https://bisque.cyverse.org/image_service/image/00-RKBz7eiV6StFBoqhs4JRTQ?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=14305079,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-RKBz7eiV6StFBoqhs4JRTQ?resize=1250&format=jpeg,,,,,,en,,,,,,,,urn:uuid:d98dcf5c-045a-46df-87c4-96d33ba0fca6,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-RKBz7eiV6StFBoqhs4JRTQ?thumbnail=200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-RKBz7eiV6StFBoqhs4JRTQ?resize=4000&format=jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-07 07:54:16,University of Tennessee Vascular Herbarium (TENN),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
c77c8b2a-7591-46b2-9320-655653670082,,,,,,https://bisque.cyverse.org/image_service/image/00-jsNjWZwiWwYRpbPUTmP38V?resize=4000&format=jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=14305080,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-jsNjWZwiWwYRpbPUTmP38V?resize=1250&format=jpeg,,,,,,en,,,,,,,,urn:uuid:d13069f4-6c4b-4371-ab63-e6e23a1ef55f,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-jsNjWZwiWwYRpbPUTmP38V?thumbnail=200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-jsNjWZwiWwYRpbPUTmP38V?resize=4000&format=jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-07 07:54:16,University of Tennessee Vascular Herbarium (TENN),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
852e1de9-cf3f-4d43-b00e-afa6730d039a,,,,,,https://bisque.cyverse.org/image_service/image/00-Ys8C7u6BmWMk7t2TwZK58/resize:4000/format:jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=15880997,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-Ys8C7u6BmWMk7t2TwZK58/resize:1250/format:jpeg,,,,,,en,,,,,,,,urn:uuid:933aab25-c5fd-40ef-aa31-2c47676de12c,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-Ys8C7u6BmWMk7t2TwZK58/thumbnail:200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-Ys8C7u6BmWMk7t2TwZK58/resize:4000/format:jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-19 07:52:17,Duke University (DUKE),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
9cce79db-e572-40c2-a810-b0d8b83619bf,,,,,,https://cdn.plantatlas.org/img/specimens/USF/27718.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/27718.jpg,,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/27718.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Shortia galacifolia Torr. & A. Gray - USA, Unknown (BARCODE: 27718) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
7a471850-2f7d-417b-971c-bb64d6569fa1,,,,,,https://bisque.cyverse.org/image_service/image/00-4Yvc5oY6ULVy4j3TAvpTai/resize:4000/format:jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=17095272,,,,,,,,,,,https://bisque.cyverse.org/image_service/image/00-4Yvc5oY6ULVy4j3TAvpTai/resize:1250/format:jpeg,,,,,,en,,,,,,,,urn:uuid:b0a43dbb-ef85-4c35-a314-c63d14ceadf6,,,,,,Photograph,,,,,"https://bisque.cyverse.org/image_service/image/00-4Yvc5oY6ULVy4j3TAvpTai/thumbnail:200,200",,,,,,,,,,,,,,,,image/jpeg,https://bisque.cyverse.org/image_service/image/00-4Yvc5oY6ULVy4j3TAvpTai/resize:4000/format:jpeg,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-25 06:28:09,University of Georgia Herbarium (GA),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/
36c94bf8-82b6-439d-868b-9c8e9202d886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,http://mediaphoto.mnhn.fr/media/14414531751887aCsDUP6Micb8DBq,,cc-by,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
