coreid,aec:associatedTaxa,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:acceptedNameUsageID,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedOrganisms,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:classs,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:language,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:modified,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:organismRemarks,dwc:originalNameUsage,dwc:originalNameUsageID,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:sampleSizeValue,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,gbif:Identifier,gbif:Reference,idigbio:recordId,symbiota:recordEnteredBy,symbiota:verbatimScientificName,zan:ChronometricDate
a6f62638-4d53-4865-9c46-39021b503adc,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,2017-11-01 15:50:10,http://nansh.org/portal/collections/individual/index.php?occid=16631659,,University of Vermont,,,,,,,,,,,,,,,,PreservedSpecimen,,,UVMVT259211,,,,58ab88f3-0034-461c-9c44-9e525c4d360f,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,Diapensiaceae,,,,,,,Shortia,,,,,,,,,,,,,,,,,,,,,,,,VT,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770041d1-6f1b-4d84-bf3a-8c14f10a1657,,,Ericales,,,,,,,,,,,Magnoliophyta,,,,,,,,,,,,Shortia,,,,,,,,101139,,,,,,,,,,,,,,,,,,,,urn:uuid:770041d1-6f1b-4d84-bf3a-8c14f10a1657,"Kerwien, L.",,
5391233f-3f4c-4f97-85ac-d224c2307d37,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,2017-11-01 15:50:10,http://nansh.org/portal/collections/individual/index.php?occid=16631661,,University of Vermont,,,,,,,,,,,,,,,,PreservedSpecimen,,,UVMVT259213,,,,58ab88f3-0034-461c-9c44-9e525c4d360f,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,Diapensiaceae,,,,,,,Shortia,,,,,,,,,,,,,,,,,,,,,,,,VT,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b44be40-1a16-4ed2-8db6-4b9f42cd4b76,,,Ericales,,,,,,,,,,,Magnoliophyta,,,,,,,,,,,,Shortia,,,,,,,,101139,,,,,,,,,,,,,,,,,,,,urn:uuid:8b44be40-1a16-4ed2-8db6-4b9f42cd4b76,"Kerwien, L.",,
f00b80f9-e1e0-4358-a196-c17adbb1df5c,,,,,,,,,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,MEL 2130514A,,Equisetopsida,MEL,,,,,United States,,,,,,,,,,,,,,,,,,,1944-03-18,,,,Diapensiaceae,,1378,,,,,Shortia,,,,,,,,,,,,,,,,,,,,,,,,MEL,,,,Plantae,,,,,,,,,"By Whitewater River, above Jocassee, Oconee County.",,,,,,,,,,,2002-02-15 00:00:00,,,,,,,,,,134358be-8206-435d-85ab-c85adc922078,Plantae Exsiccatae Grayanae No. 1378,,Ericales,,,,,,,,,,,Streptophyta,,sheet,,1378,"Prince, A.E.",,,,,,,Shortia galacifolia Torr. & Gray,Torr. & Gray,,,galacifolia,,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,
dbb07b87-97e6-4014-a19f-ae8ae10b5a5a,,http://creativecommons.org/licenses/by-nc/3.0/,,,en,,2013-05-17 15:59:38,http://sernecportal.org/portal/collections/individual/index.php?occid=16249266,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,CLEMS0042919,,,,81b5c57b-5f26-423f-93b6-d4dc434fe707,,,,United States,,Oconee,,,,,,,,,,,,,,,,,,,,,Diapensiaceae,,,,,,,Shortia,,,,,,,,,,,,,,,,,,,,"John E. Fairey, III",,"field values redacted: eventDate, month, day, startDayOfYear, locality",,CLEMS,,,,Plantae,,,,,,,mature,,,,,,,,,,,,,,,,,,,,,,,428c8c98-7e17-4261-9ed3-0fef510d1ece,,,Ericales,,,,,,,,36740,,,Magnoliophyta,,,,,"John E. Fairey, III",,,,,,,Shortia galacifolia,Torr. & A. Gray,,,galacifolia,,South Carolina,,119980,,,,,,,,,,,,,,,,,1976,,,urn:uuid:428c8c98-7e17-4261-9ed3-0fef510d1ece,ddamrel,,
d700cb25-2ab2-452e-bbfa-2c66fa0ba1db,,,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,,en,https://huh.harvard.edu/pages/use,2017-12-15 15:18:22.0,,,President and Fellows of Harvard College,,http://purl.org/dc/dcmitype/PhysicalObject,"[{""dwc:genus"": ""Campylopus"", ""dwc:specificEpithet"": ""comosus"", ""coreid"": ""8678e8c0-b3d2-4bd0-b37d-d72a52b960a0"", ""dwc:scientificNameAuthorship"": ""Decaisne"", ""dwc:taxonRank"": ""Species"", ""dwc:scientificName"": ""Berneuxia thibetica Decaisne"", ""dwc:family"": ""Dicranaceae""}]",,"[{""coreid"": ""8678e8c0-b3d2-4bd0-b37d-d72a52b960a0"", ""dwc:relatedResourceID"": ""http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8678e8c0-b3d2-4bd0-b37d-d72a52b960a0"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,[see Simple Media extension],,,,,,PreservedSpecimen,,,barcode-01046783,,,A,urn:lsid:biocol.org:col:15406,Asia,,,China,CN,,,,Harvard University Herbaria: All Records,,,,,in collection,"{""huh_taxonomic_group"": ""Vascular"", ""huh_project_id"": null, ""huh_project_name"": null}",,,,,,,,1935-09,,,,Diapensiaceae,,66685,,,,,Shortia,,,,,,,,,,,,Asia;China;Yunnan;,,,,,,,,,,,,A,urn:lsid:biocol.org:col:15406,,,,,,,,,,,,"Soo-roo-la, Cham-pu-tang",,,,,,,,,,,,9,,,,,,,,,8678e8c0-b3d2-4bd0-b37d-d72a52b960a0,,present,,,,,,,,,,,,,,Sheet,,66685,C. W. Wang,NotDetermined,,,,,,Berneuxia thibetica Decaisne,Decaisne,,undetermined,galacifolia,,Yunnan,,,,,,,,,,2900 m,,,"Soo-roo-la, Cham-pu-tang",,,,,,1935,,,,,,
33da3b27-9749-41e3-9b10-7e2d9850670b,,http://creativecommons.org/publicdomain/zero/1.0/,,,en,,2018-08-30 11:32:38,http://sernecportal.org/portal/collections/individual/index.php?occid=20387024,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,015510,,,,2bed6ae5-afde-45bb-95a9-c4918414f02d,,,,United States,,McDowell,,,,,,,,,,,,,,,,,,,,,Diapensiaceae,,,,,,,Shortia,,,,,,,,,,,,,,,,,,,,,,,,BOON,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e98ea315-f134-4dfc-8b71-cfad69b9187e,,,Ericales,,,,,,,,,,,Magnoliophyta,,,,,,,,,,,,Shortia galacifolia,Torr. & A. Gray,,,galacifolia,,North Carolina,,119980,,,,,,,,,,,,,,,,,,,,urn:uuid:e98ea315-f134-4dfc-8b71-cfad69b9187e,jenkinsap,,
cfa42779-13b8-4d7c-a32c-2bc2dbe2484a,,http://creativecommons.org/publicdomain/zero/1.0/,,,en,,2018-08-30 11:32:38,http://sernecportal.org/portal/collections/individual/index.php?occid=20387030,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,015514,,,,2bed6ae5-afde-45bb-95a9-c4918414f02d,,,,United States,,McDowell,,,,,,,,,,,,,,,,,,,,,Diapensiaceae,,,,,,,Shortia,,,,,,,,,,,,,,,,,,,,,,,,BOON,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0fe2dbdf-4fe0-4dbd-836b-ca8c0a23cd22,,,Ericales,,,,,,,,,,,Magnoliophyta,,,,,,,,,,,,Shortia galacifolia,Torr. & A. Gray,,,galacifolia,,North Carolina,,119980,,,,,,,,,,,,,,,,,,,,urn:uuid:0fe2dbdf-4fe0-4dbd-836b-ca8c0a23cd22,jenkinsap,,
db51eb87-40be-4651-974e-6e5bc71eeb95,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,2017-12-11 14:27:17,http://sernecportal.org/portal/collections/individual/index.php?occid=16996410,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,NCU00042370,,,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,,,United States,,Oconee,,,,,,,,,,,,,,,,,,,,,Diapensiaceae,,,,,,,Shortia,,,,,,,,,,,,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",,NCU,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d27dbfb0-2410-4af8-a12e-ab5881c01b11,,,Ericales,,,,,,,,66695,,,Magnoliophyta,,,,,"Berly, J.",,,,,,,Shortia galacifolia,Torr. & A. Gray,,,galacifolia,,South Carolina,,119980,,,,,,,,,,,,,,,,,1944,,,urn:uuid:d27dbfb0-2410-4af8-a12e-ab5881c01b11,,,
0b763fee-e3e6-4a57-9eab-5f8a2417d30d,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,2017-08-31 21:17:25,http://sernecportal.org/portal/collections/individual/index.php?occid=15881006,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,DUKE10095697,,,,274b5332-1247-4374-b124-c819b814cd6e,,,,United States,,Oconee,,,,,,,,,,,,,,,,,,,,,Diapensiaceae,,,,,,,Shortia,,,,,,,,,,,,,,,,,,,,,,,,DUKE,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e37022a9-d96e-4f3f-b14d-60ac61d0fb82,,,Ericales,,,,,,,,,,,Magnoliophyta,,,,,,,,,,,,Shortia galacifolia,Torr. & A. Gray,,,galacifolia,,South Carolina,,119980,,,,,,,,,,,,,,,,,,,,urn:uuid:e37022a9-d96e-4f3f-b14d-60ac61d0fb82,Layne Huiet,,
08b4930b-b4e3-423f-9b85-2f3f5b87eaf1,,http://creativecommons.org/licenses/by-nc/3.0/,,,en,,2013-05-17 15:59:38,http://sernecportal.org/portal/collections/individual/index.php?occid=16249241,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,CLEMS0042936,,,,81b5c57b-5f26-423f-93b6-d4dc434fe707,,,,United States,,Pickens,,,,,,,,,,,,,,,,,,,,,Diapensiaceae,,,,,,,Shortia,,,,,,,,,,,,,,,,,,,,D. B. Rosenkrans,,"field values redacted: eventDate, month, day, startDayOfYear, locality",,CLEMS,,,,Plantae,,,,,,,mature,,,,,,,,,,,,,,,,,,,,,,,09719895-11a4-45ff-85b1-09a9348f0c8c,,,Ericales,,,,,,,,16158,,,Magnoliophyta,,,,,D. B. Rosenkrans,,,,,,,Shortia galacifolia,Torr. & A. Gray,,,galacifolia,,South Carolina,,119980,,,,,,,,,,,,,,,,,1931,,,urn:uuid:09719895-11a4-45ff-85b1-09a9348f0c8c,ddamrel,,
