variable,x,y
elev,-190.6,0.0
elev,-188.4328,0.0
elev,-186.2656,0.0
elev,-184.0984,0.0
elev,-181.9312,0.0
elev,-179.76399999999998,0.0
elev,-177.5968,0.0
elev,-175.4296,0.0
elev,-173.26239999999999,0.0
elev,-171.0952,0.0
elev,-168.928,0.0
elev,-166.7608,0.0
elev,-164.59359999999998,0.0
elev,-162.4264,0.0
elev,-160.2592,0.0
elev,-158.09199999999998,0.0
elev,-155.9248,0.0
elev,-153.7576,0.0
elev,-151.5904,0.0
elev,-149.4232,0.0
elev,-147.256,0.0
elev,-145.0888,0.0
elev,-142.9216,0.0
elev,-140.7544,0.0
elev,-138.5872,0.0
elev,-136.42000000000002,0.0
elev,-134.2528,0.0
elev,-132.0856,0.0
elev,-129.91840000000002,0.0
elev,-127.7512,0.0
elev,-125.584,0.0
elev,-123.4168,0.0
elev,-121.2496,0.0
elev,-119.0824,0.0
elev,-116.91520000000001,0.0
elev,-114.74799999999999,0.0
elev,-112.5808,0.0
elev,-110.4136,0.0
elev,-108.24640000000001,0.0
elev,-106.0792,0.0
elev,-103.91199999999999,0.0
elev,-101.7448,0.0
elev,-99.5776,0.0
elev,-97.41040000000001,0.0
elev,-95.2432,0.0
elev,-93.07600000000001,0.0
elev,-90.9088,0.0
elev,-88.7416,0.0
elev,-86.5744,0.0
elev,-84.4072,0.0
elev,-82.24000000000001,0.0
elev,-80.0728,0.0
elev,-77.9056,0.0
elev,-75.7384,0.0
elev,-73.5712,0.0
elev,-71.40400000000001,0.0
elev,-69.23680000000002,0.0
elev,-67.0696,0.0
elev,-64.9024,0.0
elev,-62.735200000000006,0.0
elev,-60.56800000000001,0.0
elev,-58.400800000000004,0.0
elev,-56.233599999999996,0.0
elev,-54.066400000000016,0.0
elev,-51.89920000000001,0.0
elev,-49.732,0.0
elev,-47.56480000000002,0.0
elev,-45.39760000000001,0.0
elev,-43.23040000000003,0.0
elev,-41.063199999999995,0.0
elev,-38.89599999999999,0.0
elev,-36.72880000000001,0.0
elev,-34.5616,0.0
elev,-32.39440000000002,0.0
elev,-30.22720000000001,0.0
elev,-28.060000000000002,0.0
elev,-25.892800000000022,0.0
elev,-23.725600000000014,0.0
elev,-21.558400000000006,0.0
elev,-19.391199999999998,0.0
elev,-17.22399999999999,0.0
elev,-15.05680000000001,0.0
elev,-12.889600000000002,0.0
elev,-10.722400000000022,-0.004387998580932588
elev,-8.555200000000013,-0.008775997161865234
elev,-6.388000000000034,-0.021923875808715736
elev,-4.220800000000025,-0.03507175445556641
elev,-2.0535999999999888,-0.04819517135620134
elev,0.11359999999999104,-0.061318588256835935
elev,2.2807999999999993,-0.07441763877868661
elev,4.447999999999979,-0.0875166893005371
elev,6.615199999999987,-0.10059151649475098
elev,8.782399999999996,-0.11366634368896485
elev,10.949599999999975,-0.12671666145324698
elev,13.116799999999984,-0.13976697921752929
elev,15.283999999999963,-0.152792978286743
elev,17.4512,-0.16581897735595702
elev,19.61840000000001,-0.17882056236267097
elev,21.785599999999988,-0.19182214736938477
elev,23.952799999999996,-0.20479941368103036
elev,26.119999999999976,-0.21777667999267578
elev,28.287199999999984,-0.23072962760925292
elev,30.454399999999993,-0.2436825752258301
elev,32.62159999999997,-0.2566111087799071
elev,34.78879999999998,-0.26953964233398436
elev,36.95599999999999,-0.2823817253112793
elev,39.1232,-0.2952238082885742
elev,41.290400000000005,-0.3037453651428223
elev,43.457599999999985,-0.3122669219970703
elev,45.62479999999999,-0.3099374771118164
elev,47.79199999999997,-0.3076080322265625
elev,49.95919999999998,-0.2987283706665038
elev,52.12639999999996,-0.28984870910644533
elev,54.29359999999997,-0.28076376914978035
elev,56.460800000000006,-0.27167882919311526
elev,58.627999999999986,-0.2625694751739503
elev,60.795199999999994,-0.25346012115478517
elev,62.962399999999974,-0.2443265438079835
elev,65.12959999999998,-0.23519296646118165
elev,67.29679999999999,-0.22603492736816397
elev,69.46399999999997,-0.21687688827514648
elev,71.63119999999995,-0.20769443511962898
elev,73.79839999999999,-0.19851198196411132
elev,75.96559999999997,-0.18930530548095714
elev,78.1328,-0.18009862899780274
elev,80.29999999999998,-0.170867395401001
elev,82.46719999999996,-0.1616361618041992
elev,84.63439999999994,-0.15238070487976088
elev,86.80159999999998,-0.14312524795532228
elev,88.96880000000002,-0.13384547233581529
elev,91.136,-0.1245656967163086
elev,93.30319999999998,-0.11526141166687012
elev,95.47039999999996,-0.10595712661743165
elev,97.63759999999999,-0.09662852287292467
elev,99.80479999999997,-0.08729991912841797
elev,101.97200000000001,-0.07794699668884253
elev,104.13919999999993,-0.06859407424926758
elev,106.30639999999997,-0.05921669006347656
elev,108.4736,-0.04983930587768555
elev,110.64079999999998,-0.04043765068054213
elev,112.80800000000002,-0.031035995483398436
elev,114.97519999999994,-0.021609878540039307
elev,117.14239999999998,-0.012183761596679688
elev,119.30959999999996,-0.002733421325683716
elev,121.4768,0.0067169189453125
elev,123.64400000000003,0.01619176864624048
elev,125.81119999999996,0.02566661834716797
elev,127.9784,0.03516578674316419
elev,130.14559999999997,0.044664955139160155
elev,132.3128,0.054188489913940555
elev,134.48,0.0637120246887207
elev,136.64719999999997,0.07325987815856934
elev,138.81439999999995,0.08280773162841797
elev,140.9816,0.09238004684448255
elev,143.14879999999997,0.10195236206054688
elev,145.316,0.11154899597167982
elev,147.48319999999998,0.1211456298828125
elev,149.65039999999996,0.13076663017272935
elev,151.8176,0.1403876304626465
elev,153.98479999999998,0.1500329494476317
elev,156.15200000000002,0.15967826843261718
elev,158.31919999999994,0.16934804916381813
elev,160.48639999999997,0.17901782989501952
elev,162.65359999999995,0.1887118816375731
elev,164.8208,0.19840593338012696
elev,166.98799999999997,0.20812444686889647
elev,169.15519999999995,0.217842960357666
elev,171.3224,0.22758576869964614
elev,173.48959999999997,0.23732857704162597
elev,175.6568,0.2470957994461062
elev,177.82399999999993,0.25686302185058596
elev,179.99119999999996,0.2666546106338502
elev,182.15839999999994,0.27644619941711424
elev,184.32559999999998,0.2862621068954468
elev,186.49280000000002,0.2960780143737793
elev,188.65999999999994,0.30591831207275366
elev,190.82719999999998,0.31575860977172854
elev,192.99439999999996,0.3256233453750609
elev,195.1616,0.33548808097839355
elev,197.32879999999997,0.3453770875930786
elev,199.49599999999995,0.35526609420776367
elev,201.66319999999993,0.3651794672012328
elev,203.83039999999997,0.3750928401947021
elev,205.9976,0.3850306034088136
elev,208.16479999999999,0.3949683666229248
elev,210.33199999999997,0.404930567741394
elev,212.49919999999995,0.41489276885986326
elev,214.66639999999998,0.42487928867340097
elev,216.83359999999996,0.43486580848693845
elev,219.0008,0.4448766469955447
elev,221.16799999999992,0.45488748550415037
elev,223.33519999999996,0.4649227142333984
elev,225.5024,0.4749579429626465
elev,227.66959999999997,0.48501760959625234
elev,229.8368,0.4950772762298584
elev,232.00399999999993,0.5051612377166745
elev,234.17119999999997,0.5152451992034912
elev,236.33839999999995,0.5253535032272338
elev,238.5056,0.5354618072509766
elev,240.67279999999997,0.5455945491790771
elev,242.83999999999995,0.5557272911071778
elev,245.00719999999998,0.5658843755722047
elev,247.17439999999996,0.5760414600372314
elev,249.3416,0.5862228870391847
elev,251.50879999999998,0.5964043140411377
elev,253.67599999999996,0.6066101551055908
elev,255.84319999999994,0.6168159961700439
elev,258.0104,0.6270462036132816
elev,260.1776,0.6372764110565186
elev,262.34479999999996,0.6475309371948242
elev,264.51199999999994,0.6577854633331299
elev,266.6791999999999,0.6680644035339353
elev,268.8464,0.6783433437347413
