variable,x,y
bio_14,46.0,0.0
bio_14,46.12,0.0
bio_14,46.24,0.0
bio_14,46.36,0.0
bio_14,46.48,0.0
bio_14,46.6,0.0
bio_14,46.72,0.0
bio_14,46.84,0.0
bio_14,46.96,0.0
bio_14,47.08,0.0
bio_14,47.2,0.0
bio_14,47.32,0.0
bio_14,47.44,0.0
bio_14,47.56,0.0
bio_14,47.68,0.0
bio_14,47.8,0.0
bio_14,47.92,0.0
bio_14,48.04,0.0
bio_14,48.16,0.0
bio_14,48.28,0.0
bio_14,48.4,0.0
bio_14,48.52,0.0
bio_14,48.64,0.0
bio_14,48.76,0.0
bio_14,48.88,0.0
bio_14,49.0,0.0
bio_14,49.12,0.0
bio_14,49.24,0.0
bio_14,49.36,0.0
bio_14,49.48,0.0
bio_14,49.6,0.0
bio_14,49.72,0.0
bio_14,49.84,0.0
bio_14,49.96,0.0
bio_14,50.08,0.0
bio_14,50.2,0.0
bio_14,50.32,0.0
bio_14,50.44,0.0
bio_14,50.56,0.0
bio_14,50.68,0.0
bio_14,50.8,0.0
bio_14,50.92,0.0
bio_14,51.04,0.0
bio_14,51.16,0.0
bio_14,51.28,0.0
bio_14,51.4,0.0
bio_14,51.519999999999996,0.0
bio_14,51.64,0.0
bio_14,51.76,0.0
bio_14,51.88,0.0
bio_14,52.0,0.0
bio_14,52.12,0.0
bio_14,52.24,0.0
bio_14,52.36,0.0
bio_14,52.480000000000004,0.0
bio_14,52.6,0.0
bio_14,52.72,0.0
bio_14,52.84,0.0
bio_14,52.96,0.0
bio_14,53.08,0.0
bio_14,53.2,0.0
bio_14,53.32,0.0
bio_14,53.44,0.0
bio_14,53.56,0.0
bio_14,53.68,0.0
bio_14,53.8,0.0
bio_14,53.92,0.0
bio_14,54.04,0.0
bio_14,54.16,0.0
bio_14,54.28,0.0
bio_14,54.4,0.0
bio_14,54.519999999999996,0.0
bio_14,54.64,0.0
bio_14,54.76,0.0
bio_14,54.88,0.0
bio_14,55.0,0.0
bio_14,55.12,0.0
bio_14,55.24,0.0
bio_14,55.36,0.0
bio_14,55.480000000000004,0.0
bio_14,55.6,0.0
bio_14,55.72,0.0
bio_14,55.84,0.0
bio_14,55.96,-0.0022241245321675982
bio_14,56.08,-0.004467218100619121
bio_14,56.2,-0.011167759149253142
bio_14,56.32,-0.01786830279291892
bio_14,56.44,-0.024568987865837062
bio_14,56.56,-0.0312696729387556
bio_14,56.68,-0.037970262644242234
bio_14,56.8,-0.044670852349728875
bio_14,56.92,-0.05137153742264742
bio_14,57.04,-0.05807222249556556
bio_14,57.16,-0.06477290756848371
bio_14,57.28,-0.07147359264140224
bio_14,57.4,-0.07817423003060472
bio_14,57.519999999999996,-0.08487486741980722
bio_14,57.64,-0.09157545712529411
bio_14,57.76,-0.09827603255810377
bio_14,57.88,-0.10497666897416943
bio_14,58.0,-0.11167733782813663
bio_14,58.12,-0.11837811924162348
bio_14,58.24,-0.12507886432466053
bio_14,58.36,-0.13177940537329413
bio_14,58.480000000000004,-0.1384799665334273
bio_14,58.6,-0.14518069929006144
bio_14,58.72,-0.15188143204669557
bio_14,58.84,-0.15858202175218247
bio_14,58.96,-0.16528261145766898
bio_14,59.08,-0.17198329653058714
bio_14,59.2,-0.17868398160350568
bio_14,59.32,-0.18538452362527652
bio_14,59.44,-0.1920850377504517
bio_14,59.56,-0.19878572185023316
bio_14,59.68,-0.20548643579288398
bio_14,59.8,-0.2121870254983705
bio_14,59.92,-0.2188876152038574
bio_14,60.04,-0.22558839564420735
bio_14,60.16,-0.23228917608455726
bio_14,60.28,-0.23898981347376003
bio_14,60.4,-0.24569045086296235
bio_14,60.519999999999996,-0.2523910882521646
bio_14,60.64,-0.25909172564136734
bio_14,60.76,-0.2657923630305697
bio_14,60.88,-0.2724930004197724
bio_14,61.0,-0.2791936378089749
bio_14,61.12,-0.2858942336776629
bio_14,61.24,-0.29259487009372853
bio_14,61.36,-0.29929554997658236
bio_14,61.480000000000004,-0.30599613968206923
bio_14,61.6,-0.31269672938755577
bio_14,61.72,-0.3193974621441897
bio_14,61.84,-0.3260981949008241
bio_14,61.96,-0.33279883229002655
bio_14,62.08,-0.33949946967922906
bio_14,62.2,-0.3462001070684318
bio_14,62.32,-0.3529007444576341
bio_14,62.44,-0.3593094803038096
bio_14,62.56,-0.3649262979728024
bio_14,62.68,-0.36986127321411966
bio_14,62.8,-0.3744676233148899
bio_14,62.92,-0.37907406878309197
bio_14,63.04,-0.3836805142512938
bio_14,63.16,-0.38828686435206394
bio_14,63.28,-0.39289321445283437
bio_14,63.4,-0.3972665819181066
bio_14,63.519999999999996,-0.4016399493833789
bio_14,63.64,-0.4034499022425438
bio_14,63.760000000000005,-0.40525988948588465
bio_14,63.879999999999995,-0.4070698605102745
bio_14,64.0,-0.40887979909676275
bio_14,64.12,-0.4106896423158193
bio_14,64.24,-0.41249948553487564
bio_14,64.36,-0.41430947180507943
bio_14,64.48,-0.41611945807528333
bio_14,64.6,-0.4179293489780555
bio_14,64.72,-0.4197392398808278
bio_14,64.84,-0.4215490354161684
bio_14,64.96000000000001,-0.423358830951509
bio_14,65.08,-0.42516881722171285
bio_14,65.2,-0.4269788034919168
bio_14,65.32,-0.4287887222912846
bio_14,65.44,-0.4305986618509098
bio_14,65.56,-0.4324086669350968
bio_14,65.68,-0.4342186532053007
bio_14,65.8,-0.43602844874064123
bio_14,65.92,-0.43783824427598184
bio_14,66.03999999999999,-0.4396482305461856
bio_14,66.16,-0.44145821681638964
bio_14,66.28,-0.4432681077191619
bio_14,66.4,-0.44507799862193415
bio_14,66.52,-0.44532395901323174
bio_14,66.64,-0.4455699194045294
bio_14,66.76,-0.4446989364364519
bio_14,66.88,-0.44382795346837467
bio_14,67.0,-0.4429568274491499
bio_14,67.12,-0.442085701429925
bio_14,67.24,-0.4412147619286363
bio_14,67.36,-0.4403438276174117
bio_14,67.48,-0.4376828012012298
bio_14,67.6,-0.43502177154125815
bio_14,67.72,-0.42985491493121303
bio_14,67.84,-0.4246880583211678
bio_14,67.96000000000001,-0.4195209156088275
bio_14,68.08,-0.4143537728964877
bio_14,68.2,-0.4091868686027264
bio_14,68.32,-0.40401996430896575
bio_14,68.44,-0.3988531076989207
bio_14,68.56,-0.3936862510888755
bio_14,68.68,-0.38851920374396676
bio_14,68.8,-0.3833521563990587
bio_14,68.92,-0.37818520442158154
bio_14,69.03999999999999,-0.37301825244410514
bio_14,69.16,-0.3678513004666283
bio_14,69.28,-0.3626843608155542
bio_14,69.4,-0.35751755286236164
bio_14,69.52,-0.3523507306364929
bio_14,69.64,-0.34718363560786863
bio_14,69.76,-0.3420165405792444
bio_14,69.88,-0.33684958860176795
bio_14,70.0,-0.3316826366242908
bio_14,70.12,-0.3265157800142454
bio_14,70.24,-0.32134892340420057
bio_14,70.36,-0.31618187605929216
bio_14,70.48,-0.31101482871438374
bio_14,70.6,-0.30558828658798143
bio_14,70.72,-0.3001617444615786
bio_14,70.84,-0.294711598895845
bio_14,70.96000000000001,-0.28926145333011133
bio_14,71.08,-0.2838113554480938
bio_14,71.2,-0.2783612854626714
bio_14,71.32,-0.2729110455026435
bio_14,71.44,-0.26746077569974525
bio_14,71.56,-0.26201067781772747
bio_14,71.68,-0.25656057993570963
bio_14,71.8,-0.2511104343699763
bio_14,71.92,-0.24566028880424243
bio_14,72.03999999999999,-0.24021009555479328
bio_14,72.16,-0.23475990230534355
bio_14,72.28,-0.22930975673960993
bio_14,72.4,-0.2238596111738763
bio_14,72.52,-0.2184095132918588
bio_14,72.64,-0.2129594154098407
bio_14,72.76,-0.2075093175278226
bio_14,72.88,-0.20205921964580514
bio_14,73.0,-0.1966088833452082
bio_14,73.12,-0.19115859051139988
bio_14,73.24,-0.1857085412862353
bio_14,73.36,-0.18025844664800736
bio_14,73.48,-0.17480834876598922
bio_14,73.6,-0.16935825088397177
bio_14,73.72,-0.16390820068566977
bio_14,73.84,-0.1584581504873678
bio_14,73.96000000000001,-0.15300781418677056
bio_14,74.08,-0.14755747788617402
bio_14,74.2,-0.14210738000415585
bio_14,74.32,-0.13665728212213843
bio_14,74.44,-0.13120718424012062
bio_14,74.56,-0.12575708635810282
bio_14,74.68,-0.12030679774122141
bio_14,74.8,-0.11485650912434067
bio_14,74.92,-0.10940637393873534
bio_14,75.03999999999999,-0.10395627702985495
bio_14,75.16,-0.09850621547828728
bio_14,75.28,-0.09305611759626946
bio_14,75.4,-0.08760606739796716
bio_14,75.52,-0.08215601719966552
bio_14,75.64,-0.07670572858278443
bio_14,75.76,-0.07125543996590336
bio_14,75.88,-0.06580529440017008
bio_14,76.0,-0.060355148834436136
bio_14,76.12,-0.054905050952418
bio_14,76.24,-0.04945495307040053
bio_14,76.36,-0.043880346843174524
bio_14,76.48,-0.03815582820347376
bio_14,76.6,-0.03114781444575565
bio_14,76.72,-0.023477749597458762
bio_14,76.84,-0.015749558299577228
bio_14,76.96000000000001,-0.008021367001695645
