variable,x,y
elev,-195.3,0.0
elev,-193.0164,0.0
elev,-190.7328,0.0
elev,-188.44920000000002,0.0
elev,-186.1656,0.0
elev,-183.882,0.0
elev,-181.5984,0.0
elev,-179.31480000000002,0.0
elev,-177.0312,0.0
elev,-174.7476,0.0
elev,-172.464,0.0
elev,-170.18040000000002,0.0
elev,-167.8968,0.0
elev,-165.6132,0.0
elev,-163.3296,0.0
elev,-161.046,0.0
elev,-158.7624,0.0
elev,-156.4788,0.0
elev,-154.1952,0.0
elev,-151.9116,0.0
elev,-149.62800000000001,0.0
elev,-147.3444,0.0
elev,-145.0608,0.0
elev,-142.7772,0.0
elev,-140.49360000000001,0.0
elev,-138.21,0.0
elev,-135.9264,0.0
elev,-133.6428,0.0
elev,-131.3592,0.0
elev,-129.0756,0.0
elev,-126.792,0.0
elev,-124.50840000000001,0.0
elev,-122.2248,0.0
elev,-119.9412,0.0
elev,-117.6576,0.0
elev,-115.374,0.0
elev,-113.0904,0.0
elev,-110.8068,0.0
elev,-108.52319999999999,0.0
elev,-106.2396,0.0
elev,-103.956,0.0
elev,-101.6724,0.0
elev,-99.3888,0.0
elev,-97.1052,0.0
elev,-94.82159999999999,0.0
elev,-92.538,0.0
elev,-90.25439999999999,0.0
elev,-87.9708,0.0
elev,-85.68719999999999,0.0
elev,-83.40359999999998,0.0
elev,-81.11999999999999,0.0
elev,-78.8364,0.0
elev,-76.5528,0.0
elev,-74.2692,0.0
elev,-71.98559999999999,0.0
elev,-69.702,0.0
elev,-67.41839999999999,0.0
elev,-65.13479999999998,0.0
elev,-62.851200000000006,0.0
elev,-60.5676,0.0
elev,-58.28399999999999,0.0
elev,-56.000399999999985,0.0
elev,-53.716800000000006,0.0
elev,-51.4332,0.0
elev,-49.14959999999999,0.0
elev,-46.865999999999985,0.0
elev,-44.58239999999998,0.0
elev,-42.2988,0.0
elev,-40.01519999999999,0.0
elev,-37.731599999999986,0.0
elev,-35.44799999999998,0.0
elev,-33.16439999999997,0.0
elev,-30.880799999999994,0.0
elev,-28.597199999999987,0.0
elev,-26.31359999999998,0.0
elev,-24.029999999999973,0.0
elev,-21.746399999999966,0.0
elev,-19.46279999999996,0.0
elev,-17.17919999999998,0.0
elev,-14.895600000000002,0.0
elev,-12.611999999999995,0.0
elev,-10.328399999999988,0.0
elev,-8.04479999999998,0.0
elev,-5.761200000000002,-0.01968860594938825
elev,-3.4775999999999954,-0.03951740491474782
elev,-1.1939999999999884,-0.09879355997058528
elev,1.0896000000000186,-0.15806971502642275
elev,3.3732000000000255,-0.21734591776597606
elev,5.6568000000000325,-0.27662212050552937
elev,7.940400000000011,-0.3358982278776505
elev,10.224000000000018,-0.39517433524977247
elev,12.507600000000025,-0.45445058567304153
elev,14.791200000000032,-0.5137268360963108
elev,17.07480000000004,-0.5730029673102905
elev,19.358400000000017,-0.6322791047468255
elev,21.642000000000024,-0.6915553319116012
elev,23.92560000000003,-0.750831551687092
elev,26.20920000000004,-0.8101077782685031
elev,28.492800000000045,-0.8693840048499144
elev,30.776400000000024,-0.9286601837476093
elev,33.06000000000003,-0.9879363626453049
elev,35.34360000000004,-1.0472124938592848
elev,37.627200000000016,-1.1057908821105957
elev,39.91080000000002,-1.147222627401352
elev,42.1944,-1.185855236070376
elev,44.47800000000001,-1.196147348821586
elev,46.761600000000016,-1.20607208887736
elev,49.04520000000002,-1.2015916005770364
elev,51.32880000000003,-1.197111112276713
elev,53.61240000000004,-1.1909606925646465
elev,55.896000000000015,-1.1848102572961903
elev,58.17960000000002,-1.1786598846844747
elev,60.46320000000003,-1.172509528795878
elev,62.74680000000001,-1.1663592521349588
elev,65.03040000000004,-1.1602089754740397
elev,67.31400000000002,-1.1540586034456888
elev,69.5976,-1.147908231417338
elev,71.88120000000004,-1.1417578593889872
elev,74.16480000000001,-1.1356074873606363
elev,76.44839999999999,-1.1294571630160015
elev,78.73200000000003,-1.1233068172813307
elev,81.0156,-1.1171564446696152
elev,83.29920000000004,-1.1110060946146647
elev,85.58280000000002,-1.1048557225863138
elev,87.8664,-1.0987053505579631
elev,90.15000000000003,-1.0925550738970438
elev,92.43360000000001,-1.0864047972361246
elev,94.71720000000005,-1.0802544252077737
elev,97.00080000000003,-1.074104053179423
elev,99.2844,-1.067953728834788
elev,101.56800000000004,-1.0618033772664712
elev,103.85160000000002,-1.05565295697104
elev,106.13520000000005,-1.0495025650660197
elev,108.41880000000003,-1.0433522407213847
elev,110.70240000000001,-1.0372019163767496
elev,112.98600000000005,-1.0310515920321146
elev,115.26960000000003,-1.0249012676874796
elev,117.55320000000006,-1.0187508956591287
elev,119.83680000000004,-1.012600523630778
elev,122.12040000000002,-1.006450199286143
elev,124.40400000000005,-1.0002998418841802
elev,126.68760000000003,-0.9941494692724646
elev,128.97120000000007,-0.9879991308848062
elev,131.25480000000005,-0.9818488065401713
elev,133.53840000000002,-0.9756984821955363
elev,135.82200000000006,-0.9691778461138405
elev,138.10560000000004,-0.962657210032145
elev,140.38920000000007,-0.954859222571055
elev,142.67280000000005,-0.947061235109965
elev,144.9564000000001,-0.9382373325030008
elev,147.24000000000007,-0.9294133910050629
elev,149.52360000000004,-0.9195735385654666
elev,151.80720000000008,-0.9097337261835733
elev,154.09080000000006,-0.8988219443957011
elev,156.3744000000001,-0.8879101626078286
elev,158.65800000000007,-0.8769366304079691
elev,160.94160000000005,-0.8659630982081093
elev,163.2252000000001,-0.854989709059397
elev,165.5088,-0.8440162763527944
elev,167.79240000000004,-0.8330426958858542
elev,170.07600000000002,-0.8220691601435343
elev,172.3596,-0.8110956756273906
elev,174.64320000000004,-0.8001221911112466
elev,176.92680000000001,-0.7888851586977641
elev,179.21040000000005,-0.7776481262842813
elev,181.49400000000003,-0.7642336646715799
elev,183.7776,-0.7508192030588786
elev,186.06120000000004,-0.7363576059223064
elev,188.34480000000002,-0.7218959616431107
elev,190.62840000000006,-0.7048170895779384
elev,192.91200000000003,-0.6875188665187105
elev,195.1956,-0.6653585326248874
elev,197.47920000000005,-0.6421756535726235
elev,199.76280000000003,-0.6180788683130388
elev,202.04640000000006,-0.5933030503861445
elev,204.33000000000004,-0.5685271847755352
elev,206.61360000000008,-0.5437513191649253
elev,208.89720000000005,-0.5189755012380315
elev,211.18080000000003,-0.49419968331113767
elev,213.46440000000007,-0.46942381770052766
elev,215.74800000000005,-0.44464795208991836
elev,218.03160000000008,-0.4198721295172437
elev,220.31520000000006,-0.3950962874568099
elev,222.59880000000004,-0.3703204506255212
elev,224.88240000000008,-0.345544632698627
elev,227.16600000000005,-0.3207687432461598
elev,229.4496000000001,-0.2959928537936919
elev,231.73320000000007,-0.27121701202494014
elev,234.01680000000005,-0.24644117025618845
elev,236.30040000000008,-0.22166532848743636
elev,238.58400000000006,-0.19688948671868492
elev,240.8676000000001,-0.17211369263364867
elev,243.15120000000007,-0.14733789854861304
elev,245.43480000000005,-0.12256205677986158
elev,247.7184000000001,-0.09778621501110948
elev,250.00200000000007,-0.07301036451302531
elev,252.2856000000001,-0.04823449861073302
elev,254.56920000000008,-0.02345854665370679
elev,256.85280000000006,0.001317390482476566
elev,259.1364000000001,0.026093232251228636
elev,261.4200000000001,0.05086907401998011
elev,263.7036000000001,0.07564489194687427
elev,265.9872000000001,0.1004207098737678
elev,268.2708,0.12519655164251892
elev,270.55440000000004,0.14997239341127122
elev,272.838,0.17474823518002267
elev,275.12160000000006,0.19952407694877478
elev,277.40520000000004,0.22429993094704687
elev,279.6888,0.24907579684933875
elev,281.97240000000005,0.27385164993874606
elev,284.25600000000003,0.2986274917074975
elev,286.53960000000006,0.32340332008
elev,288.82320000000004,0.34817913771521125
elev,291.1068000000001,0.3729549693300373
elev,293.39040000000006,0.39773081109878883
elev,295.67400000000004,0.42250669127237683
elev,297.95760000000007,0.4472825810165272
elev,300.24120000000005,0.47205843177247536
elev,302.5248000000001,0.4968342735412275
elev,304.80840000000006,0.5216100914681213
elev,307.09200000000004,0.5463859093950151
elev,309.3756000000001,0.5711617511637672
elev,311.65920000000006,0.5959375929325186
elev,313.9428000000001,0.6207134347012707
elev,316.22640000000007,0.6454892764700222
elev,318.51000000000005,0.6702651595604336
elev,320.7936,0.6950410493045833
elev,323.0772,0.7198168733018505
elev,325.3608000000001,0.744592691228745
elev,327.6444000000001,0.7693685143509656
elev,329.92800000000005,0.7941443319861771
elev,332.21160000000003,0.8189201688512842
elev,334.4952,0.843696010620036
elev,336.7788,0.8684718523887872
elev,339.0624000000001,0.8932476941575397
elev,341.34600000000006,0.9180235563229162
elev,343.62960000000004,0.9427994222252082
elev,345.9132,0.9675752671475106
elev,348.1968,0.9923511089162623
elev,350.4804000000001,1.0171269268431569
elev,352.76400000000007,1.0419027447700502
elev,355.04760000000005,1.0666785865388018
elev,357.3312,1.0914544283075536
elev,359.6148,1.1162302928063879
elev,361.8984000000001,1.1410061587086808
elev,364.1820000000001,1.1657820012975246
elev,366.46560000000005,1.1905578430662764
elev,368.74920000000003,1.215333708676886
elev,371.0328,1.2401095739408587
elev,373.3164000000001,1.2648853915760712
elev,375.6000000000001,1.2896612101412837
elev,377.88360000000006,1.3144370280681774
elev,380.16720000000004,1.3392050703197507
elev,382.4508,1.3634645961869687
elev,384.7344000000001,1.387700322063257
elev,387.0180000000001,1.4100706222420891
elev,389.30160000000006,1.4324100289615334
elev,391.58520000000004,1.451935327399707
elev,393.8688,1.471446553798432
elev,396.1524000000001,1.4889775820742266
elev,398.4360000000001,1.5064635986554709
elev,400.71960000000007,1.5232254850061229
elev,403.00320000000005,1.5398810645367238
elev,405.2868,1.5556171175647289
elev,407.5704000000001,1.571285327182594
elev,409.8540000000001,1.5855500144950043
elev,412.1376000000001,1.5997999091520378
elev,414.42120000000006,1.6134165191058571
elev,416.70480000000003,1.6270331352399594
elev,418.9884000000001,1.6406329608174928
elev,421.2720000000001,1.6542327931586733
elev,423.5556000000001,1.6678326428697468
elev,425.83920000000006,1.6814324778867953
elev,428.12280000000004,1.6948951767268756
elev,430.40640000000013,1.708357883497333
elev,432.6900000000001,1.7215498344906677
elev,434.9736000000001,1.7347417854840033
elev,437.25720000000007,1.7474265128712283
elev,439.54080000000005,1.7601112357099005
elev,441.82440000000014,1.7723724600292272
elev,444.1080000000001,1.784629608870398
elev,446.3916000000001,1.795892547168208
elev,448.6752000000001,1.8071290612220765
elev,450.95880000000005,1.8172884315252305
elev,453.24240000000015,1.8274478018283844
elev,455.5260000000001,1.8376071602106094
elev,457.8096000000001,1.8475184410514562
elev,460.0932000000001,1.8568177755673727
elev,462.37680000000006,1.865990837681378
elev,464.66040000000015,1.8747584251922078
elev,466.94400000000013,1.8835260064043902
elev,469.2276000000001,1.892293581848449
elev,471.5112000000001,1.9010611572925082
elev,473.7948000000002,1.9098287327365675
elev,476.07840000000016,1.9185963150626377
elev,478.36200000000014,1.9273639144943964
elev,480.6456000000001,1.9361315067524607
elev,482.9292000000001,1.9447193980343798
elev,485.2128000000002,1.9533072967816754
elev,487.49640000000016,1.9616288627356504
elev,489.78000000000014,1.9699504209325671
elev,492.0636000000001,1.978271950977914
elev,494.3472000000001,1.9865934810232608
elev,496.6308000000002,1.994915011068608
elev,498.91440000000017,2.003236541113955
elev,501.19800000000015,2.0114080105056154
elev,503.4816000000001,2.019207367102305
elev,505.7652000000001,2.0261921749512353
elev,508.0488000000002,2.0329825334684224
elev,510.3324000000002,2.0391269685190623
elev,512.6160000000002,2.0451794792574347
elev,514.8996000000002,2.0508645766614175
elev,517.1832000000002,2.0565496740654003
elev,519.4668000000001,2.0622347595484545
elev,521.7504000000001,2.0679198450315086
elev,524.0340000000001,2.0736049305145623
elev,526.3176000000001,2.0792900159976164
elev,528.6012000000001,2.084975113401599
elev,530.8848,2.0906602108055816
elev,533.1684,2.0963452843677066
elev,535.452,2.1020303472559503
elev,537.7356,2.1072451042621694
elev,540.0192,2.112459872233952
elev,542.3028000000002,2.1172922417479207
elev,544.5864000000001,2.122124622519135
elev,546.8700000000001,2.126957016020802
elev,549.1536000000001,2.1317893864246122
elev,551.4372000000001,2.1364787761708524
elev,553.7208,2.141168177757703
elev,556.0044,2.145797760414739
elev,558.288,2.1504273550730226
elev,560.5716,2.154866798279133
elev,562.8552,2.1593062180661144
