x,y,species_0 logistic values
1.0,1.0,0.28784472
2.0,2.0,0.03289224
3.0,3.0,0.042011585
4.0,4.0,0.59048885
5.0,5.0,0.020394532
6.0,6.0,0.035893325
7.0,7.0,0.0029473635
8.0,8.0,0.30127564
9.0,9.0,0.01617752
10.0,10.0,0.046937425
11.0,11.0,0.03550638
12.0,12.0,0.5809269
13.0,13.0,0.05875785
14.0,14.0,0.05668256
15.0,15.0,0.32782117
16.0,16.0,0.03749618
17.0,17.0,0.029722009
18.0,18.0,0.26197258
19.0,19.0,0.00793888
20.0,20.0,0.33250642
21.0,21.0,0.47198656
22.0,22.0,0.013920997
23.0,23.0,0.07341858
24.0,24.0,0.0800264
25.0,25.0,0.015315083
26.0,26.0,0.0062914738
27.0,27.0,0.603604
28.0,28.0,0.07384165
29.0,29.0,0.4199039
30.0,30.0,0.07199926
31.0,31.0,0.033817574
32.0,32.0,0.08216019
33.0,33.0,0.06732836
34.0,34.0,0.09385471
35.0,35.0,0.060820922
36.0,36.0,0.1729269
37.0,37.0,0.102538735
38.0,38.0,0.08305984
39.0,39.0,0.10327361
40.0,40.0,0.19010746
41.0,41.0,0.13366576
42.0,42.0,0.04281213
43.0,43.0,0.015899632
44.0,44.0,0.0075697484
45.0,45.0,0.08032894
46.0,46.0,0.062340654
47.0,47.0,0.02060476
48.0,48.0,0.17583866
49.0,49.0,0.05764391
50.0,50.0,0.01571633
51.0,51.0,0.03162402
52.0,52.0,0.008263661
53.0,53.0,0.059589986
54.0,54.0,0.14210749
55.0,55.0,0.28686488
56.0,56.0,0.06668251
57.0,57.0,0.018565893
58.0,58.0,0.020432288
59.0,59.0,0.09329019
60.0,60.0,0.16897011
61.0,61.0,0.09502917
62.0,62.0,0.042380963
63.0,63.0,0.010353542
64.0,64.0,0.018491184
65.0,65.0,0.1552291
66.0,66.0,0.20056243
67.0,67.0,0.1559804
68.0,68.0,0.40598908
69.0,69.0,0.14467596
70.0,70.0,0.059847113
71.0,71.0,0.016656421
72.0,72.0,0.61451787
73.0,73.0,0.068703085
74.0,74.0,0.0133738
75.0,75.0,0.04514559
76.0,76.0,0.017092412
77.0,77.0,0.009220378
78.0,78.0,0.028807752
79.0,79.0,0.50598675
80.0,80.0,0.14022273
81.0,81.0,0.29693136
82.0,82.0,0.058914486
83.0,83.0,0.0026135596
84.0,84.0,0.206354
85.0,85.0,0.046015393
86.0,86.0,0.056322463
87.0,87.0,0.5451805
88.0,88.0,0.007821099
89.0,89.0,0.031086229
90.0,90.0,0.082232095
91.0,91.0,0.24892922
92.0,92.0,0.11958554
93.0,93.0,0.040639162
94.0,94.0,0.004425474
95.0,95.0,0.0048647565
96.0,96.0,0.029903471
97.0,97.0,0.056370426
98.0,98.0,0.10002254
99.0,99.0,0.23794414
100.0,100.0,0.016561382
101.0,101.0,0.17542244
102.0,102.0,0.41636547
103.0,103.0,0.013082858
104.0,104.0,0.5643318
105.0,105.0,0.0771467
106.0,106.0,0.014837085
107.0,107.0,0.033659656
108.0,108.0,0.32953125
109.0,109.0,0.11743895
110.0,110.0,0.009054769
111.0,111.0,0.0061155385
112.0,112.0,0.40199712
113.0,113.0,0.06264966
114.0,114.0,0.030994216
115.0,115.0,0.03203593
116.0,116.0,0.14555557
117.0,117.0,0.064413466
118.0,118.0,0.41927028
119.0,119.0,0.6502384
120.0,120.0,0.044543143
121.0,121.0,0.014494955
122.0,122.0,0.34437832
123.0,123.0,0.012179964
124.0,124.0,0.024436025
125.0,125.0,0.014561404
126.0,126.0,0.04738767
127.0,127.0,0.01642676
128.0,128.0,0.049468357
129.0,129.0,0.031960797
130.0,130.0,0.024888303
131.0,131.0,0.52268916
132.0,132.0,0.57842654
133.0,133.0,0.012787447
134.0,134.0,0.034139287
135.0,135.0,0.0050681974
136.0,136.0,0.13035718
137.0,137.0,0.008363396
138.0,138.0,0.038580954
139.0,139.0,0.050919335
140.0,140.0,0.058223758
141.0,141.0,0.0083194915
142.0,142.0,0.013987779
143.0,143.0,0.10846815
144.0,144.0,0.06455737
145.0,145.0,0.03187673
146.0,146.0,0.016890861
