Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.46185E-7,0.000014619,0.000610007,1,0,0
1.53811E-7,0.00003,0.00064181,0.999900537,0,0
1.58424E-7,0.000061328,0.000661046,0.999701611,0,0
2.05903E-7,0.00010172,0.000858988,0.999502685,0,0
2.53355E-7,0.000263891,0.001056737,0.998806445,0,0
3.71142E-7,0.000519241,0.001547265,0.998010742,0,0
5.43503E-7,0.001039734,0.002264195,0.99691665,0,0
8.30171E-7,0.002547839,0.003454313,0.994629003,0,0
1.23501E-6,0.005059016,0.005130193,0.992241894,0,0
1.71197E-6,0.010081072,0.007097392,0.988959618,0,0
2.38101E-6,0.025119868,0.009843766,0.981698826,0,0
2.96231E-6,0.050033178,0.012217682,0.97254824,0,0
3.6738E-6,0.100072536,0.015107772,0.957628804,0.018518519,0
4.6683E-6,0.20001675,0.019119278,0.933757708,0.018518519,0
5.88822E-6,0.300359751,0.023995662,0.914561369,0.018518519,0
6.99909E-6,0.400502374,0.028394126,0.899045156,0.018518519,0
8.01859E-6,0.500051095,0.03239606,0.88581659,0.018518519,0
8.99748E-6,0.600195849,0.036207705,0.874079968,0.018518519,0
1.01097E-5,0.700119811,0.04050218,0.863636364,0.018518519,0
1.08175E-5,0.75047549,0.043215243,0.858862144,0.018518519,0
1.13643E-5,0.80050667,0.045300907,0.854386314,0.018518519,0
1.25664E-5,0.901037419,0.049853954,0.84603143,0.018518519,0
1.3693E-5,1.000273143,0.054081571,0.83847225,0.018518519,0
1.49796E-5,1.100653364,0.058864075,0.831509847,0.018518519,0
1.62597E-5,1.200636852,0.063574342,0.825144221,0.018518519,0.055555556
1.75241E-5,1.300396274,0.068180916,0.81927591,0.018518519,0.055555556
1.84231E-5,1.401499552,0.071428987,0.813705988,0.018518519,0.055555556
1.93215E-5,1.501351763,0.074652048,0.808434454,0.018518519,0.055555556
2.12439E-5,1.751365693,0.081474704,0.79629998,0.018518519,0.055555556
2.30223E-5,2.002209293,0.087696981,0.785060672,0.037037037,0.055555556
2.4542E-5,2.250203331,0.092947875,0.774716531,0.037037037,0.055555556
2.59861E-5,2.500485582,0.097881651,0.764869704,0.037037037,0.055555556
2.73115E-5,2.750985625,0.102363034,0.755520191,0.037037037,0.111111111
2.84397E-5,3.001732116,0.10614274,0.74656853,0.037037037,0.111111111
2.96411E-5,3.251570515,0.110132554,0.738014721,0.037037037,0.111111111
3.05457E-5,3.50134877,0.11311357,0.7297593,0.037037037,0.111111111
3.13607E-5,3.752177991,0.11578214,0.721702805,0.037037037,0.111111111
3.217E-5,4.003086651,0.118416328,0.713845236,0.037037037,0.111111111
3.30325E-5,4.25084567,0.121206197,0.706286055,0.037037037,0.111111111
3.37263E-5,4.501101399,0.123437817,0.698826338,0.037037037,0.111111111
3.43802E-5,4.75313437,0.125530466,0.691466083,0.037037037,0.111111111
3.50071E-5,5.00291855,0.127527572,0.684304754,0.037037037,0.111111111
3.56743E-5,5.250387523,0.129643137,0.677342351,0.037037037,0.111111111
3.6228E-5,5.502256854,0.131391022,0.670379948,0.037037037,0.111111111
3.68014E-5,5.750393778,0.13319357,0.663616471,0.037037037,0.111111111
3.74806E-5,6.002714247,0.13531922,0.656852994,0.037037037,0.111111111
3.80349E-5,6.252025636,0.137046089,0.650288442,0.037037037,0.111111111
3.85619E-5,6.500945526,0.138681432,0.643823354,0.055555556,0.111111111
3.92045E-5,6.753806792,0.140667442,0.637358265,0.055555556,0.111111111
3.98975E-5,7.002917066,0.142799004,0.631092103,0.055555556,0.111111111
4.05382E-5,7.252301186,0.144760125,0.624925403,0.055555556,0.111111111
4.10956E-5,7.501307257,0.146459191,0.618858166,0.055555556,0.111111111
4.16223E-5,7.753570506,0.148058104,0.612790929,0.055555556,0.111111111
4.21959E-5,8.000813936,0.149793131,0.606922618,0.074074074,0.111111111
4.27689E-5,8.251300095,0.151518804,0.601054307,0.074074074,0.111111111
4.33695E-5,8.501355135,0.153320346,0.595285459,0.074074074,0.111111111
4.38608E-5,8.754254728,0.154788335,0.58951661,0.074074074,0.111111111
4.44188E-5,9.001485782,0.156449595,0.583946688,0.074074074,0.111111111
4.48451E-5,9.251482156,0.157714149,0.578376765,0.074074074,0.111111111
4.54366E-5,9.504518207,0.159462831,0.572806843,0.074074074,0.111111111
4.59591E-5,9.751135363,0.161001354,0.567435846,0.074074074,0.111111111
4.65536E-5,10.001045952,0.162744903,0.56206485,0.074074074,0.111111111
4.7082E-5,10.253843854,0.164288862,0.556693853,0.074074074,0.111111111
4.75157E-5,10.504418248,0.165551459,0.551422319,0.092592593,0.111111111
4.79399E-5,10.752564961,0.166783031,0.546250249,0.092592593,0.111111111
4.85328E-5,11.003376097,0.168498088,0.541078178,0.092592593,0.111111111
4.88787E-5,11.251733858,0.169495468,0.53600557,0.092592593,0.111111111
4.93598E-5,11.502068159,0.170878735,0.530932962,0.092592593,0.111111111
5.0027E-5,11.750661149,0.172789387,0.525959817,0.111111111,0.111111111
5.06367E-5,12.002191405,0.17452784,0.520986672,0.111111111,0.111111111
5.12515E-5,12.251723125,0.176273143,0.51611299,0.111111111,0.111111111
5.17932E-5,12.504322432,0.177805112,0.511239308,0.111111111,0.111111111
5.23189E-5,12.754295952,0.179286371,0.506465089,0.111111111,0.111111111
5.28571E-5,13.00160909,0.180797148,0.501790332,0.111111111,0.111111111
5.34044E-5,13.251147867,0.182327807,0.497115576,0.111111111,0.111111111
5.39018E-5,13.503253221,0.183714024,0.49244082,0.111111111,0.111111111
5.44321E-5,13.752565175,0.18518659,0.487865526,0.111111111,0.111111111
5.51488E-5,14.004355291,0.187168601,0.483290233,0.111111111,0.111111111
5.56725E-5,14.25381733,0.188610816,0.478814402,0.111111111,0.111111111
5.6221E-5,14.500134869,0.190115741,0.474438035,0.111111111,0.111111111
5.68513E-5,14.754475936,0.191838399,0.469962204,0.111111111,0.111111111
5.73974E-5,15.005556259,0.193324736,0.465585836,0.111111111,0.111111111
5.80071E-5,15.253855057,0.194978053,0.461308932,0.111111111,0.111111111
5.84455E-5,15.50424564,0.19616257,0.457032027,0.111111111,0.111111111
5.88547E-5,15.750658616,0.19726486,0.452854585,0.111111111,0.111111111
5.94069E-5,16.004947356,0.198747933,0.448577681,0.111111111,0.166666667
6.00166E-5,16.255953958,0.200378963,0.444400239,0.111111111,0.166666667
6.04688E-5,16.503000089,0.20158439,0.44032226,0.111111111,0.166666667
6.1017E-5,16.752143102,0.203041014,0.436244281,0.111111111,0.166666667
6.15183E-5,17.00342341,0.204367999,0.432166302,0.111111111,0.166666667
6.21589E-5,17.250853935,0.206057609,0.428187786,0.111111111,0.166666667
6.28877E-5,17.501009637,0.207971329,0.42420927,0.12962963,0.166666667
6.34269E-5,17.753691543,0.209380939,0.420230754,0.12962963,0.166666667
6.40109E-5,18.002247709,0.210902257,0.416351701,0.12962963,0.166666667
6.46206E-5,18.253250106,0.212484298,0.412472648,0.12962963,0.166666667
6.52049E-5,18.50005935,0.213994398,0.408693057,0.12962963,0.166666667
6.57066E-5,18.755404944,0.215286404,0.404814004,0.12962963,0.166666667
6.63562E-5,19.006355451,0.216953104,0.401034414,0.12962963,0.166666667
6.67927E-5,19.252678149,0.21806902,0.397354287,0.12962963,0.166666667
6.73042E-5,19.500791369,0.219372683,0.39367416,0.12962963,0.166666667
6.783E-5,19.75089249,0.220708361,0.389994032,0.12962963,0.166666667
6.83042E-5,20.002745893,0.22190882,0.386313905,0.12962963,0.166666667
6.89231E-5,20.256624358,0.223470069,0.382633778,0.12962963,0.166666667
6.93545E-5,20.505450876,0.224554806,0.379053113,0.12962963,0.166666667
6.9961E-5,20.756479132,0.22607452,0.375472449,0.12962963,0.166666667
7.04967E-5,21.002252714,0.227411913,0.371991247,0.12962963,0.166666667
7.10262E-5,21.25003744,0.228729507,0.368510046,0.12962963,0.166666667
7.15413E-5,21.50661926,0.230006557,0.364929381,0.12962963,0.166666667
7.20666E-5,21.75083962,0.231304945,0.361547643,0.12962963,0.166666667
7.26967E-5,22.004188102,0.232856232,0.358066441,0.12962963,0.166666667
7.34251E-5,22.252675803,0.234642098,0.354684703,0.12962963,0.166666667
7.41545E-5,22.503620167,0.236421943,0.351302964,0.12962963,0.166666667
