x,y,raw,cumulative,Logistic
1.0,1.0,9.98792E-5,18.494308222,0.298568746
2.0,2.0,7.34296E-6,1.143397213,0.030343988
3.0,3.0,9.43916E-6,1.796926998,0.038671347
4.0,4.0,3.27493E-4,47.563606712,0.582581791
5.0,5.0,4.50918E-6,0.440849293,0.018854516
6.0,6.0,7.58473E-6,1.224776015,0.031311829
7.0,7.0,5.21082E-7,0.002367517,0.002215779
8.0,8.0,1.06166E-4,19.123383957,0.31150843
9.0,9.0,3.35557E-6,0.229105911,0.014098848
10.0,10.0,9.28525E-6,1.751999454,0.038064811
11.0,11.0,1.09151E-5,2.212245596,0.044449321
12.0,12.0,3.21213E-4,46.914652865,0.577866072
13.0,13.0,1.26067E-5,2.69356207,0.050986865
14.0,14.0,1.45699E-5,3.277595074,0.058462628
15.0,15.0,1.09785E-4,19.54383874,0.318742476
16.0,16.0,8.70846E-6,1.564859296,0.03578488
17.0,17.0,7.40793E-6,1.161846719,0.030604276
18.0,18.0,8.18279E-5,15.898925116,0.258560011
19.0,19.0,1.5901E-6,0.039828368,0.00673093
20.0,20.0,1.17322E-4,20.373805532,0.333329088
21.0,21.0,2.10937E-4,33.284650164,0.473393649
22.0,22.0,4.04574E-6,0.341815917,0.016949537
23.0,23.0,1.49758E-5,3.379587937,0.05999354
24.0,24.0,2.03243E-5,4.788066542,0.079712088
25.0,25.0,5.13329E-6,0.589199604,0.021408273
26.0,26.0,1.28275E-6,0.022133956,0.005437009
27.0,27.0,3.43963E-4,49.514384064,0.594463926
28.0,28.0,1.79294E-5,4.195867469,0.07098596
29.0,29.0,1.72381E-4,27.875430277,0.4235105
30.0,30.0,1.62171E-5,3.716804688,0.064644669
31.0,31.0,8.99953E-6,1.662408443,0.036936762
32.0,32.0,2.85951E-5,6.564618096,0.108626311
33.0,33.0,1.57686E-5,3.5950805,0.062969724
34.0,34.0,2.28024E-5,5.305818162,0.088570076
35.0,35.0,1.88343E-5,4.431645575,0.074302214
36.0,36.0,5.20735E-5,10.972854445,0.181617235
37.0,37.0,3.40293E-5,7.635020373,0.126654989
38.0,38.0,1.78566E-5,4.172608709,0.070717983
39.0,39.0,2.59008E-5,5.953556777,0.099408682
40.0,40.0,4.68964E-5,10.074303075,0.166568763
41.0,41.0,3.19429E-5,7.212195441,0.119819979
42.0,42.0,8.19771E-6,1.41525986,0.033756941
43.0,43.0,6.15483E-6,0.828809733,0.025559686
44.0,44.0,1.37482E-6,0.029031613,0.005824949
45.0,45.0,1.65681E-5,3.813402718,0.065951584
46.0,46.0,1.38053E-5,3.051955312,0.055565227
47.0,47.0,6.16734E-6,0.832508183,0.025610315
48.0,48.0,4.97738E-5,10.61054663,0.175000217
49.0,49.0,1.38497E-5,3.064399909,0.055733736
50.0,50.0,3.63114E-6,0.264425513,0.015239041
51.0,51.0,7.23542E-6,1.11497943,0.029912909
52.0,52.0,1.66876E-6,0.044392564,0.007061536
53.0,53.0,1.47412E-5,3.31714935,0.059109366
54.0,54.0,3.3801E-5,7.590939855,0.125912485
55.0,55.0,9.1819E-5,17.304801297,0.281250858
56.0,56.0,1.37407E-5,3.031284794,0.055319273
57.0,57.0,4.11722E-6,0.356934829,0.01724383
58.0,58.0,1.14169E-5,2.364179361,0.046397863
59.0,59.0,2.43946E-5,5.621774306,0.094172476
60.0,60.0,4.88201E-5,10.42825368,0.172224554
61.0,61.0,2.44618E-5,5.641312576,0.094407424
62.0,62.0,1.01666E-5,1.999211032,0.041528013
63.0,63.0,3.77689E-6,0.28965448,0.015841034
64.0,64.0,5.26451E-6,0.627701111,0.021943506
65.0,65.0,3.31974E-5,7.466991645,0.123942782
66.0,66.0,4.83655E-5,10.355366276,0.170894884
67.0,67.0,4.03547E-5,8.882194754,0.14674314
68.0,68.0,1.95807E-4,31.268271248,0.454884272
69.0,69.0,3.55672E-5,7.916778334,0.131625732
70.0,70.0,1.37202E-5,3.023044176,0.055241633
71.0,71.0,4.18827E-6,0.371038464,0.017536173
72.0,72.0,3.75914E-4,54.41685822,0.615685824
73.0,73.0,1.38826E-5,3.075495927,0.055858884
74.0,74.0,4.91388E-6,0.551072743,0.02051198
75.0,75.0,8.97748E-6,1.652516773,0.036849575
76.0,76.0,4.4219E-6,0.425206851,0.018496301
77.0,77.0,1.71991E-6,0.048129206,0.007276445
78.0,78.0,6.85523E-6,1.002635608,0.028385731
79.0,79.0,2.41043E-4,37.304390028,0.506722107
80.0,80.0,3.75075E-5,8.288934262,0.137816806
81.0,81.0,8.9957E-5,17.013926265,0.277127931
82.0,82.0,1.24915E-5,2.66972467,0.050544352
83.0,83.0,6.0294E-7,0.00331875,0.002562973
84.0,84.0,6.12533E-5,12.46282189,0.207006218
85.0,85.0,1.5644E-5,3.558953026,0.062503223
86.0,86.0,1.16933E-5,2.462399039,0.047468007
87.0,87.0,2.62306E-4,39.565628515,0.52782796
88.0,88.0,2.02481E-6,0.071277444,0.008555341
89.0,89.0,7.24177E-6,1.117875542,0.029938356
90.0,90.0,1.89382E-5,4.463766064,0.074681538
91.0,91.0,7.22095E-5,14.40645571,0.235319623
92.0,92.0,2.79869E-5,6.462707827,0.106562223
93.0,93.0,7.46942E-6,1.185634209,0.030850478
94.0,94.0,7.54576E-7,0.005556027,0.003205477
95.0,95.0,8.75207E-7,0.007605298,0.00371602
96.0,96.0,6.96728E-6,1.027532755,0.028836298
97.0,97.0,1.25135E-5,2.675976222,0.050628963
98.0,98.0,2.44253E-5,5.636421842,0.094279688
99.0,99.0,7.31658E-5,14.580756746,0.237695426
100.0,100.0,4.12951E-6,0.36105702,0.01729442
