X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,1.1632066743594153E-5,2.4260838231751882,0.04723114827541525
2.0,2.0,train,7.122692500945324E-5,14.22749501918426,0.23286329009136206
5.0,5.0,train,3.6065773885950685E-4,51.96635150363648,0.6058366619254261
6.0,6.0,train,5.4772198425326774E-6,0.6716179679105735,0.022809895797174524
7.0,7.0,train,5.137667099280321E-5,10.863589197473905,0.17962352894252917
9.0,9.0,train,1.087069856644928E-4,19.443789645089954,0.3166027826614269
10.0,10.0,train,2.6101636492271724E-4,39.44160059013103,0.526599543134428
11.0,11.0,train,5.380128312576412E-4,79.78647701745142,0.6963122207161127
12.0,12.0,train,2.350969756229655E-4,36.51807622753326,0.500478425446689
13.0,13.0,train,1.4583783769344904E-4,24.50816909777277,0.38329423809143204
14.0,14.0,train,6.511234739657392E-4,91.76450977364911,0.7350923579064125
17.0,17.0,train,6.437030440694871E-4,91.13778213336113,0.7328543805977422
18.0,18.0,train,2.677948405419848E-4,40.25487355071218,0.5329862131954429
19.0,19.0,train,6.040258972915992E-4,87.45795439077015,0.7202158779532382
20.0,20.0,train,1.6893355319940227E-4,27.53090995061203,0.41858643208293167
21.0,21.0,train,3.6378003385180706E-4,52.34947445817439,0.6078932087027485
22.0,22.0,train,2.174290158338704E-4,34.15870098725462,0.48095622780990516
23.0,23.0,train,6.330871949832928E-4,90.00758574703842,0.7295861263774728
24.0,24.0,train,2.2010686721421477E-4,34.561992546395004,0.48401265163210333
25.0,25.0,train,1.1054958642472469E-4,19.623126704806033,0.32025063567349904
26.0,26.0,train,4.734738905309756E-4,70.09290956663996,0.6686337917869446
27.0,27.0,train,2.307228620546846E-4,35.84230192383064,0.49578331747653565
28.0,28.0,train,4.197127591728826E-4,61.10638256192655,0.6414093049814588
29.0,29.0,train,6.030860808615972E-4,87.26648299142727,0.7199020004619963
30.0,30.0,train,1.340400043395915E-4,22.973531332277645,0.3635599327034178
31.0,31.0,train,3.104473522086181E-4,45.54577534703596,0.5695290477169638
32.0,32.0,train,3.560939181550686E-5,7.942598681971596,0.13176127183928052
34.0,34.0,train,1.7118467907728816E-5,3.974719194743215,0.06799357369973946
35.0,35.0,train,5.528648082763697E-4,81.78725173197033,0.7020395774446825
36.0,36.0,train,2.7782934025519867E-5,6.39992351807177,0.10586780495692723
38.0,38.0,train,2.0901952208442667E-4,32.993479355050574,0.4711180042353205
39.0,39.0,train,3.156932339303304E-6,0.19931548459390708,0.013275330091923838
41.0,41.0,train,3.508095219385039E-4,50.58969123629864,0.5992062759041341
42.0,42.0,train,6.49511905585321E-5,13.132811685887226,0.21679397327717667
43.0,43.0,train,4.875157069131711E-4,72.59270330569767,0.6750769107455827
44.0,44.0,train,2.020055113747627E-5,4.760632942139692,0.07926507984398241
45.0,45.0,train,3.013724942154939E-6,0.18239202458224155,0.012680759936046983
46.0,46.0,train,2.752370699429131E-4,40.727574991110686,0.5398027044923076
47.0,47.0,train,4.890578391463433E-4,72.94066875337536,0.6757692842047761
48.0,48.0,train,4.1198334392003766E-5,9.066730685548851,0.1493527515204214
49.0,49.0,train,4.1915427014406474E-5,9.206016230552411,0.15155837203612924
50.0,50.0,train,5.957859507959315E-5,12.246298050321766,0.20249255941302868
51.0,51.0,train,4.441878566353919E-4,64.96783485786152,0.654338128033077
52.0,52.0,train,1.619290676038102E-6,0.042809999290119444,0.006853653321412557
53.0,53.0,train,2.3913005883431087E-4,36.98937200477566,0.5047306574015652
54.0,54.0,train,2.1107315223731966E-4,33.295930923656044,0.47355479509946696
56.0,56.0,train,4.657278912005742E-4,68.75393037293263,0.6649689536752041
61.0,61.0,train,2.090633701695451E-5,4.919793022114017,0.08180795578926846
62.0,62.0,train,1.6980638171281045E-5,3.9369133028365986,0.06748306561055976
63.0,63.0,train,3.243975923067066E-5,7.301119949791199,0.12145753151844096
64.0,64.0,train,2.4251179079795178E-5,5.596659008161252,0.09367053994677
65.0,65.0,train,1.6697720217163434E-5,3.8593105600071187,0.06643341054722529
66.0,66.0,train,7.3096259200833975E-6,1.1359668836717787,0.03021041800772128
67.0,67.0,train,5.630068591490844E-4,82.92616377364014,0.7058280977833308
68.0,68.0,train,2.906244004471085E-4,42.84227445947853,0.5532837375998624
70.0,70.0,train,5.729631266286663E-4,84.20185413247371,0.709454664901376
71.0,71.0,train,2.3578983972550067E-4,36.610115966237885,0.5012141250565529
72.0,72.0,train,3.659468673534104E-4,52.685391742000654,0.6093078575530997
73.0,73.0,train,6.829440943669212E-5,13.690263053463154,0.22543731079741175
74.0,74.0,train,6.681745528468148E-4,93.05963076822349,0.7400955156009833
75.0,75.0,train,5.115123674469929E-4,76.04604688579316,0.6855265066170546
76.0,76.0,train,1.622479835368502E-4,26.73708135383745,0.4087927179432568
79.0,79.0,train,4.484072556832078E-4,65.6818137299232,0.6564733673544901
81.0,81.0,train,4.0761804329327803E-4,59.44009337137007,0.6346565644409666
83.0,83.0,train,4.774913480327399E-4,70.6136919775966,0.6705031599057004
85.0,85.0,train,3.7584014413010814E-4,54.292549163789296,0.6156392313910408
86.0,86.0,train,5.6591508341669615E-5,11.692191500099037,0.19431294119811965
87.0,87.0,train,2.810230811428848E-4,41.40682716039428,0.5449662852788278
88.0,88.0,train,2.7234515217268673E-4,40.54708461044751,0.5371777103618082
90.0,90.0,train,1.6084482353864613E-4,26.524194709558554,0.40669518441597197
92.0,92.0,train,1.2351140852208993E-5,2.6293710632782377,0.05000489395209915
93.0,93.0,train,3.5221008002941825E-4,50.819629426472574,0.6001627854764381
94.0,94.0,train,3.771291474848258E-4,54.575909249557675,0.6164490732214416
