x,y,species avg
1.0,1.0,0.11956773
2.0,2.0,0.05213515
3.0,3.0,0.24449936
4.0,4.0,0.040116765
5.0,5.0,0.3381014
6.0,6.0,0.15075937
7.0,7.0,0.16765696
8.0,8.0,0.027326744
9.0,9.0,0.3208983
10.0,10.0,0.055926513
11.0,11.0,0.43044522
12.0,12.0,0.059595007
13.0,13.0,0.1583475
14.0,14.0,0.15444963
15.0,15.0,0.76333576
16.0,16.0,0.15884174
17.0,17.0,0.156802
18.0,18.0,0.16941534
19.0,19.0,0.1144384
20.0,20.0,0.214122
21.0,21.0,0.18667074
22.0,22.0,0.022206195
23.0,23.0,0.54461706
24.0,24.0,0.08735592
25.0,25.0,0.16681468
26.0,26.0,0.26100883
27.0,27.0,0.1883435
28.0,28.0,0.48639894
29.0,29.0,0.62245864
30.0,30.0,0.19674635
31.0,31.0,0.119035326
32.0,32.0,0.04977816
33.0,33.0,0.4792221
34.0,34.0,0.14679623
35.0,35.0,0.40750423
36.0,36.0,0.63016284
37.0,37.0,0.5048471
38.0,38.0,0.4138354
39.0,39.0,0.17087878
40.0,40.0,0.14185123
41.0,41.0,0.21063001
42.0,42.0,0.03983529
43.0,43.0,0.2579762
44.0,44.0,0.17018856
45.0,45.0,0.26989916
46.0,46.0,0.24003099
47.0,47.0,0.18879254
48.0,48.0,0.48414817
49.0,49.0,0.20319764
50.0,50.0,0.10139017
51.0,51.0,0.20199364
52.0,52.0,0.027500235
53.0,53.0,0.113522336
54.0,54.0,0.27496427
55.0,55.0,0.028435713
56.0,56.0,0.25125417
57.0,57.0,0.2021393
58.0,58.0,0.11463057
59.0,59.0,0.030361488
60.0,60.0,0.22645223
61.0,61.0,0.24342391
62.0,62.0,0.09905921
63.0,63.0,0.15763125
64.0,64.0,0.14267193
65.0,65.0,0.23503506
66.0,66.0,0.24601388
67.0,67.0,0.21079141
68.0,68.0,0.025404876
69.0,69.0,0.22326952
70.0,70.0,0.34508398
71.0,71.0,0.12035244
72.0,72.0,0.10887654
73.0,73.0,0.20585942
74.0,74.0,0.09709492
75.0,75.0,0.03830467
76.0,76.0,0.7694195
77.0,77.0,0.19386914
78.0,78.0,0.23709023
79.0,79.0,0.5809026
80.0,80.0,0.42497334
81.0,81.0,0.24987723
82.0,82.0,0.22657411
83.0,83.0,0.2778447
84.0,84.0,0.29153147
85.0,85.0,0.26200664
86.0,86.0,0.37878582
87.0,87.0,0.03834987
88.0,88.0,0.02452237
89.0,89.0,0.061611243
90.0,90.0,0.120212145
91.0,91.0,0.31223795
92.0,92.0,0.23591934
93.0,93.0,0.1292839
94.0,94.0,0.030587813
95.0,95.0,0.30832377
96.0,96.0,0.23676372
97.0,97.0,0.26557556
98.0,98.0,0.18406397
99.0,99.0,0.16961014
100.0,100.0,0.08550708
101.0,101.0,0.21172306
102.0,102.0,0.1904312
103.0,103.0,0.048410196
104.0,104.0,0.2871833
105.0,105.0,0.1420654
106.0,106.0,0.083895475
107.0,107.0,0.1383246
108.0,108.0,0.061354984
109.0,109.0,0.32934773
110.0,110.0,0.09412063
111.0,111.0,0.14668131
112.0,112.0,0.1748622
113.0,113.0,0.03943991
114.0,114.0,0.034475863
115.0,115.0,0.053845853
116.0,116.0,0.24108924
117.0,117.0,0.019904053
118.0,118.0,0.15524335
119.0,119.0,0.24395445
120.0,120.0,0.032593794
121.0,121.0,0.2046173
122.0,122.0,0.5352159
123.0,123.0,0.023958864
124.0,124.0,0.15352215
125.0,125.0,0.13653511
126.0,126.0,0.09225867
127.0,127.0,0.7132382
128.0,128.0,0.12443819
129.0,129.0,0.24048682
130.0,130.0,0.13659741
131.0,131.0,0.26868933
132.0,132.0,0.15572442
133.0,133.0,0.2910717
134.0,134.0,0.12546872
135.0,135.0,0.025741383
136.0,136.0,0.11734005
137.0,137.0,0.35182175
138.0,138.0,0.14177722
139.0,139.0,0.16402529
140.0,140.0,0.21113673
141.0,141.0,0.6178198
142.0,142.0,0.20072812
143.0,143.0,0.11229136
144.0,144.0,0.14312764
145.0,145.0,0.18873198
146.0,146.0,0.12130323
147.0,147.0,0.78729284
148.0,148.0,0.29885834
149.0,149.0,0.1782221
150.0,150.0,0.23226142
151.0,151.0,0.049949165
152.0,152.0,0.14297707
153.0,153.0,0.15685336
154.0,154.0,0.041123338
155.0,155.0,0.15944657
156.0,156.0,0.117799886
157.0,157.0,0.41022822
158.0,158.0,0.26518708
159.0,159.0,0.05490044
160.0,160.0,0.17798305
161.0,161.0,0.20370121
162.0,162.0,0.4612957
163.0,163.0,0.28473118
164.0,164.0,0.17210586
165.0,165.0,0.18245527
166.0,166.0,0.12649998
167.0,167.0,0.21490745
168.0,168.0,0.024885431
169.0,169.0,0.26944453
170.0,170.0,0.09265729
171.0,171.0,0.22097343
172.0,172.0,0.096183114
173.0,173.0,0.1510924
174.0,174.0,0.25557205
175.0,175.0,0.26548788
176.0,176.0,0.025277946
177.0,177.0,0.20024887
178.0,178.0,0.24548945
179.0,179.0,0.38272145
180.0,180.0,0.25176457
181.0,181.0,0.044838957
182.0,182.0,0.16941562
183.0,183.0,0.09620481
184.0,184.0,0.21610619
185.0,185.0,0.21658088
186.0,186.0,0.3413564
187.0,187.0,0.2682974
188.0,188.0,0.028557215
189.0,189.0,0.7708788
190.0,190.0,0.14009242
191.0,191.0,0.08862635
192.0,192.0,0.28146595
193.0,193.0,0.8382028
194.0,194.0,0.20725824
195.0,195.0,0.17358209
196.0,196.0,0.6144279
197.0,197.0,0.31271762
198.0,198.0,0.28567135
199.0,199.0,0.22315991
200.0,200.0,0.2079562
201.0,201.0,0.3580056
202.0,202.0,0.1973855
203.0,203.0,0.69108
204.0,204.0,0.29936814
205.0,205.0,0.13740332
206.0,206.0,0.24490777
207.0,207.0,0.29419872
208.0,208.0,0.34588265
209.0,209.0,0.04475384
210.0,210.0,0.04517162
211.0,211.0,0.03922091
212.0,212.0,0.1608104
213.0,213.0,0.36808226
214.0,214.0,0.028823024
215.0,215.0,0.41633478
216.0,216.0,0.34095332
217.0,217.0,0.121603794
218.0,218.0,0.033821244
219.0,219.0,0.20651463
220.0,220.0,0.42948642
221.0,221.0,0.17329276
222.0,222.0,0.25679532
223.0,223.0,0.24408257
224.0,224.0,0.1982558
225.0,225.0,0.021385944
226.0,226.0,0.3003802
227.0,227.0,0.28759044
228.0,228.0,0.3506111
229.0,229.0,0.16617846
230.0,230.0,0.11817915
231.0,231.0,0.08593669
232.0,232.0,0.08171269
233.0,233.0,0.021774605
234.0,234.0,0.140081
235.0,235.0,0.22866859
236.0,236.0,0.6723091
237.0,237.0,0.3766902
238.0,238.0,0.26499668
239.0,239.0,0.027176773
240.0,240.0,0.18259546
241.0,241.0,0.2658662
242.0,242.0,0.3495301
243.0,243.0,0.18675615
244.0,244.0,0.036361463
245.0,245.0,0.1820104
246.0,246.0,0.2943597
247.0,247.0,0.22202076
248.0,248.0,0.22625749
249.0,249.0,0.078254245
250.0,250.0,0.2811783
251.0,251.0,0.20181096
252.0,252.0,0.23736636
253.0,253.0,0.048109975
254.0,254.0,0.16726854
255.0,255.0,0.42169127
256.0,256.0,0.26296434
257.0,257.0,0.15719104
258.0,258.0,0.2705294
259.0,259.0,0.3076124
