x,y,species max
1.0,1.0,0.1658098
2.0,2.0,0.1262693
3.0,3.0,0.3110088
4.0,4.0,0.055739574
5.0,5.0,0.3954977
6.0,6.0,0.19741982
7.0,7.0,0.27265307
8.0,8.0,0.07063915
9.0,9.0,0.42549175
10.0,10.0,0.092698954
11.0,11.0,0.47009045
12.0,12.0,0.10676242
13.0,13.0,0.21453027
14.0,14.0,0.20006594
15.0,15.0,0.801156
16.0,16.0,0.24384116
17.0,17.0,0.23888743
18.0,18.0,0.22582176
19.0,19.0,0.14102723
20.0,20.0,0.30554268
21.0,21.0,0.2147329
22.0,22.0,0.03584183
23.0,23.0,0.61615694
24.0,24.0,0.119662
25.0,25.0,0.24040039
26.0,26.0,0.2940262
27.0,27.0,0.2714237
28.0,28.0,0.53489375
29.0,29.0,0.72333795
30.0,30.0,0.27293664
31.0,31.0,0.18068214
32.0,32.0,0.11358153
33.0,33.0,0.6317878
34.0,34.0,0.18606742
35.0,35.0,0.5350559
36.0,36.0,0.68055874
37.0,37.0,0.5205202
38.0,38.0,0.5478456
39.0,39.0,0.25517124
40.0,40.0,0.18020931
41.0,41.0,0.2604401
42.0,42.0,0.087706655
43.0,43.0,0.33444908
44.0,44.0,0.19708672
45.0,45.0,0.3182929
46.0,46.0,0.30319816
47.0,47.0,0.24801572
48.0,48.0,0.5435503
49.0,49.0,0.23330852
50.0,50.0,0.16713291
51.0,51.0,0.26015994
52.0,52.0,0.048492566
53.0,53.0,0.14562969
54.0,54.0,0.34709024
55.0,55.0,0.039485548
56.0,56.0,0.3441237
57.0,57.0,0.26228446
58.0,58.0,0.16015252
59.0,59.0,0.06295379
60.0,60.0,0.32616392
61.0,61.0,0.26642457
62.0,62.0,0.1389358
63.0,63.0,0.20478737
64.0,64.0,0.21545893
65.0,65.0,0.27477056
66.0,66.0,0.2845333
67.0,67.0,0.25390723
68.0,68.0,0.042279292
69.0,69.0,0.30755165
70.0,70.0,0.4074533
71.0,71.0,0.14179324
72.0,72.0,0.16747011
73.0,73.0,0.25086978
74.0,74.0,0.139601
75.0,75.0,0.060439255
76.0,76.0,0.80753386
77.0,77.0,0.22381787
78.0,78.0,0.28410217
79.0,79.0,0.7391081
80.0,80.0,0.49092656
81.0,81.0,0.29586354
82.0,82.0,0.29874632
83.0,83.0,0.32053897
84.0,84.0,0.38537255
85.0,85.0,0.32922456
86.0,86.0,0.4146662
87.0,87.0,0.058747917
88.0,88.0,0.04122317
89.0,89.0,0.12627341
90.0,90.0,0.17819233
91.0,91.0,0.3917749
92.0,92.0,0.30333957
93.0,93.0,0.23942539
94.0,94.0,0.046466243
95.0,95.0,0.39305407
96.0,96.0,0.27226377
97.0,97.0,0.3952899
98.0,98.0,0.25782844
99.0,99.0,0.22835372
100.0,100.0,0.12323835
101.0,101.0,0.32463124
102.0,102.0,0.2731754
103.0,103.0,0.058480512
104.0,104.0,0.39890793
105.0,105.0,0.19934243
106.0,106.0,0.10267538
107.0,107.0,0.18817343
108.0,108.0,0.08261865
109.0,109.0,0.41052806
110.0,110.0,0.14354837
111.0,111.0,0.23247153
112.0,112.0,0.2603484
113.0,113.0,0.052864727
114.0,114.0,0.06952793
115.0,115.0,0.10635511
116.0,116.0,0.30911958
117.0,117.0,0.03740855
118.0,118.0,0.22647916
119.0,119.0,0.37044042
120.0,120.0,0.052755583
121.0,121.0,0.26615733
122.0,122.0,0.6362289
123.0,123.0,0.041618504
124.0,124.0,0.23728806
125.0,125.0,0.18891971
126.0,126.0,0.1526668
127.0,127.0,0.7828641
128.0,128.0,0.1769915
129.0,129.0,0.35468644
130.0,130.0,0.17644793
131.0,131.0,0.33596843
132.0,132.0,0.20808402
133.0,133.0,0.342658
134.0,134.0,0.17053732
135.0,135.0,0.042935476
136.0,136.0,0.19070189
137.0,137.0,0.41725743
138.0,138.0,0.20020705
139.0,139.0,0.20310956
140.0,140.0,0.2726282
141.0,141.0,0.69794387
142.0,142.0,0.2505114
143.0,143.0,0.14261602
144.0,144.0,0.22454895
145.0,145.0,0.24701932
146.0,146.0,0.16520299
147.0,147.0,0.81290305
148.0,148.0,0.39124072
149.0,149.0,0.20870772
150.0,150.0,0.26960072
151.0,151.0,0.1083207
152.0,152.0,0.200486
153.0,153.0,0.18449536
154.0,154.0,0.08177178
155.0,155.0,0.20987245
156.0,156.0,0.17003752
157.0,157.0,0.45655316
158.0,158.0,0.2863277
159.0,159.0,0.07796975
160.0,160.0,0.2818785
161.0,161.0,0.24144106
162.0,162.0,0.52323383
163.0,163.0,0.36708018
164.0,164.0,0.23597017
165.0,165.0,0.21363863
166.0,166.0,0.17830886
167.0,167.0,0.26720574
168.0,168.0,0.04234375
169.0,169.0,0.3170463
170.0,170.0,0.13047823
171.0,171.0,0.27632156
172.0,172.0,0.15597676
173.0,173.0,0.21016566
174.0,174.0,0.28700522
175.0,175.0,0.32015255
176.0,176.0,0.038982138
177.0,177.0,0.278347
178.0,178.0,0.33101147
179.0,179.0,0.43080673
180.0,180.0,0.3431899
181.0,181.0,0.071640596
182.0,182.0,0.22519313
183.0,183.0,0.14682852
184.0,184.0,0.3122612
185.0,185.0,0.24524768
186.0,186.0,0.41854942
187.0,187.0,0.36476788
188.0,188.0,0.047233347
189.0,189.0,0.7963316
190.0,190.0,0.1766289
191.0,191.0,0.1325088
192.0,192.0,0.31699997
193.0,193.0,0.854454
194.0,194.0,0.2527897
195.0,195.0,0.24491957
196.0,196.0,0.6470732
197.0,197.0,0.4151549
198.0,198.0,0.3829786
199.0,199.0,0.2908541
200.0,200.0,0.23366138
201.0,201.0,0.3970171
202.0,202.0,0.2270943
203.0,203.0,0.7666862
204.0,204.0,0.4089385
205.0,205.0,0.1920241
206.0,206.0,0.30757034
207.0,207.0,0.3706303
208.0,208.0,0.43215412
209.0,209.0,0.07640767
210.0,210.0,0.054070305
211.0,211.0,0.071368285
212.0,212.0,0.19990245
213.0,213.0,0.4946102
214.0,214.0,0.05802664
215.0,215.0,0.45310023
216.0,216.0,0.37743548
217.0,217.0,0.2482205
218.0,218.0,0.048491456
219.0,219.0,0.28386688
220.0,220.0,0.4537697
221.0,221.0,0.23037173
222.0,222.0,0.31877378
223.0,223.0,0.2830326
224.0,224.0,0.27722642
225.0,225.0,0.033012398
226.0,226.0,0.38451585
227.0,227.0,0.40029103
228.0,228.0,0.39336404
229.0,229.0,0.21925099
230.0,230.0,0.16880912
231.0,231.0,0.15846252
232.0,232.0,0.12048573
233.0,233.0,0.04548816
234.0,234.0,0.20289467
235.0,235.0,0.29274434
236.0,236.0,0.7438956
237.0,237.0,0.5136826
238.0,238.0,0.3314359
239.0,239.0,0.043337926
240.0,240.0,0.2205289
241.0,241.0,0.3788292
242.0,242.0,0.39128518
243.0,243.0,0.22316457
244.0,244.0,0.065772116
245.0,245.0,0.25160015
246.0,246.0,0.3788835
247.0,247.0,0.25846627
248.0,248.0,0.25724897
249.0,249.0,0.13880965
250.0,250.0,0.40570912
251.0,251.0,0.26686856
252.0,252.0,0.33395526
253.0,253.0,0.09541047
254.0,254.0,0.19344375
255.0,255.0,0.5664003
256.0,256.0,0.34096226
257.0,257.0,0.20798227
258.0,258.0,0.33299783
259.0,259.0,0.40442804
260.0,260.0,0.011400195
261.0,261.0,0.5805153
262.0,262.0,0.11971964
263.0,263.0,0.31411496
264.0,264.0,0.25608107
265.0,265.0,0.53694844
266.0,266.0,0.21044216
267.0,267.0,0.26873738
268.0,268.0,0.05910272
269.0,269.0,0.114653945
270.0,270.0,0.060947347
271.0,271.0,0.15784864
272.0,272.0,0.39820108
273.0,273.0,0.4401427
274.0,274.0,0.367786
275.0,275.0,0.17369527
276.0,276.0,0.3381242
277.0,277.0,0.4222681
278.0,278.0,0.20832528
279.0,279.0,0.53579193
280.0,280.0,0.6070503
281.0,281.0,0.215201
282.0,282.0,0.28407815
283.0,283.0,0.39655578
284.0,284.0,0.77875787
285.0,285.0,0.31653827
286.0,286.0,0.39892513
287.0,287.0,0.349118
288.0,288.0,0.31134245
289.0,289.0,0.40578663
290.0,290.0,0.4097108
291.0,291.0,0.18793088
292.0,292.0,0.053911377
293.0,293.0,0.06990117
294.0,294.0,0.057024818
295.0,295.0,0.13582547
296.0,296.0,0.22790004
297.0,297.0,0.17819363
298.0,298.0,0.55172104
299.0,299.0,0.28742546
300.0,300.0,0.25509447
301.0,301.0,0.25254706
302.0,302.0,0.5415536
303.0,303.0,0.07525042
304.0,304.0,0.2829749
305.0,305.0,0.046911035
306.0,306.0,0.30470693
307.0,307.0,0.34848958
308.0,308.0,0.16076
309.0,309.0,0.24051692
310.0,310.0,0.3279187
311.0,311.0,0.055512995
312.0,312.0,0.15565884
313.0,313.0,0.3120589
314.0,314.0,0.1759785
315.0,315.0,0.3710309
316.0,316.0,0.4158564
317.0,317.0,0.15178186
318.0,318.0,0.095222525
319.0,319.0,0.10653979
320.0,320.0,0.18206526
321.0,321.0,0.038678255
322.0,322.0,0.52883846
323.0,323.0,0.3354873
324.0,324.0,0.3047038
325.0,325.0,0.1848839
326.0,326.0,0.30787286
327.0,327.0,0.26655594
328.0,328.0,0.23458068
329.0,329.0,0.5078011
330.0,330.0,0.22965
331.0,331.0,0.2754145
332.0,332.0,0.0695015
333.0,333.0,0.21951103
334.0,334.0,0.09807237
335.0,335.0,0.27920857
336.0,336.0,0.12613745
337.0,337.0,0.49633804
338.0,338.0,0.6455108
339.0,339.0,0.07769724
340.0,340.0,0.13439016
341.0,341.0,0.0904872
342.0,342.0,0.20257193
343.0,343.0,0.1957324
344.0,344.0,0.16009918
345.0,345.0,0.35957626
346.0,346.0,0.18075691
347.0,347.0,0.27900392
348.0,348.0,0.17453717
349.0,349.0,0.41227305
350.0,350.0,0.2556847
351.0,351.0,0.07760855
352.0,352.0,0.49367145
353.0,353.0,0.29190198
354.0,354.0,0.13477674
355.0,355.0,0.39951813
356.0,356.0,0.45853972
357.0,357.0,0.2933544
358.0,358.0,0.24534512
359.0,359.0,0.13559872
360.0,360.0,0.10612305
361.0,361.0,0.1854138
362.0,362.0,0.15961781
363.0,363.0,0.30482346
364.0,364.0,0.2994848
365.0,365.0,0.22540541
366.0,366.0,0.19586691
367.0,367.0,0.0336807
368.0,368.0,0.14242049
369.0,369.0,0.15274799
370.0,370.0,0.39460623
371.0,371.0,0.55019426
372.0,372.0,0.3206418
373.0,373.0,0.50895905
374.0,374.0,0.20709343
375.0,375.0,0.28863877
376.0,376.0,0.21158534
377.0,377.0,0.05139952
378.0,378.0,0.20061599
379.0,379.0,0.35807538
380.0,380.0,0.23220624
381.0,381.0,0.034785572
382.0,382.0,0.24319817
383.0,383.0,0.5686984
384.0,384.0,0.2706308
385.0,385.0,0.20140477
386.0,386.0,0.6625651
387.0,387.0,0.28594133
388.0,388.0,0.20484981
389.0,389.0,0.3082014
390.0,390.0,0.22717834
391.0,391.0,0.26483732
392.0,392.0,0.25600722
393.0,393.0,0.6312879
394.0,394.0,0.27996668
395.0,395.0,0.22989802
396.0,396.0,0.025043555
397.0,397.0,0.42677736
398.0,398.0,0.19396472
399.0,399.0,0.3904327
400.0,400.0,0.30884618
401.0,401.0,0.62386054
402.0,402.0,0.2775183
403.0,403.0,0.03553507
404.0,404.0,0.3317019
405.0,405.0,0.41334903
406.0,406.0,0.11225773
407.0,407.0,0.30810037
408.0,408.0,0.26492766
409.0,409.0,0.31111157
410.0,410.0,0.4222766
411.0,411.0,0.28767282
412.0,412.0,0.052937042
413.0,413.0,0.22759436
414.0,414.0,0.51075727
415.0,415.0,0.3044097
416.0,416.0,0.7811643
417.0,417.0,0.3447239
418.0,418.0,0.19004078
419.0,419.0,0.29107422
420.0,420.0,0.04870796
421.0,421.0,0.114373036
422.0,422.0,0.25799835
423.0,423.0,0.09586969
424.0,424.0,0.13511382
425.0,425.0,0.13818862
426.0,426.0,0.3968271
427.0,427.0,0.056131467
428.0,428.0,0.20817299
429.0,429.0,0.18601386
430.0,430.0,0.4137696
431.0,431.0,0.39736375
432.0,432.0,0.29095042
433.0,433.0,0.22870801
434.0,434.0,0.07805817
435.0,435.0,0.29784164
436.0,436.0,0.3032572
437.0,437.0,0.71246225
438.0,438.0,0.39176157
439.0,439.0,0.28297418
440.0,440.0,0.058162246
441.0,441.0,0.37173256
442.0,442.0,0.28978348
443.0,443.0,0.31523502
444.0,444.0,0.39278045
445.0,445.0,0.532662
446.0,446.0,0.27595043
447.0,447.0,0.042335782
448.0,448.0,0.0499755
449.0,449.0,0.10647977
450.0,450.0,0.35414064
451.0,451.0,0.079252824
452.0,452.0,0.47358617
453.0,453.0,0.25987393
454.0,454.0,0.4587523
455.0,455.0,0.3105894
456.0,456.0,0.16999939
457.0,457.0,0.23443954
458.0,458.0,0.25863692
459.0,459.0,0.38393912
460.0,460.0,0.8083049
461.0,461.0,0.035537876
462.0,462.0,0.2326265
463.0,463.0,0.30695954
464.0,464.0,0.26250926
465.0,465.0,0.5289639
466.0,466.0,0.035850115
467.0,467.0,0.05086719
468.0,468.0,0.32987705
469.0,469.0,0.14343147
470.0,470.0,0.26923847
471.0,471.0,0.2586231
472.0,472.0,0.05332575
473.0,473.0,0.6429315
474.0,474.0,0.26594135
475.0,475.0,0.20344502
476.0,476.0,0.1735244
477.0,477.0,0.1619367
478.0,478.0,0.66336983
479.0,479.0,0.18816034
480.0,480.0,0.20626657
481.0,481.0,0.66104317
482.0,482.0,0.23661068
483.0,483.0,0.29942995
484.0,484.0,0.59880865
485.0,485.0,0.06832335
486.0,486.0,0.6676977
487.0,487.0,0.19702138
488.0,488.0,0.2716202
489.0,489.0,0.25845298
490.0,490.0,0.77335966
491.0,491.0,0.38722366
492.0,492.0,0.30129218
493.0,493.0,0.093663834
494.0,494.0,0.7230749
495.0,495.0,0.21656318
496.0,496.0,0.2741234
497.0,497.0,0.8670691
498.0,498.0,0.037409104
499.0,499.0,0.18673363
500.0,500.0,0.25471997
501.0,501.0,0.1597581
502.0,502.0,0.22369872
503.0,503.0,0.21961921
504.0,504.0,0.26228034
505.0,505.0,0.058780774
506.0,506.0,0.2750239
507.0,507.0,0.41476753
508.0,508.0,0.04212433
509.0,509.0,0.23569362
510.0,510.0,0.23698543
511.0,511.0,0.29100728
512.0,512.0,0.27204335
513.0,513.0,0.06697315
514.0,514.0,0.38516316
515.0,515.0,0.2829135
516.0,516.0,0.29633135
517.0,517.0,0.12646724
518.0,518.0,0.1406843
519.0,519.0,0.20124657
520.0,520.0,0.08939784
521.0,521.0,0.29556644
522.0,522.0,0.3040785
523.0,523.0,0.3027038
524.0,524.0,0.37764528
525.0,525.0,0.33409518
526.0,526.0,0.3794961
527.0,527.0,0.2138736
528.0,528.0,0.31176156
529.0,529.0,0.19409342
530.0,530.0,0.27134657
531.0,531.0,0.4165514
532.0,532.0,0.2736724
533.0,533.0,0.76760244
534.0,534.0,0.2028281
535.0,535.0,0.5692015
536.0,536.0,0.045548104
537.0,537.0,0.44278845
538.0,538.0,0.7616665
539.0,539.0,0.48323655
540.0,540.0,0.089825556
541.0,541.0,0.19535217
542.0,542.0,0.46117267
543.0,543.0,0.24291073
544.0,544.0,0.18969862
545.0,545.0,0.07807173
546.0,546.0,0.25045297
547.0,547.0,0.35536498
548.0,548.0,0.046505336
549.0,549.0,0.45192775
550.0,550.0,0.009383272
551.0,551.0,0.19160154
552.0,552.0,0.04725632
553.0,553.0,0.4326769
554.0,554.0,0.68211293
555.0,555.0,0.28589407
556.0,556.0,0.16018225
557.0,557.0,0.3640213
558.0,558.0,0.42800954
559.0,559.0,0.1973106
560.0,560.0,0.37186202
561.0,561.0,0.14074643
562.0,562.0,0.15565807
563.0,563.0,0.23557073
564.0,564.0,0.044926316
565.0,565.0,0.12157005
566.0,566.0,0.18569717
567.0,567.0,0.1712857
568.0,568.0,0.5887611
569.0,569.0,0.20069827
570.0,570.0,0.07674662
571.0,571.0,0.21339507
572.0,572.0,0.041535564
573.0,573.0,0.1393621
574.0,574.0,0.70935094
575.0,575.0,0.3820671
576.0,576.0,0.2986456
577.0,577.0,0.33151928
578.0,578.0,0.2584532
579.0,579.0,0.1558142
580.0,580.0,0.136576
581.0,581.0,0.1444267
582.0,582.0,0.18872148
583.0,583.0,0.26924798
584.0,584.0,0.27574685
585.0,585.0,0.18994924
586.0,586.0,0.6460447
587.0,587.0,0.41500044
588.0,588.0,0.06310342
589.0,589.0,0.3346589
590.0,590.0,0.20965156
591.0,591.0,0.041363757
592.0,592.0,0.7219015
593.0,593.0,0.19507797
594.0,594.0,0.2824739
595.0,595.0,0.3834741
596.0,596.0,0.23487367
597.0,597.0,0.25494173
598.0,598.0,0.5958452
599.0,599.0,0.23711422
600.0,600.0,0.44056004
601.0,601.0,0.24483815
602.0,602.0,0.3140491
603.0,603.0,0.15474331
604.0,604.0,0.39771372
605.0,605.0,0.08720742
606.0,606.0,0.19811605
607.0,607.0,0.28785035
608.0,608.0,0.22069038
609.0,609.0,0.056809254
610.0,610.0,0.2876374
611.0,611.0,0.40502182
612.0,612.0,0.35521346
613.0,613.0,0.27370462
614.0,614.0,0.19947298
615.0,615.0,0.22715622
616.0,616.0,0.257231
617.0,617.0,0.056170885
618.0,618.0,0.16675545
619.0,619.0,0.27039632
620.0,620.0,0.11468596
621.0,621.0,0.13568935
622.0,622.0,0.25626674
623.0,623.0,0.051208053
624.0,624.0,0.3021273
625.0,625.0,0.26058638
626.0,626.0,0.20662548
627.0,627.0,0.0584217
628.0,628.0,0.13219036
629.0,629.0,0.16949567
