x,y,species median
1.0,1.0,0.28122574
2.0,2.0,0.033686392
3.0,3.0,0.03867135
4.0,4.0,0.59048885
5.0,5.0,0.018854516
6.0,6.0,0.032232292
7.0,7.0,0.0020998851
8.0,8.0,0.31150842
9.0,9.0,0.013744728
10.0,10.0,0.039515864
11.0,11.0,0.03673371
12.0,12.0,0.5809269
13.0,13.0,0.052123923
14.0,14.0,0.05668256
15.0,15.0,0.32782117
16.0,16.0,0.035575077
17.0,17.0,0.028899271
18.0,18.0,0.26331547
19.0,19.0,0.0068371105
20.0,20.0,0.33242542
21.0,21.0,0.47353
22.0,22.0,0.01607676
23.0,23.0,0.05999354
24.0,24.0,0.079712085
25.0,25.0,0.015315083
26.0,26.0,0.005437009
27.0,27.0,0.59446394
28.0,28.0,0.07098596
29.0,29.0,0.4199039
30.0,30.0,0.06719778
31.0,31.0,0.036936764
32.0,32.0,0.10862631
33.0,33.0,0.06308301
34.0,34.0,0.08886593
35.0,35.0,0.0617045
36.0,36.0,0.18145314
37.0,37.0,0.102538735
38.0,38.0,0.07552915
39.0,39.0,0.09958364
40.0,40.0,0.17925377
41.0,41.0,0.11981998
42.0,42.0,0.034586
43.0,43.0,0.025559686
44.0,44.0,0.005851976
45.0,45.0,0.070852615
46.0,46.0,0.057196077
47.0,47.0,0.025610315
48.0,48.0,0.17583866
49.0,49.0,0.051928174
50.0,50.0,0.015239041
51.0,51.0,0.02991291
52.0,52.0,0.007061536
53.0,53.0,0.059109367
54.0,54.0,0.12591249
55.0,55.0,0.28686488
56.0,56.0,0.055319272
57.0,57.0,0.01724383
58.0,58.0,0.025534427
59.0,59.0,0.08775515
60.0,60.0,0.17221032
61.0,61.0,0.09271245
62.0,62.0,0.041528013
63.0,63.0,0.015841033
64.0,64.0,0.021301726
65.0,65.0,0.13712008
66.0,66.0,0.18602073
67.0,67.0,0.14674313
68.0,68.0,0.40856844
69.0,69.0,0.13632776
70.0,70.0,0.058170576
71.0,71.0,0.016656421
72.0,72.0,0.61553824
73.0,73.0,0.056661986
74.0,74.0,0.02051198
75.0,75.0,0.040546205
76.0,76.0,0.017343637
77.0,77.0,0.007276445
78.0,78.0,0.028807752
79.0,79.0,0.50598675
80.0,80.0,0.1378168
81.0,81.0,0.29693136
82.0,82.0,0.05054435
83.0,83.0,0.0024780063
84.0,84.0,0.2008716
85.0,85.0,0.057438374
86.0,86.0,0.049457192
87.0,87.0,0.5456408
88.0,88.0,0.008127746
89.0,89.0,0.031086229
90.0,90.0,0.07280269
91.0,91.0,0.24892922
92.0,92.0,0.11460612
93.0,93.0,0.03226985
94.0,94.0,0.0032054773
95.0,95.0,0.00371602
96.0,96.0,0.028836299
97.0,97.0,0.052628458
98.0,98.0,0.084673226
99.0,99.0,0.23252544
100.0,100.0,0.017861826
101.0,101.0,0.16393536
102.0,102.0,0.42709276
103.0,103.0,0.01323909
104.0,104.0,0.5643318
105.0,105.0,0.062923916
106.0,106.0,0.0129136
107.0,107.0,0.032976788
108.0,108.0,0.33386776
109.0,109.0,0.10381898
110.0,110.0,0.010709562
111.0,111.0,0.0049552093
112.0,112.0,0.40274665
113.0,113.0,0.0562074
114.0,114.0,0.041547876
115.0,115.0,0.03203593
116.0,116.0,0.12079755
117.0,117.0,0.058710553
118.0,118.0,0.4113143
119.0,119.0,0.6488621
120.0,120.0,0.04362683
121.0,121.0,0.012414691
122.0,122.0,0.30674374
123.0,123.0,0.011216828
124.0,124.0,0.022855986
125.0,125.0,0.011758362
126.0,126.0,0.042070884
127.0,127.0,0.014553494
128.0,128.0,0.06745477
129.0,129.0,0.035627063
130.0,130.0,0.024888303
131.0,131.0,0.524685
132.0,132.0,0.57826155
133.0,133.0,0.011344519
134.0,134.0,0.034230653
135.0,135.0,0.0039288024
136.0,136.0,0.11886387
137.0,137.0,0.0053678374
138.0,138.0,0.03285345
139.0,139.0,0.060494702
140.0,140.0,0.058223758
141.0,141.0,0.007650834
142.0,142.0,0.012155975
143.0,143.0,0.10314789
144.0,144.0,0.06448857
145.0,145.0,0.029063556
146.0,146.0,0.015602104
147.0,147.0,0.0023329307
148.0,148.0,0.08282721
149.0,149.0,0.45978647
150.0,150.0,0.12977278
151.0,151.0,0.27049017
152.0,152.0,0.026934948
153.0,153.0,0.5436245
154.0,154.0,0.15489618
155.0,155.0,0.24571675
156.0,156.0,0.017818889
157.0,157.0,0.020124717
158.0,158.0,0.01756194
159.0,159.0,0.115550295
160.0,160.0,0.009819361
161.0,161.0,0.13168024
162.0,162.0,0.0030335467
163.0,163.0,0.11760294
164.0,164.0,0.6064438
165.0,165.0,0.13112336
166.0,166.0,0.38787615
167.0,167.0,0.38829237
168.0,168.0,0.086651936
169.0,169.0,0.33236963
170.0,170.0,0.05583846
171.0,171.0,0.13742773
172.0,172.0,0.023045948
173.0,173.0,0.045574956
174.0,174.0,0.07172324
175.0,175.0,0.17880645
176.0,176.0,0.20922685
177.0,177.0,0.023497494
178.0,178.0,0.17265972
179.0,179.0,0.412939
180.0,180.0,0.06666697
181.0,181.0,0.043857377
182.0,182.0,0.23496151
183.0,183.0,0.009910957
184.0,184.0,0.2734512
185.0,185.0,0.14091134
186.0,186.0,0.015463335
187.0,187.0,0.087635614
188.0,188.0,0.18936752
189.0,189.0,0.05319433
190.0,190.0,0.6634189
191.0,191.0,0.44608524
192.0,192.0,0.4777008
193.0,193.0,0.00791317
194.0,194.0,0.1228474
195.0,195.0,0.5410888
196.0,196.0,0.008797439
197.0,197.0,0.14215833
198.0,198.0,0.29207295
199.0,199.0,0.33273748
200.0,200.0,0.017656319
201.0,201.0,0.0657125
202.0,202.0,0.26480788
203.0,203.0,0.03839134
204.0,204.0,0.1386406
205.0,205.0,0.6215385
206.0,206.0,0.14866604
207.0,207.0,0.075733766
208.0,208.0,0.114226975
209.0,209.0,0.083396584
210.0,210.0,0.2038843
211.0,211.0,0.012770299
212.0,212.0,0.41307995
213.0,213.0,0.15325922
214.0,214.0,0.038119406
215.0,215.0,0.063313745
216.0,216.0,0.20269807
217.0,217.0,0.014076906
218.0,218.0,0.008176044
219.0,219.0,0.003192654
220.0,220.0,0.080240466
221.0,221.0,0.3429695
222.0,222.0,0.098648466
223.0,223.0,0.015965499
224.0,224.0,0.016569167
225.0,225.0,0.07824868
226.0,226.0,0.04060352
227.0,227.0,0.025587322
228.0,228.0,0.30607358
229.0,229.0,0.029515635
230.0,230.0,0.038552545
231.0,231.0,0.011182862
232.0,232.0,0.031588774
233.0,233.0,0.029229388
234.0,234.0,0.03376508
235.0,235.0,0.0056991084
236.0,236.0,0.05875239
237.0,237.0,0.033623878
238.0,238.0,0.43386832
239.0,239.0,0.01000829
240.0,240.0,0.66672665
241.0,241.0,0.051070664
242.0,242.0,0.5903554
243.0,243.0,0.061427686
244.0,244.0,0.05140092
245.0,245.0,0.02944112
246.0,246.0,0.33511686
247.0,247.0,0.05243957
248.0,248.0,0.20265679
249.0,249.0,0.030350529
250.0,250.0,0.049019657
251.0,251.0,0.17811756
252.0,252.0,0.0014351074
253.0,253.0,0.039266083
254.0,254.0,0.6014542
255.0,255.0,0.017796986
256.0,256.0,0.5268571
257.0,257.0,0.033420756
258.0,258.0,0.07735534
259.0,259.0,0.09983501
260.0,260.0,0.067640506
261.0,261.0,0.06658363
262.0,262.0,0.008292596
263.0,263.0,0.032051608
264.0,264.0,0.04624771
265.0,265.0,0.11417935
266.0,266.0,0.29203457
267.0,267.0,0.09720863
268.0,268.0,0.14795494
269.0,269.0,0.009367472
270.0,270.0,0.030456014
271.0,271.0,0.013742447
272.0,272.0,0.04019781
273.0,273.0,0.05535235
274.0,274.0,0.1702854
275.0,275.0,0.02330501
276.0,276.0,0.11321308
277.0,277.0,0.0045506908
278.0,278.0,0.023424067
279.0,279.0,0.043545835
280.0,280.0,0.0012779922
281.0,281.0,0.031509124
282.0,282.0,0.1278881
283.0,283.0,0.12869926
284.0,284.0,0.05802767
285.0,285.0,0.047337078
286.0,286.0,0.5489267
287.0,287.0,0.024581688
288.0,288.0,0.045224924
289.0,289.0,0.50239193
290.0,290.0,0.088293664
291.0,291.0,0.05797789
292.0,292.0,0.05280244
293.0,293.0,0.03643608
294.0,294.0,0.066052675
295.0,295.0,0.14199486
296.0,296.0,0.033932816
297.0,297.0,0.010009503
298.0,298.0,0.057146244
299.0,299.0,0.07914398
300.0,300.0,0.006762263
301.0,301.0,0.17181087
302.0,302.0,0.031666014
303.0,303.0,0.040325355
304.0,304.0,0.16180661
305.0,305.0,0.11471018
306.0,306.0,0.037096303
307.0,307.0,0.027139168
308.0,308.0,0.059295245
309.0,309.0,0.03967457
310.0,310.0,0.03945598
311.0,311.0,0.32371685
312.0,312.0,0.08836987
313.0,313.0,0.021424383
314.0,314.0,0.01529713
315.0,315.0,0.037077773
316.0,316.0,0.030348185
317.0,317.0,0.08107933
318.0,318.0,0.111713864
319.0,319.0,0.011523346
320.0,320.0,0.35879022
321.0,321.0,0.21691597
322.0,322.0,0.016116835
323.0,323.0,0.02668677
324.0,324.0,0.09757553
325.0,325.0,0.14664592
326.0,326.0,0.6058125
327.0,327.0,0.0023161848
328.0,328.0,0.27465618
329.0,329.0,0.071967475
330.0,330.0,0.039343983
331.0,331.0,0.0040780567
332.0,332.0,0.21363468
333.0,333.0,0.02055438
334.0,334.0,0.021862581
335.0,335.0,0.020990888
336.0,336.0,0.047099162
337.0,337.0,0.056069303
338.0,338.0,0.10931808
339.0,339.0,0.087149985
340.0,340.0,0.026470289
341.0,341.0,0.6561043
342.0,342.0,0.030190691
343.0,343.0,0.0070416555
344.0,344.0,0.24185029
345.0,345.0,0.027631208
346.0,346.0,0.06010162
347.0,347.0,0.019231059
348.0,348.0,0.039018046
349.0,349.0,0.3486018
350.0,350.0,0.5992316
351.0,351.0,0.017272301
352.0,352.0,0.015917277
353.0,353.0,0.004057524
354.0,354.0,0.066767864
355.0,355.0,0.034908496
356.0,356.0,0.029799301
357.0,357.0,0.052294698
358.0,358.0,0.040722407
359.0,359.0,0.12462479
360.0,360.0,0.014943281
361.0,361.0,0.08116736
362.0,362.0,0.049466964
363.0,363.0,0.043486413
364.0,364.0,0.061123196
365.0,365.0,0.04369703
366.0,366.0,0.19376293
367.0,367.0,0.40996492
368.0,368.0,0.07231429
369.0,369.0,0.069674574
370.0,370.0,0.34332117
371.0,371.0,0.32929757
372.0,372.0,0.05925776
373.0,373.0,0.09267147
374.0,374.0,0.010395684
375.0,375.0,0.018448176
376.0,376.0,0.5879525
377.0,377.0,0.046277247
378.0,378.0,0.015339652
379.0,379.0,0.014443043
380.0,380.0,0.06541975
381.0,381.0,0.20504668
382.0,382.0,0.20907603
383.0,383.0,0.07698598
384.0,384.0,0.020064076
385.0,385.0,0.05548443
386.0,386.0,0.3209283
387.0,387.0,0.08014753
388.0,388.0,0.022562947
389.0,389.0,0.0058064433
390.0,390.0,0.022854581
391.0,391.0,0.026672926
392.0,392.0,0.35391062
393.0,393.0,0.24773541
394.0,394.0,0.035882093
395.0,395.0,0.035707068
396.0,396.0,0.018217595
397.0,397.0,0.016412413
398.0,398.0,0.15938795
399.0,399.0,0.11655525
400.0,400.0,0.014677041
401.0,401.0,0.03177679
402.0,402.0,0.5528448
403.0,403.0,0.1336509
404.0,404.0,0.09812528
405.0,405.0,0.016904037
406.0,406.0,0.10842236
407.0,407.0,0.105842285
408.0,408.0,0.045957644
409.0,409.0,0.014234143
410.0,410.0,0.06853848
411.0,411.0,0.042772997
412.0,412.0,0.020449873
413.0,413.0,0.21306387
414.0,414.0,0.011601633
415.0,415.0,0.11620007
416.0,416.0,0.005591464
417.0,417.0,0.08156515
418.0,418.0,0.015787829
419.0,419.0,0.02626135
420.0,420.0,0.031138469
421.0,421.0,0.017017044
422.0,422.0,0.3605696
423.0,423.0,0.05359016
424.0,424.0,0.033989146
425.0,425.0,0.43878865
426.0,426.0,0.030769031
427.0,427.0,0.05534414
428.0,428.0,0.085455865
429.0,429.0,0.04863204
430.0,430.0,0.05196505
431.0,431.0,0.008782412
432.0,432.0,0.2524021
433.0,433.0,0.047025964
434.0,434.0,0.041828293
435.0,435.0,0.038199358
436.0,436.0,0.21638666
437.0,437.0,0.38121688
438.0,438.0,0.16645303
439.0,439.0,0.011197127
440.0,440.0,0.041246645
441.0,441.0,0.0026262382
442.0,442.0,0.037076697
443.0,443.0,0.47665027
444.0,444.0,0.053666484
445.0,445.0,0.015271488
446.0,446.0,0.025738494
447.0,447.0,0.043834552
448.0,448.0,0.049863134
449.0,449.0,0.02889914
450.0,450.0,0.3768815
451.0,451.0,0.06530369
452.0,452.0,0.01808536
453.0,453.0,0.03314444
454.0,454.0,0.104201384
455.0,455.0,0.090049624
456.0,456.0,0.036914688
457.0,457.0,0.2881603
458.0,458.0,0.041138474
459.0,459.0,0.036017153
460.0,460.0,0.026082275
461.0,461.0,0.0705033
462.0,462.0,0.28340915
463.0,463.0,0.21699664
464.0,464.0,0.11174835
465.0,465.0,0.07354432
466.0,466.0,0.061305597
467.0,467.0,0.1191439
468.0,468.0,0.034330778
469.0,469.0,0.04831744
470.0,470.0,0.10290546
471.0,471.0,0.010462998
472.0,472.0,0.27746308
473.0,473.0,0.16012543
474.0,474.0,0.054849043
475.0,475.0,0.043100543
476.0,476.0,0.038734484
477.0,477.0,0.028283963
478.0,478.0,0.056937397
479.0,479.0,0.048743695
480.0,480.0,0.12098363
481.0,481.0,0.011925042
482.0,482.0,0.044102896
483.0,483.0,0.274685
484.0,484.0,0.020511402
485.0,485.0,0.05495685
486.0,486.0,0.0069466713
487.0,487.0,0.029215317
488.0,488.0,0.0053852326
489.0,489.0,0.007674761
490.0,490.0,0.07045617
491.0,491.0,0.062506765
492.0,492.0,0.02812929
493.0,493.0,0.043568086
494.0,494.0,0.097334154
495.0,495.0,0.042007424
496.0,496.0,0.035279747
497.0,497.0,0.016065113
498.0,498.0,0.07964042
499.0,499.0,0.0051839193
500.0,500.0,0.021474633
501.0,501.0,0.37247655
502.0,502.0,0.0132747
503.0,503.0,0.01976458
504.0,504.0,0.07491421
505.0,505.0,0.32375643
506.0,506.0,0.008139556
507.0,507.0,0.59764177
508.0,508.0,0.03577261
509.0,509.0,0.039261196
510.0,510.0,0.1480101
511.0,511.0,0.051258314
512.0,512.0,0.0484694
513.0,513.0,0.0830765
514.0,514.0,0.04484378
515.0,515.0,0.042350493
516.0,516.0,0.02976543
517.0,517.0,0.026110562
518.0,518.0,0.1536822
519.0,519.0,0.25206706
520.0,520.0,0.50206214
521.0,521.0,0.06682254
522.0,522.0,0.06309453
523.0,523.0,0.01499495
524.0,524.0,0.19271839
525.0,525.0,0.013992781
526.0,526.0,0.03379359
527.0,527.0,0.0714391
528.0,528.0,0.6034208
529.0,529.0,0.0062066265
530.0,530.0,0.026733465
531.0,531.0,0.017302666
532.0,532.0,0.5413872
533.0,533.0,0.0055578845
534.0,534.0,0.046923835
535.0,535.0,0.043767743
536.0,536.0,0.009534743
537.0,537.0,0.07146461
538.0,538.0,0.038453277
539.0,539.0,0.099732205
540.0,540.0,0.098189555
541.0,541.0,0.041476022
542.0,542.0,0.024023892
543.0,543.0,0.39357954
544.0,544.0,0.06940261
545.0,545.0,0.1455947
546.0,546.0,0.36155826
547.0,547.0,0.15911625
548.0,548.0,0.02255424
549.0,549.0,0.13966547
550.0,550.0,0.54247063
551.0,551.0,0.07166094
552.0,552.0,0.08384079
553.0,553.0,0.031911
554.0,554.0,0.19085416
555.0,555.0,0.120015495
556.0,556.0,0.18007495
557.0,557.0,0.04770696
558.0,558.0,0.23826022
559.0,559.0,0.05380161
560.0,560.0,0.16083328
561.0,561.0,0.07650291
562.0,562.0,0.16105999
563.0,563.0,0.03492288
564.0,564.0,0.07707853
565.0,565.0,0.05501155
566.0,566.0,0.25482073
567.0,567.0,0.055859584
568.0,568.0,0.13730401
569.0,569.0,0.007941106
570.0,570.0,0.04498826
571.0,571.0,0.058537472
572.0,572.0,0.5179184
573.0,573.0,0.026533617
574.0,574.0,0.31092247
575.0,575.0,0.02819631
576.0,576.0,0.037413396
577.0,577.0,0.06391208
578.0,578.0,0.05145183
579.0,579.0,0.082963616
580.0,580.0,0.004074252
581.0,581.0,0.03718557
582.0,582.0,0.2827502
