x,y,species min
1.0,1.0,0.27220103
2.0,2.0,0.030343989
3.0,3.0,0.0369473
4.0,4.0,0.56411856
5.0,5.0,0.01692381
6.0,6.0,0.028225794
7.0,7.0,0.0017970864
8.0,8.0,0.30127564
9.0,9.0,0.012708209
10.0,10.0,0.035618346
11.0,11.0,0.030061979
12.0,12.0,0.5757538
13.0,13.0,0.041308448
14.0,14.0,0.051726468
15.0,15.0,0.30157483
16.0,16.0,0.033499148
17.0,17.0,0.025386183
18.0,18.0,0.25856
19.0,19.0,0.005383905
20.0,20.0,0.32378843
21.0,21.0,0.47198656
22.0,22.0,0.013920997
23.0,23.0,0.05701769
24.0,24.0,0.071144536
25.0,25.0,0.0099618975
26.0,26.0,0.003928978
27.0,27.0,0.5807141
28.0,28.0,0.06681409
29.0,29.0,0.41920763
30.0,30.0,0.061815623
31.0,31.0,0.02938879
32.0,32.0,0.08216019
33.0,33.0,0.057822324
34.0,34.0,0.08122188
35.0,35.0,0.057685815
36.0,36.0,0.17078607
37.0,37.0,0.077623695
38.0,38.0,0.07071798
39.0,39.0,0.09510878
40.0,40.0,0.16564243
41.0,41.0,0.111574724
42.0,42.0,0.031968392
43.0,43.0,0.015899632
44.0,44.0,0.005817857
45.0,45.0,0.065951586
46.0,46.0,0.055265788
47.0,47.0,0.02060476
48.0,48.0,0.15974586
49.0,49.0,0.05099448
50.0,50.0,0.012503962
51.0,51.0,0.017461509
52.0,52.0,0.00640631
53.0,53.0,0.054575816
54.0,54.0,0.11636547
55.0,55.0,0.27970904
56.0,56.0,0.053493537
57.0,57.0,0.009710095
58.0,58.0,0.020432288
59.0,59.0,0.0819555
60.0,60.0,0.15360026
61.0,61.0,0.08938841
62.0,62.0,0.035786565
63.0,63.0,0.010353542
64.0,64.0,0.018491184
65.0,65.0,0.12362879
66.0,66.0,0.17089489
67.0,67.0,0.13598341
68.0,68.0,0.40598908
69.0,69.0,0.12775181
70.0,70.0,0.027458135
71.0,71.0,0.014916168
72.0,72.0,0.59268403
73.0,73.0,0.053382248
74.0,74.0,0.0133738
75.0,75.0,0.036239125
76.0,76.0,0.008873824
77.0,77.0,0.0065593454
78.0,78.0,0.025925174
79.0,79.0,0.50056744
80.0,80.0,0.12511948
81.0,81.0,0.27712792
82.0,82.0,0.04874173
83.0,83.0,0.0021179134
84.0,84.0,0.19400437
85.0,85.0,0.046015393
86.0,86.0,0.047468007
87.0,87.0,0.527828
88.0,88.0,0.007437864
89.0,89.0,0.029515028
90.0,90.0,0.066921115
91.0,91.0,0.23531963
92.0,92.0,0.102231264
93.0,93.0,0.030850478
94.0,94.0,0.0029743179
95.0,95.0,0.0031543477
96.0,96.0,0.026474658
97.0,97.0,0.04733193
98.0,98.0,0.083935425
99.0,99.0,0.22566776
100.0,100.0,0.016561382
101.0,101.0,0.15544584
102.0,102.0,0.41235918
103.0,103.0,0.009933878
104.0,104.0,0.5460293
105.0,105.0,0.057446763
106.0,106.0,0.011549186
107.0,107.0,0.02763896
108.0,108.0,0.32419127
109.0,109.0,0.099499494
110.0,110.0,0.009054769
111.0,111.0,0.004324075
112.0,112.0,0.40199712
113.0,113.0,0.052007753
114.0,114.0,0.030994216
115.0,115.0,0.02644703
116.0,116.0,0.113815986
117.0,117.0,0.056170102
118.0,118.0,0.40159482
119.0,119.0,0.636488
120.0,120.0,0.018625077
121.0,121.0,0.010876263
122.0,122.0,0.29487944
123.0,123.0,0.009491094
124.0,124.0,0.01922198
125.0,125.0,0.010815927
126.0,126.0,0.0417694
127.0,127.0,0.0133582745
128.0,128.0,0.049468357
129.0,129.0,0.031960797
130.0,130.0,0.019635081
131.0,131.0,0.5051469
132.0,132.0,0.5535241
133.0,133.0,0.009298306
134.0,134.0,0.032371767
135.0,135.0,0.0036415209
136.0,136.0,0.11132942
137.0,137.0,0.0028006064
138.0,138.0,0.031048128
139.0,139.0,0.050919335
140.0,140.0,0.04928238
141.0,141.0,0.0063117906
142.0,142.0,0.011509549
143.0,143.0,0.095242806
144.0,144.0,0.058058843
145.0,145.0,0.027220026
146.0,146.0,0.014001091
147.0,147.0,0.0022806348
148.0,148.0,0.076739535
149.0,149.0,0.4415521
150.0,150.0,0.10667285
151.0,151.0,0.26522958
152.0,152.0,0.022041768
153.0,153.0,0.53003263
154.0,154.0,0.14208698
155.0,155.0,0.23685545
156.0,156.0,0.014560248
157.0,157.0,0.013312906
158.0,158.0,0.0149788475
159.0,159.0,0.10403728
160.0,160.0,0.006973587
161.0,161.0,0.12147488
162.0,162.0,0.002677608
163.0,163.0,0.110894285
164.0,164.0,0.57928544
165.0,165.0,0.12195001
166.0,166.0,0.34987703
167.0,167.0,0.3751305
168.0,168.0,0.07979232
169.0,169.0,0.32584387
170.0,170.0,0.029864646
171.0,171.0,0.101088636
172.0,172.0,0.016180478
173.0,173.0,0.034593105
174.0,174.0,0.06738434
175.0,175.0,0.15796721
176.0,176.0,0.19710423
177.0,177.0,0.018490233
178.0,178.0,0.16906282
179.0,179.0,0.3921338
180.0,180.0,0.045517024
181.0,181.0,0.036402717
182.0,182.0,0.23006433
183.0,183.0,0.007326701
184.0,184.0,0.25130793
185.0,185.0,0.12932493
186.0,186.0,0.01332851
187.0,187.0,0.081528746
188.0,188.0,0.17403862
189.0,189.0,0.05131545
190.0,190.0,0.6541692
191.0,191.0,0.43893573
192.0,192.0,0.43922117
193.0,193.0,0.0050402326
194.0,194.0,0.11797062
195.0,195.0,0.5263984
196.0,196.0,0.008230834
197.0,197.0,0.13361241
198.0,198.0,0.28542814
199.0,199.0,0.32466617
200.0,200.0,0.012621834
201.0,201.0,0.03772569
202.0,202.0,0.22717355
203.0,203.0,0.031426914
204.0,204.0,0.134372
205.0,205.0,0.6183189
206.0,206.0,0.13704868
207.0,207.0,0.0694266
208.0,208.0,0.098619886
209.0,209.0,0.079121776
210.0,210.0,0.20007133
211.0,211.0,0.0076158848
212.0,212.0,0.39968607
213.0,213.0,0.14454989
214.0,214.0,0.027678277
215.0,215.0,0.04113482
216.0,216.0,0.18825497
217.0,217.0,0.010129152
218.0,218.0,0.0053661065
219.0,219.0,0.0026703046
220.0,220.0,0.043711178
221.0,221.0,0.33789095
222.0,222.0,0.06749535
223.0,223.0,0.013137633
224.0,224.0,0.014643963
225.0,225.0,0.058969274
226.0,226.0,0.034882866
227.0,227.0,0.02048998
228.0,228.0,0.28701517
229.0,229.0,0.028406158
230.0,230.0,0.032636743
231.0,231.0,0.010654112
232.0,232.0,0.02613964
233.0,233.0,0.027302116
234.0,234.0,0.028161893
235.0,235.0,0.00566914
236.0,236.0,0.04274982
237.0,237.0,0.025764827
238.0,238.0,0.4292996
239.0,239.0,0.00924582
240.0,240.0,0.66204715
241.0,241.0,0.03502358
242.0,242.0,0.58521837
243.0,243.0,0.056299813
244.0,244.0,0.040805254
245.0,245.0,0.022645395
246.0,246.0,0.30195785
247.0,247.0,0.0444254
248.0,248.0,0.19671836
249.0,249.0,0.027459819
250.0,250.0,0.04674097
251.0,251.0,0.1661936
252.0,252.0,0.0011929342
253.0,253.0,0.027266914
254.0,254.0,0.59504706
255.0,255.0,0.0129072275
256.0,256.0,0.49796823
257.0,257.0,0.031121712
258.0,258.0,0.07117663
259.0,259.0,0.09410654
260.0,260.0,0.06012455
261.0,261.0,0.054891694
262.0,262.0,0.008103537
263.0,263.0,0.02366055
264.0,264.0,0.0446474
265.0,265.0,0.099750854
266.0,266.0,0.2804889
267.0,267.0,0.09314499
268.0,268.0,0.11751261
269.0,269.0,0.009163647
270.0,270.0,0.013117146
271.0,271.0,0.00976366
