x,y,species stddev
1.0,1.0,0.009951586
2.0,2.0,0.0034062092
3.0,3.0,0.0016777195
4.0,4.0,0.011586534
5.0,5.0,0.0015049819
6.0,6.0,0.0025797258
7.0,7.0,4.0331477E-4
8.0,8.0,0.0074397917
9.0,9.0,0.001242378
10.0,10.0,0.004570586
11.0,11.0,0.004701111
12.0,12.0,0.004908612
13.0,13.0,0.005608517
14.0,14.0,0.0060973307
15.0,15.0,0.012970435
16.0,16.0,0.0014681935
17.0,17.0,0.001771941
18.0,18.0,0.009232928
19.0,19.0,8.937357E-4
20.0,20.0,0.0034998474
21.0,21.0,0.0040378016
22.0,22.0,0.0011267525
23.0,23.0,0.0058250776
24.0,24.0,0.0037001325
25.0,25.0,0.0043170424
26.0,26.0,8.4651867E-4
27.0,27.0,0.0100684725
28.0,28.0,0.003978006
29.0,29.0,0.0015690494
30.0,30.0,0.003531712
31.0,31.0,0.0031599517
32.0,32.0,0.01425455
33.0,33.0,0.0030232747
34.0,34.0,0.004134356
35.0,35.0,0.0066379528
36.0,36.0,0.0069920216
37.0,37.0,0.01713945
38.0,38.0,0.004490481
39.0,39.0,0.006363162
40.0,40.0,0.011442257
41.0,41.0,0.007137658
42.0,42.0,0.0040997625
43.0,43.0,0.004767527
44.0,44.0,6.9830264E-4
45.0,45.0,0.0049899057
46.0,46.0,0.0027916813
47.0,47.0,0.0026727538
48.0,48.0,0.009516767
49.0,49.0,0.0026877983
50.0,50.0,0.0012870374
51.0,51.0,0.005137035
52.0,52.0,6.63105E-4
53.0,53.0,0.0028658686
54.0,54.0,0.008371554
55.0,55.0,0.01101273
56.0,56.0,0.004915554
57.0,57.0,0.0031944816
58.0,58.0,0.009055836
59.0,59.0,0.005258736
60.0,60.0,0.008470132
61.0,61.0,0.0019986138
62.0,62.0,0.0031368197
63.0,63.0,0.002803755
64.0,64.0,0.0018470498
65.0,65.0,0.013367403
66.0,66.0,0.013883812
67.0,67.0,0.0064484733
68.0,68.0,0.018614715
69.0,69.0,0.0064103287
70.0,70.0,0.012298217
71.0,71.0,9.3290006E-4
72.0,72.0,0.009243052
73.0,73.0,0.0053038644
74.0,74.0,0.003494255
75.0,75.0,0.0044741253
76.0,76.0,0.0037286214
77.0,77.0,0.0010052712
78.0,78.0,0.0036364538
79.0,79.0,0.002252366
80.0,80.0,0.006042346
81.0,81.0,0.012848114
82.0,82.0,0.0038041798
83.0,83.0,1.745775E-4
84.0,84.0,0.005057397
85.0,85.0,0.0056920424
86.0,86.0,0.0039275745
