"name","lat","long"
"Galax urceolata",35.23,-82.73
"Galax urceolata",36.83,-84.33
"Galax urceolata",35.15,-79.37
"Galax urceolata",35.73,-81.9
"Galax urceolata",36.66,-83.58
"Galax urceolata",35.94,-82.01
"Galax urceolata",34.19,-84.58
"Galax urceolata",34.88,-83.02
"Galax urceolata",35.06,-83.19
"Galax urceolata",36.4,-81.46
"Galax urceolata",35.02,-82.73
"Galax urceolata",36.84,-84.34
"Galax urceolata",35.56,-84.01
"Galax urceolata",35.24,-77.88
"Galax urceolata",33.9,-83.38
"Galax urceolata",33.61,-81.81
"Galax urceolata",35.69,-82.38
"Galax urceolata",34.68,-83.32
"Galax urceolata",35.24,-81.27
"Galax urceolata",34.97,-83.12
"Galax urceolata",37.7,-83.36
"Galax urceolata",33.88,-85.3
"Galax urceolata",36.12,-81.81
"Galax urceolata",36.44,-76.69
"Galax urceolata",37.67,-80.33
"Galax urceolata",36,-83.95
"Galax urceolata",35.06,-87.77
"Galax urceolata",35.75,-82.22
"Galax urceolata",36.34,-80.47
"Galax urceolata",37.37,-80.52
"Galax urceolata",37.64,-78.78
"Galax urceolata",38.9,-77.06
"Galax urceolata",34.97,-82.85
"Galax urceolata",35.6,-82.29
"Galax urceolata",36.11,-83.75
"Galax urceolata",36.4,-80.28
"Galax urceolata",35.04,-83.19
"Galax urceolata",35.03,-83.44
"Galax urceolata",34.32,-84.63
"Galax urceolata",35.65,-83.58
"Galax urceolata",33.8,-80.54
"Galax urceolata",36,-81.11
"Galax urceolata",36.08,-82.57
"Galax urceolata",36.39,-80.26
"Galax urceolata",34.76,-84.71
"Galax urceolata",34.35,-78.15
"Galax urceolata",34.85,-83.8
"Galax urceolata",36.84,-84.33
"Galax urceolata",37.35,-80.53
"Galax urceolata",35.67,-83.47
"Galax urceolata",36.55,-84.05
"Galax urceolata",33.81,-81.2
"Galax urceolata",35.91,-81.89
"Galax urceolata",36.34,-80.48
"Galax urceolata",34.74,-83.46
"Galax urceolata",38.99,-79.2
"Galax urceolata",35.73,-81.91
"Galax urceolata",35.81,-76.89
"Galax urceolata",35.64,-82.29
"Galax urceolata",35.97,-83.9
"Galax urceolata",35.17,-83.58
"Galax urceolata",36.18,-82.08
"Galax urceolata",36.4,-81.04
"Galax urceolata",35.64,-83.5
"Galax urceolata",36.41,-80.21
"Galax urceolata",34.5,-85.63
"Galax urceolata",35.95,-82.9
"Galax urceolata",35.6,-81.64
"Galax urceolata",35.65,-83.44
"Galax urceolata",35.63,-83.82
"Galax urceolata",36.82,-76.86
"Galax urceolata",35.18,-83.56
