"name","lat","long"
"Pyxidanthera barbulata",34.99,-78.37
"Pyxidanthera barbulata",35.02,-77.36
"Pyxidanthera barbulata",34.71,-77.42
"Pyxidanthera barbulata",34.64,-79.1
"Pyxidanthera barbulata",35.02,-79.24
"Pyxidanthera barbulata",34.84,-79.48
"Pyxidanthera barbulata",35.36,-78
"Pyxidanthera barbulata",36.72,-77.11
"Pyxidanthera barbulata",36.7,-76.63
"Pyxidanthera barbulata",36.44,-76.7
"Pyxidanthera barbulata",40.28,-74.7
"Pyxidanthera barbulata",39.47,-74.63
"Pyxidanthera barbulata",39.09,-74.85
"Pyxidanthera barbulata",40.44,-74.41
"Pyxidanthera barbulata",40.29,-74.16
"Pyxidanthera barbulata",39.58,-75.36
"Pyxidanthera barbulata",34.61,-78.56
"Pyxidanthera barbulata",34.86,-76.53
"Pyxidanthera barbulata",35.12,-77.08
"Pyxidanthera barbulata",34.94,-77.93
"Pyxidanthera barbulata",35.52,-78.37
"Pyxidanthera barbulata",39.8,-74.96
"Pyxidanthera barbulata",35.05,-78.83
"Pyxidanthera barbulata",35.49,-76.85
"Pyxidanthera barbulata",37,-77
"Pyxidanthera barbulata",39.8,-74.7
"Pyxidanthera barbulata",39.78,-74.43
"Pyxidanthera barbulata",35.11,-79.33
"Pyxidanthera barbulata",34.53,-77.73
"Pyxidanthera barbulata",39.65,-74.65
"Pyxidanthera barbulata",34.59,-77.67
"Pyxidanthera barbulata",34.76,-76.88
"Pyxidanthera barbulata",35.37,-78.87
"Pyxidanthera barbulata",34.02,-78.07
"Pyxidanthera barbulata",39.82,-74.55
"Pyxidanthera barbulata",39.71,-74.38
"Pyxidanthera barbulata",34.59,-77.66
"Pyxidanthera barbulata",39.66,-74.72
"Pyxidanthera barbulata",34.73,-76.96
"Pyxidanthera barbulata",34.04,-78.23
"Pyxidanthera barbulata",34.09,-78.3
"Pyxidanthera barbulata",34.91,-77.06
"Pyxidanthera barbulata",36.08,-79.79
"Pyxidanthera barbulata",34.27,-78.66
"Pyxidanthera barbulata",40.05,-74.33
"Pyxidanthera barbulata",36.81,-76.85
"Pyxidanthera barbulata",34.73,-76.98
"Pyxidanthera barbulata",35,-79.54
"Pyxidanthera barbulata",39.89,-74.55
"Pyxidanthera barbulata",34.74,-76.93
"Pyxidanthera barbulata",34.63,-77.68
"Pyxidanthera barbulata",39.68,-74.36
"Pyxidanthera barbulata",39.72,-75.14
"Pyxidanthera barbulata",40.12,-74.19
"Pyxidanthera barbulata",34.83,-79.45
"Pyxidanthera barbulata",34.64,-77.31
"Pyxidanthera barbulata",34.57,-77.6
"Pyxidanthera barbulata",34.91,-79.59
"Pyxidanthera barbulata",33.97,-78.11
"Pyxidanthera barbulata",34.76,-77
"Pyxidanthera barbulata",34.53,-77.72
