"name","lat","long"
"Pyxidanthera brevifolia",34.59,-80.21
"Pyxidanthera brevifolia",35.13,-79.28
"Pyxidanthera brevifolia",35.09,-79.24
"Pyxidanthera brevifolia",35.11,-79.33
"Pyxidanthera brevifolia",35.18,-79.36
"Pyxidanthera brevifolia",35.06,-79.06
"Pyxidanthera brevifolia",35.05,-79.36
"Pyxidanthera brevifolia",35.01,-79.75
"Pyxidanthera brevifolia",34.57,-80.19
"Pyxidanthera brevifolia",35.03,-79.21
"Pyxidanthera brevifolia",35.05,-79.26
"Pyxidanthera brevifolia",35.12,-79.34
"Pyxidanthera brevifolia",35.1,-79.21
"Pyxidanthera brevifolia",35,-79.03
"Pyxidanthera brevifolia",35.11,-79.21
"Pyxidanthera brevifolia",35.01,-78.81
"Pyxidanthera brevifolia",35.21,-79.12
"Pyxidanthera brevifolia",35.02,-79.2
"Pyxidanthera brevifolia",35.02,-79.3
"Pyxidanthera brevifolia",35.31,-79.48
"Pyxidanthera brevifolia",34.64,-80.16
"Pyxidanthera brevifolia",34.33,-79.96
"Pyxidanthera brevifolia",35.05,-78.83
"Pyxidanthera brevifolia",35.37,-78.87
"Pyxidanthera brevifolia",35.02,-79.24
"Pyxidanthera brevifolia",34.58,-80.21
"Pyxidanthera brevifolia",35.11,-79.23
"Pyxidanthera brevifolia",35.14,-79.2
"Pyxidanthera brevifolia",35.15,-79.27
"Pyxidanthera brevifolia",35.27,-79.06
"Pyxidanthera brevifolia",34.59,-80.12
"Pyxidanthera brevifolia",34.5,-80.22
"Pyxidanthera brevifolia",35.12,-79.35
