Botanical garden,Location,Long,Lat
American Orchid Society Visitor Center and Botanical Garden,Delray Beach,-80.15,26.43
Arboretum of the University of Central Florida,Orlando,-81.19,28.60
Bok Tower Gardens,Lake Wales,-81.58,27.94
Botanic Gardens at Kona Kai Resort,Key Largo,-80.46,25.08
Cypress Gardens,Winter Heaven,-81.69,28.00
Cummer Museum of Art and Gardens,Jacksonville,-81.68,30.31
Deerfield Beach Arboretum,Deerfield Beach,-80.14,26.32
Edison and Ford Winter Estates,Fort Myers,-81.88,26.63
Fairchild Tropical Botanic Garden,Coral Gables,-80.27,25.68
Flamingo Gardens,Davie,-80.31,26.07
The Florida Botanical Gardens,Largo,-82.79,27.91
Florida Institute of Technology Botanical Gardens,Melbourne,-80.62,28.07
Four Arts Gardens,Palm Beach,-80.04,26.71
Fruit and Spice Park,Homestead,-80.49,25.54
John C. Gifford Arboretum,Coral Gables,-80.28,25.72
Heathcote Botanical Gardens,Fort Pierce,-80.32,27.42
Jacksonville Arboretum & Gardens,Jacksonville,-81.54,30.35
Jacksonville Zoo and Gardens,Jacksonville,-81.64,30.40
The Kampong,Miami,-80.25,25.71
Kanapaha Botanical Gardens,Gainesville,-82.41,29.61
Key West Botanical Forest and Garden,Key West,-81.75,24.57
Harry P. Leu Gardens,Orlando,-81.36,28.57
Alfred B. Maclay State Gardens,Tallahassee,-84.25,30.52
McKee Botanical Garden,Vero Beach,-80.38,27.61
Miami Beach Botanical Garden,Miami Beach,-80.14,25.80
Montgomery Botanical Center,Coral Gables,-80.28,25.66
Morikami Museum and Japanese Gardens,Delray Beach,-80.15,26.43
Mounts Botanical Garden,West Palm Beach,-80.11,26.69
Naples Botanical Garden,Naples,-81.80,26.15
Nature Coast Botanical Gardens,Spring Hill,-82.62,28.46
Ormond Memorial Art Museum and Gardens,Ormond Beach,-81.04,29.29
Palm and Cycad Arboretum,Jacksonville,-81.51,30.29
Palma Sola Botanical Park,Bradenton,-82.66,27.51
Roji-en Japanese Gardens,Delray Beach,-80.15,26.43
Sarasota Jungle Gardens,Sarasota,-82.54,27.34
Marie Selby Botanical Gardens,Sarasota,-82.54,27.33
Sunken Gardens,St. Petersburg,-82.64,27.79
Tree Hill Nature Center,Jacksonville,-81.58,30.33
Tropical Ranch Botanical Garden,Stuart,-80.28,27.10
Unbelievable Acres Botanic Gardens,Palm Beach,-80.14,26.68
University of South Florida Botanical Gardens,Tampa,-82.41,28.05
Vizcaya Museum and Gardens,Miami ,-80.21,25.74
