"ID","name","basis","coordinateUncertaintyInMeters","informationWithheld","lat","long","date","year","month","day"
"2735820708","Pyxidanthera barbulata","observation",NA,NA,34.99,-78.37,NA,NA,NA,NA
"2735820709","Pyxidanthera barbulata","observation",NA,NA,35.02,-77.36,NA,NA,NA,NA
"2735820712","Pyxidanthera barbulata","observation",NA,NA,34.71,-77.42,NA,NA,NA,NA
"2735820714","Pyxidanthera barbulata","observation",NA,NA,34.64,-79.1,NA,NA,NA,NA
"2735820715","Pyxidanthera barbulata","observation",NA,NA,35.02,-79.24,NA,NA,NA,NA
"2735820716","Pyxidanthera barbulata","observation",NA,NA,34.84,-79.48,NA,NA,NA,NA
"2735820717","Pyxidanthera barbulata","observation",NA,NA,35.36,-78,NA,NA,NA,NA
"2735820721","Pyxidanthera barbulata","observation",NA,NA,36.72,-77.11,NA,NA,NA,NA
"2735820722","Pyxidanthera barbulata","observation",NA,NA,36.7,-76.63,NA,NA,NA,NA
"2735820724","Pyxidanthera barbulata","observation",NA,NA,36.44,-76.7,NA,NA,NA,NA
"2735820725","Pyxidanthera barbulata","observation",NA,NA,40.28,-74.7,NA,NA,NA,NA
"2735820726","Pyxidanthera barbulata","observation",NA,NA,39.47,-74.63,NA,NA,NA,NA
"2735820728","Pyxidanthera barbulata","observation",NA,NA,39.09,-74.85,NA,NA,NA,NA
"2735820729","Pyxidanthera barbulata","observation",NA,NA,40.44,-74.41,NA,NA,NA,NA
"2735820730","Pyxidanthera barbulata","observation",NA,NA,40.29,-74.16,NA,NA,NA,NA
"2735820732","Pyxidanthera barbulata","observation",NA,NA,39.58,-75.36,NA,NA,NA,NA
"2735820734","Pyxidanthera barbulata","observation",NA,NA,34.61,-78.56,NA,NA,NA,NA
"2735820736","Pyxidanthera barbulata","observation",NA,NA,34.86,-76.53,NA,NA,NA,NA
"2735820737","Pyxidanthera barbulata","observation",NA,NA,35.12,-77.08,NA,NA,NA,NA
"2735820738","Pyxidanthera barbulata","observation",NA,NA,34.94,-77.93,NA,NA,NA,NA
"2735820739","Pyxidanthera barbulata","observation",NA,NA,35.52,-78.37,NA,NA,NA,NA
"2735820740","Pyxidanthera barbulata","observation",NA,NA,39.8,-74.96,NA,NA,NA,NA
"2735820741","Pyxidanthera barbulata","observation",NA,NA,35.05,-78.83,NA,NA,NA,NA
"2735820742","Pyxidanthera barbulata","observation",NA,NA,35.49,-76.85,NA,NA,NA,NA
"2641150323","Pyxidanthera barbulata","observation","25m",NA,37,-77,2001-09-25,2001,9,25
"2641578805","Pyxidanthera barbulata","observation","NAm",NA,39.8,-74.7,2004-11-24,2004,11,24
"1930883196","Pyxidanthera barbulata","specimen",NA,NA,39.78,-74.43,1994-04-12,1994,4,12
"2571248451","Pyxidanthera barbulata","specimen",NA,NA,35.11,-79.33,2013-10-25,2013,10,25
"2237423310","Pyxidanthera barbulata","observation",NA,NA,34.53,-77.73,2019-03-13,2019,3,13
"1883908741","Pyxidanthera barbulata","observation","5.0",NA,39.65,-74.65,2018-04-21,2018,4,21
"1990229411","Pyxidanthera barbulata","specimen","50.0",NA,34.59,-77.67,2011-03-20,2011,3,20
"2573777293","Pyxidanthera barbulata","observation","5.0",NA,34.76,-76.88,2018-03-30,2018,3,30
"2234339825","Pyxidanthera barbulata","specimen",NA,NA,35.37,-78.87,1974-10-26,1974,10,26
"2580203776","Pyxidanthera barbulata","observation","54.0",NA,34.02,-78.07,2018-04-10,2018,4,10
"1500269524","Pyxidanthera barbulata","observation","10.0",NA,39.82,-74.55,2017-04-01,2017,4,1
"2597749411","Pyxidanthera barbulata","observation","823.0",NA,39.71,-74.38,2020-04-05,2020,4,5
"1990229430","Pyxidanthera barbulata","specimen","50.0",NA,34.59,-77.66,2011-03-20,2011,3,20
"2269205996","Pyxidanthera barbulata","observation","28060.0",NA,39.66,-74.72,2018-10-27,2018,10,27
"2609190814","Pyxidanthera barbulata","observation",NA,NA,34.73,-76.96,2020-02-21,2020,2,21
"2234463862","Pyxidanthera barbulata","specimen",NA,NA,34.04,-78.23,2005-04-05,2005,4,5
"2573943702","Pyxidanthera barbulata","observation","183.0",NA,34.09,-78.3,2012-03-22,2012,3,22
"899963268","Pyxidanthera barbulata","observation","35527.0",NA,34.91,-77.06,2014-04-05,2014,4,5
"2269109287","Pyxidanthera barbulata","specimen",NA,NA,36.08,-79.79,NA,NA,NA,NA
"2234339206","Pyxidanthera barbulata","specimen",NA,NA,34.27,-78.66,1973-04-07,1973,4,7
"2597724517","Pyxidanthera barbulata","observation",NA,NA,40.05,-74.33,2020-04-06,2020,4,6
"1837736101","Pyxidanthera barbulata","observation","35.0",NA,36.81,-76.85,2018-03-27,2018,3,27
"2574143407","Pyxidanthera barbulata","observation",NA,NA,34.73,-76.98,2020-02-07,2020,2,7
"2459993053","Pyxidanthera barbulata","observation","5.0",NA,35,-79.54,2018-11-18,2018,11,18
"1986634703","Pyxidanthera barbulata","observation",NA,NA,39.89,-74.55,2017-04-29,2017,4,29
"2529347043","Pyxidanthera barbulata","observation","5.0",NA,34.74,-76.93,2018-08-03,2018,8,3
"1986635360","Pyxidanthera barbulata","observation","20.0",NA,34.63,-77.68,2017-06-04,2017,6,4
"2012976300","Pyxidanthera barbulata","observation","10.0",NA,39.68,-74.36,2018-04-29,2018,4,29
"1320683661","Pyxidanthera barbulata","specimen",NA,NA,39.72,-75.14,1939-10-01,1939,10,1
"2269211969","Pyxidanthera barbulata","observation","32.0",NA,40.12,-74.19,2019-04-28,2019,4,28
"1836652774","Pyxidanthera barbulata","observation","28762.0",NA,34.83,-79.45,2018-03-05,2018,3,5
"2529256035","Pyxidanthera barbulata","observation","28790.0",NA,34.64,-77.31,2018-02-27,2018,2,27
"2244230158","Pyxidanthera barbulata","observation","28818.0",NA,34.57,-77.6,2019-04-20,2019,4,20
"1837794544","Pyxidanthera barbulata","observation","100.0",NA,34.91,-79.59,2017-02-21,2017,2,21
"1808368182","Pyxidanthera barbulata","specimen",NA,NA,33.97,-78.11,1996-07-15,1996,7,15
"1929251712","Pyxidanthera barbulata","specimen",NA,NA,34.76,-77,2002-10-05,2002,10,5
"2459990166","Pyxidanthera barbulata","observation","5.0",NA,34.53,-77.72,2018-04-22,2018,4,22
"1928960623","Pyxidanthera barbulata","specimen",NA,NA,39.75,-74.5,1991-10-10,1991,10,10
"2311344497","Pyxidanthera barbulata","observation","9.0",NA,39.79,-74.57,2019-07-27,2019,7,27
"2311336176","Pyxidanthera barbulata","observation","5.0",NA,39.79,-74.54,2019-07-27,2019,7,27
"2626476599","Pyxidanthera barbulata","observation",NA,NA,34.74,-76.97,2020-04-26,2020,4,26
"2603384196","Pyxidanthera barbulata","observation","977.0",NA,39.89,-74.34,2008-05-03,2008,5,3
"2451688601","Pyxidanthera barbulata","observation","2104.0",NA,39.87,-74.51,2019-11-01,2019,11,1
"2265777286","Pyxidanthera barbulata","observation","2064.0",NA,39.9,-74.22,2018-04-28,2018,4,28
"2234462627","Pyxidanthera barbulata","specimen",NA,NA,35.31,-79.48,1956-04-02,1956,4,2
"2234462652","Pyxidanthera barbulata","specimen",NA,NA,34.64,-80.16,1933-01-01,1933,1,1
"2234461946","Pyxidanthera barbulata","specimen",NA,NA,34.33,-79.96,1910-01-01,1910,1,1
"1273933631","Pyxidanthera barbulata","observation",NA,NA,40.94,-72.69,2010-06-16,2010,6,16
"1274084791","Pyxidanthera barbulata","unknown",NA,NA,33.9,-78.98,2000-04-14,2000,4,14
"2311344877","Pyxidanthera barbulata","observation","28060.0",NA,39.61,-74.44,2019-07-27,2019,7,27
"2237427981","Pyxidanthera barbulata","observation","28818.0",NA,34.45,-77.69,2019-03-28,2019,3,28
"2573777274","Pyxidanthera barbulata","observation","10.0",NA,34.84,-77.07,2018-03-31,2018,3,31
"2626115780","Pyxidanthera barbulata","observation","2.0",NA,34.74,-76.98,2020-04-26,2020,4,26
"2268920752","Pyxidanthera barbulata","specimen",NA,NA,39.88,-74.67,1968-07-11,1968,7,11
"2465168318","Pyxidanthera barbulata","observation","5000.0",NA,34.7,-77.24,2016-03-25,2016,3,25
"1269707306","Pyxidanthera barbulata","specimen",NA,NA,39.87,-74.25,1978-05-14,1978,5,14
"415923875","Pyxidanthera barbulata","specimen","20000.0",NA,39.78,-74.45,2002-05-04,2002,5,4
"415983483","Pyxidanthera barbulata","specimen","4.0",NA,39.45,-74.73,1892-05-22,1892,5,22
"415926380","Pyxidanthera barbulata","specimen",NA,NA,40.07,-74.41,1897-04-12,1897,4,12
"415983486","Pyxidanthera barbulata","specimen","5000.0",NA,41.44,-72.02,1905-04-24,1905,4,24
"415983478","Pyxidanthera barbulata","specimen","5000.0",NA,36.87,-76.83,1991-09-24,1991,9,24
"415983481","Pyxidanthera barbulata","specimen","5000.0",NA,35.17,-79.39,1911-04-08,1911,4,8
"415983482","Pyxidanthera barbulata","specimen","5000.0",NA,39.82,-74.54,1894-06-12,1894,6,12
"415983487","Pyxidanthera barbulata","specimen","5000.0",NA,39.66,-74.53,1974-05-14,1974,5,14
"415926374","Pyxidanthera barbulata","specimen","20000.0",NA,40.91,-74.69,1898-08-20,1898,8,20
"606652485","Pyxidanthera barbulata","specimen",NA,NA,39.72,-74.8,1982-05-13,1982,5,13
"415926369","Pyxidanthera barbulata","specimen","20000.0",NA,39.64,-74.66,1884-05-03,1884,5,3
"415927507","Pyxidanthera barbulata","specimen",NA,NA,39.71,-74.4,2003-03-21,2003,3,21
"415986879","Pyxidanthera barbulata","specimen","5000.0",NA,39.29,-74.99,1895-05-07,1895,5,7
"2269204867","Pyxidanthera barbulata","observation","32.0",NA,40.16,-74.35,2018-07-31,2018,7,31
"415926371","Pyxidanthera barbulata","specimen",NA,NA,39.95,-74.48,1965-07-04,1965,7,4
"415983477","Pyxidanthera barbulata","specimen","20000.0",NA,39.77,-74.29,2001-08-24,2001,8,24
"415983480","Pyxidanthera barbulata","specimen",NA,NA,34.9,-77.71,NA,NA,NA,NA
"1932898334","Pyxidanthera barbulata","specimen",NA,NA,39.92,-74.29,2007-09-11,2007,9,11
"2265952402","Pyxidanthera barbulata","specimen",NA,NA,34.18,-77.87,1970-03-06,1970,3,6
"2294554428","Pyxidanthera barbulata","observation","22.0",NA,34.09,-78.29,2018-03-06,2018,3,6
"2580219266","Pyxidanthera barbulata","observation","73.0",NA,34.73,-76.99,2020-03-08,2020,3,8
"2579358258","Pyxidanthera barbulata","observation","7.0",NA,39.8,-74.41,2020-03-07,2020,3,7
"2597488752","Pyxidanthera barbulata","living",NA,NA,39.72,-74.73,2018-06-01,2018,6,1
"2268909211","Pyxidanthera barbulata","specimen",NA,NA,34.51,-77.89,1960-09-25,1960,9,25
"2529387037","Pyxidanthera barbulata","observation","5.0",NA,34.77,-76.88,2018-08-01,2018,8,1
"415733701","Pyxidanthera barbulata","specimen",NA,NA,36.91,-76.71,1980-04-13,1980,4,13
"026ff6ee-e3d2-4e4a-9839-fd2065f0378e","Pyxidanthera barbulata","PreservedSpecimen","518",NA,39.85,-74.86,1937-07-02,1937,7,2
"0753d666-161b-4fa7-9cd9-bc33f6d1f304","Pyxidanthera barbulata","PreservedSpecimen","2318",NA,39.54,-74.79,1935-04-16,1935,4,16
"076c92c8-381c-4a58-9d0f-354d489bdef4","Pyxidanthera barbulata","PreservedSpecimen","1006",NA,39.39,-74.99,1934-01-28,1934,1,28
"08ee8d42-c99e-4477-afe2-b1041b5bc833","Pyxidanthera barbulata","PreservedSpecimen","3150",NA,39.72,-74.37,1975-08-15,1975,8,15
"096d46d3-0737-44cf-936d-1ae06b1b4f54","Pyxidanthera barbulata","PreservedSpecimen","1753",NA,39.69,-74.84,1879-04-12,1879,4,12
"0b3934a3-0442-4674-b4f7-da5fc83ff404","Pyxidanthera barbulata","PreservedSpecimen","1239",NA,39.83,-74.97,1936-01-12,1936,1,12
"0ba9ba72-feb1-49a0-aaff-d75e31a19abf","Pyxidanthera barbulata","PreservedSpecimen","1725",NA,39.91,-74.32,1973-04-29,1973,4,29
"0c8f6da4-662b-47c3-90bb-61601d54a4a2","Pyxidanthera barbulata","PreservedSpecimen","845",NA,39.89,-74.65,1938-08-12,1938,8,12
"0db5c027-0de8-41bc-8dbf-351a6289bbce","Pyxidanthera barbulata","PreservedSpecimen","1118",NA,40.26,-74.2,1941-04-09,1941,4,9
"0ecc90a9-d8f3-406f-9ac9-711996da2a70","Pyxidanthera barbulata","PreservedSpecimen","1497",NA,39.45,-74.6,1938-07-27,1938,7,27
"117c0df1-35b1-4c0a-aadd-d7bd97a460d6","Pyxidanthera barbulata","PreservedSpecimen","542",NA,40.2,-74.36,1938-05-15,1938,5,15
"15dc7cfd-5b6a-4fff-845f-b6aafec24a7c","Pyxidanthera barbulata","PreservedSpecimen","931",NA,39.51,-75.05,1934-04-15,1934,4,15
