ID,name,basis,coordinateUncertaintyInMeters,informationWithheld,lat,long,date,year,month,day
2529265023,Pyxidanthera barbulata,observation,28818,NA,34.44,-77.29,2/28/18,2018,2,28
2735820708,Pyxidanthera barbulata,observation,NA,NA,34.99,-78.37,NA,NA,NA,NA
2735820709,Pyxidanthera barbulata,observation,NA,NA,35.02,-77.36,NA,NA,NA,NA
2735820712,Pyxidanthera barbulata,observation,NA,NA,34.71,-77.42,NA,NA,NA,NA
2735820714,Pyxidanthera barbulata,observation,NA,NA,34.64,-79.1,NA,NA,NA,NA
2735820715,Pyxidanthera barbulata,observation,NA,NA,35.02,-79.24,NA,NA,NA,NA
2735820716,Pyxidanthera barbulata,observation,NA,NA,34.84,-79.48,NA,NA,NA,NA
2735820717,Pyxidanthera barbulata,observation,NA,NA,35.36,-78,NA,NA,NA,NA
2735820721,Pyxidanthera barbulata,observation,NA,NA,36.72,-77.11,NA,NA,NA,NA
2735820722,Pyxidanthera barbulata,observation,NA,NA,36.7,-76.63,NA,NA,NA,NA
2735820724,Pyxidanthera barbulata,observation,NA,NA,36.44,-76.7,NA,NA,NA,NA
2735820725,Pyxidanthera barbulata,observation,NA,NA,40.28,-74.7,NA,NA,NA,NA
2735820726,Pyxidanthera barbulata,observation,NA,NA,39.47,-74.63,NA,NA,NA,NA
2735820728,Pyxidanthera barbulata,observation,NA,NA,39.09,-74.85,NA,NA,NA,NA
2735820729,Pyxidanthera barbulata,observation,NA,NA,40.44,-74.41,NA,NA,NA,NA
2735820730,Pyxidanthera barbulata,observation,NA,NA,40.29,-74.16,NA,NA,NA,NA
2735820732,Pyxidanthera barbulata,observation,NA,NA,39.58,-75.36,NA,NA,NA,NA
2735820734,Pyxidanthera barbulata,observation,NA,NA,34.61,-78.56,NA,NA,NA,NA
2735820736,Pyxidanthera barbulata,observation,NA,NA,34.86,-76.53,NA,NA,NA,NA
2735820737,Pyxidanthera barbulata,observation,NA,NA,35.12,-77.08,NA,NA,NA,NA
2735820738,Pyxidanthera barbulata,observation,NA,NA,34.94,-77.93,NA,NA,NA,NA
