"ID","name","basis","coordinateUncertaintyInMeters","informationWithheld","lat","long","date","year","month","day"
"2641991783","Pyxidanthera brevifolia","observation","200m",NA,35.13,-79.28,1989-06-01,1989,6,1
"2641992625","Pyxidanthera brevifolia","observation","10m",NA,35.09,-79.24,1990-06-13,1990,6,13
"2571259347","Pyxidanthera brevifolia","specimen",NA,NA,35.11,-79.33,2013-04-25,2013,4,25
"2573982497","Pyxidanthera brevifolia","observation","28734.0",NA,35.18,-79.36,2020-02-08,2020,2,8
"2529246001","Pyxidanthera brevifolia","observation","28734.0",NA,35.06,-79.06,2011-01-27,2011,1,27
"1274648638","Pyxidanthera brevifolia","unknown",NA,NA,34.04,-78.23,1948-03-17,1948,3,17
"2236849443","Pyxidanthera brevifolia","observation","28734.0",NA,35.05,-79.36,2019-04-12,2019,4,12
"2234463060","Pyxidanthera brevifolia","specimen",NA,NA,35.01,-79.75,2006-01-01,2006,1,1
"2459993379","Pyxidanthera brevifolia","observation","28734.0",NA,35.03,-79.21,2019-01-01,2019,1,1
"2626227742","Pyxidanthera brevifolia","observation","28734.0",NA,35.05,-79.26,2020-04-29,2020,4,29
"2234738631","Pyxidanthera brevifolia","observation","28734.0",NA,35.12,-79.34,2019-03-17,2019,3,17
"2580137038","Pyxidanthera brevifolia","observation","28734.0",NA,35.1,-79.21,2020-02-29,2020,2,29
"2574201629","Pyxidanthera brevifolia","observation","28734.0",NA,35,-79.03,2018-03-08,2018,3,8
"1836599484","Pyxidanthera brevifolia","observation","28734.0",NA,35.11,-79.21,2018-03-08,2018,3,8
"2459994387","Pyxidanthera brevifolia","observation","28734.0",NA,35.01,-78.81,2019-04-01,2019,4,1
"2465238326","Pyxidanthera brevifolia","observation","28706.0",NA,35.21,-79.12,2019-11-21,2019,11,21
"1852122539","Pyxidanthera brevifolia","specimen",NA,NA,34.5,-80.22,2018-05-20,2018,5,20
"1847568690","Pyxidanthera brevifolia","observation","28734.0",NA,35.02,-79.2,2018-03-08,2018,3,8
"2460005942","Pyxidanthera brevifolia","observation","28734.0",NA,35.02,-79.3,2019-10-07,2019,10,7
"1274651668","Pyxidanthera brevifolia","unknown",NA,NA,35.31,-79.48,1981-09-01,1981,9,1
"1274239014","Pyxidanthera brevifolia","unknown",NA,NA,34.64,-80.16,1993-06-16,1993,6,16
"1274238893","Pyxidanthera brevifolia","unknown",NA,NA,34.33,-79.96,1910-03-01,1910,3,1
"1274650462","Pyxidanthera brevifolia","observation",NA,NA,35.05,-78.83,2006-10-19,2006,10,19
"2234463563","Pyxidanthera brevifolia","specimen",NA,NA,35.37,-78.87,1949-01-01,1949,1,1
"2529245013","Pyxidanthera brevifolia","observation","400.0",NA,34.58,-80.21,2017-02-14,2017,2,14
"2576343475","Pyxidanthera brevifolia","observation","28734.0",NA,35.11,-79.23,2020-02-29,2020,2,29
"2529399022","Pyxidanthera brevifolia","observation","28734.0",NA,35.14,-79.2,2018-02-24,2018,2,24
"2550020488","Pyxidanthera brevifolia","observation","28734.0",NA,35.15,-79.27,2019-12-24,2019,12,24
"5a35a84b-387c-43bd-a7ed-f3a544bd8db8","Pyxidanthera brevifolia","PreservedSpecimen","3992",NA,34.99,-78.96,2000-10-01,2000,10,1
"662e93ee-cefd-4110-a34e-1f48d0cc4bb5","Pyxidanthera brevifolia","PreservedSpecimen","2946",NA,35.12,-79.35,1974-03-07,1974,3,7
"8df239fd-830e-4e41-9ece-87e4daa34c70","Pyxidanthera brevifolia","PreservedSpecimen","1254",NA,35.26,-79.05,1972-03-18,1972,3,18
"3705808573","Pyxidanthera brevifolia","HUMAN_OBSERVATION","28818","Coordinate uncertainty increased to 28818m at the request of the observer",34.48,-80.1,2022-02-25,2022,2,25
"3759069052","Pyxidanthera brevifolia","HUMAN_OBSERVATION","28734","Coordinate uncertainty increased to 28734m to protect threatened taxon",35.09,-79.21,2022-03-26,2022,3,26
"3759133010","Pyxidanthera brevifolia","HUMAN_OBSERVATION","28734","Coordinate uncertainty increased to 28734m at the request of the observer",35.15,-79.32,2022-03-26,2022,3,26
"3759916397","Pyxidanthera brevifolia","HUMAN_OBSERVATION","459",NA,34.58,-80.23,2022-03-04,2022,3,4
"3058842521","Pyxidanthera brevifolia","HUMAN_OBSERVATION","28734","Coordinate uncertainty increased to 28734m to protect threatened taxon",35.16,-79.3,2021-03-07,2021,3,7
"3058924447","Pyxidanthera brevifolia","HUMAN_OBSERVATION","5",NA,34.59,-80.12,2021-03-09,2021,3,9
"3061763560","Pyxidanthera brevifolia","HUMAN_OBSERVATION","5",NA,34.59,-80.21,2021-03-09,2021,3,9
"3097037501","Pyxidanthera brevifolia","HUMAN_OBSERVATION","5005",NA,34.6,-80.21,2021-03-13,2021,3,13
"2634259501","Pyxidanthera brevifolia","HUMAN_OBSERVATION","28706","Coordinate uncertainty increased to 28706m to protect threatened taxon",35.29,-79.09,2020-03-06,2020,3,6
"3330424993","Pyxidanthera brevifolia","HUMAN_OBSERVATION","24",NA,34.57,-80.19,2018-02-23,2018,2,23
"3415386721","Pyxidanthera brevifolia","HUMAN_OBSERVATION","24",NA,34.53,-80.22,2018-03-02,2018,3,2
"3456162368","Pyxidanthera brevifolia","HUMAN_OBSERVATION","28734","Coordinate uncertainty increased to 28734m to protect threatened taxon",35.1,-79.35,2018-03-08,2018,3,8
"3859363320","Pyxidanthera brevifolia","HUMAN_OBSERVATION","28734","Coordinate uncertainty increased to 28734m at the request of the observer",35,-79.21,2017-02-25,2017,2,25
"3031593912","Pyxidanthera brevifolia","HUMAN_OBSERVATION","192",NA,34.64,-79.91,1978-05-05,1978,5,5
"2234464274","Pyxidanthera brevifolia","PRESERVED_SPECIMEN",NA,NA,35.02,-79.24,1974-03-10,1974,3,10
"3496971896","Pyxidanthera brevifolia","PRESERVED_SPECIMEN","3960",NA,35.27,-79.06,1960-03-27,1960,3,27
