species,lat,long,year
Asclepias_curtissii,26.082939,-81.400686,1943
Asclepias_curtissii,28.299334,-70.701041,1955
Asclepias_curtissii,35.300958,-82.43857,1923
Asclepias_curtissii,26.146138,-80.452893,\N
Asclepias_curtissii,26.577579,-81.921462,1972
Asclepias_curtissii,26.641412,-80.437015,1981
Asclepias_curtissii,27.07969,-80.396904,2000
Asclepias_curtissii,27.340557,-81.342583,2005
Asclepias_curtissii,27.378077,-80.444473,2003
Asclepias_curtissii,29.469979,0,\N
Asclepias_curtissii,27.481355,-82.359737,\N
Asclepias_curtissii,27.493625,-81.809276,\N
Asclepias_curtissii,27.69784,-80.578968,2010
Asclepias_curtissii,27.902616,-82.738949,2010
Asclepias_curtissii,27.906325,-82.346095,2010
Asclepias_curtissii,27.959784,-81.70007,2010
Asclepias_curtissii,28.058084,-81.146851,\N
Asclepias_curtissii,28.299334,-80.701041,1955
Asclepias_curtissii,28.300958,-82.43857,1923
Asclepias_curtissii,28.513955,-81.322127,1901
Asclepias_curtissii,28.553015,-82.468232,2014
Asclepias_curtissii,28.708658,-81.2271,2000
Asclepias_curtissii,28.765579,-81.717405,2000
Asclepias_curtissii,29.067589,-81.138499,\N
Asclepias_curtissii,29.211533,-82.059049,\N
Asclepias_curtissii,29.469979,-81.296926,\N
Asclepias_curtissii,29.605267,-81.740382,\N
Asclepias_curtissii,29.976759,-81.857936,\N
Asclepias_curtissii,26.577579,-81.921462,1972
Asclepias_curtissii,27.493625,-81.809276,\N
Asclepias_curtissii,27.906325,-82.346095,2010
Asclepias_curtissii,28.513955,-81.322127,1901
Asclepias_curtissii,29.067589,-81.138499,\N
Asclepias_curtissii,29.605267,-81.740382,\N
Asclepias_curtissii,0,-81.740382,\N
Asclepias_curtissii,18.513955,-81.322127,1901
Asclepias_curtissii,-28.553015,82.468232,2014
Asclepias_curtissii,28.708658,-51.2271,2000
Pityothamnus_obovatus,26.954363,-81.186194,2000
Pityothamnus_obovatus,27.340557,-81.342583,2000
Pityothamnus_obovatus,27.378077,-80.444473,2002
Pityothamnus_obovatus,27.481355,-82.359737,\N
Pityothamnus_obovatus,27.69784,-80.578968,1944
Pityothamnus_obovatus,27.906325,-82.346095,1998
Pityothamnus_obovatus,27.959784,-81.70007,1986
Pityothamnus_obovatus,28.058084,-81.146851,1974
Pityothamnus_obovatus,28.299334,-80.701041,1923
Pityothamnus_obovatus,28.300958,-82.43857,2007
Pityothamnus_obovatus,28.513955,-81.322127,\N
Pityothamnus_obovatus,28.553015,-82.468232,\N
Pityothamnus_obovatus,25.513955,-81.322127,\N
Pityothamnus_obovatus,25.553015,-82.468232,\N
