"ID","name","basis","coordinateUncertaintyInMeters","informationWithheld","lat","long","date","year","month","day"
"734e8345-af9a-44d3-9ae2-ba9bdfa1549c","Shortia galacifolia","PreservedSpecimen",210,NA,35.08,-82.9,1976-06-29,1976,6,29
"f63a40e5-2265-453d-81a5-2da43346478e","Shortia galacifolia","PreservedSpecimen",NA,NA,35.75,-82.06,2012-03-21,2012,3,21
"3039146090","Shortia galacifolia","HUMAN_OBSERVATION",28734,"Coordinate uncertainty increased to 28734m to protect threatened taxon",35.1,-82.82,2021-01-02,2021,1,2
"3044549847","Shortia galacifolia","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.77,-82.35,2021-01-22,2021,1,22
"3044793799","Shortia galacifolia","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.79,-82.34,2021-01-22,2021,1,22
"3112308394","Shortia galacifolia","HUMAN_OBSERVATION",28762,"Coordinate uncertainty increased to 28762m to protect threatened taxon",34.98,-82.84,2021-01-28,2021,1,28
"3044638811","Shortia galacifolia","HUMAN_OBSERVATION",28762,"Coordinate uncertainty increased to 28762m to protect threatened taxon",34.99,-83.1,2021-02-06,2021,2,6
"3061658491","Shortia galacifolia","HUMAN_OBSERVATION",28762,"Coordinate uncertainty increased to 28762m to protect threatened taxon",34.91,-82.82,2021-02-21,2021,2,21
"3061623000","Shortia galacifolia","HUMAN_OBSERVATION",28762,"Coordinate uncertainty increased to 28762m to protect threatened taxon",34.94,-82.97,2021-03-13,2021,3,13
"3061654756","Shortia galacifolia","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.76,-82.59,2021-03-14,2021,3,14
"3068011709","Shortia galacifolia","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.67,-82.29,2021-03-19,2021,3,19
"3070446477","Shortia galacifolia","HUMAN_OBSERVATION",28706,"Coordinate uncertainty increased to 28706m to protect threatened taxon",35.31,-82.47,2021-03-30,2021,3,30
