"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator","accepted_name"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3958501061","q-10537428864","HUMAN_OBSERVATION","2022-03-15T20:09:37",2022,3,15,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",34.99,-83.44,4,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3956497623","q-10309323067","HUMAN_OBSERVATION","2021-03-15T01:48:09",2021,3,15,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",34.95,-82.94,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3954638444","q-10311932591","HUMAN_OBSERVATION","2021-03-21T19:51:15",2021,3,21,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.53,-82.98,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3952414639","q-10313153759","HUMAN_OBSERVATION","2021-03-24T20:31:39",2021,3,24,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.22,-82.62,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3958396827","q-10313336455","HUMAN_OBSERVATION","2021-03-25T11:51:26",2021,3,25,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.16,-82.73,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3953890110","q-10499684451","HUMAN_OBSERVATION","2021-10-29T15:36:16",2021,10,29,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.61,-82.57,62,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2649806698","q-10136848607","HUMAN_OBSERVATION","2020-03-19T22:41:47",2020,3,19,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.66,-82.34,65,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2977126654","q-10164402994","HUMAN_OBSERVATION","2020-05-11T20:26:01",2020,5,11,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.49,-82.61,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2813823309","urn:catalog:MO:Tropicos:101203647","PRESERVED_SPECIMEN","2020-06-22T00:00:00",2020,6,22,"MO","Alanna Sanders","United States of America","Pickens","South Carolina","locality:  Protected due to name conservation status, occurrenceRemarks: NA, verbatimLocality: NA",35.01,-82.98,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3707733251","dcab888e-cf26-4c48-aad3-673e7c608baa","PRESERVED_SPECIMEN","2018-02-27T00:00:00",2018,2,27,"MMNS","Charles T. Bryson; N.B. Bryson, John & Laurie Gwaltney","United States of America","Henderson","North Carolina","locality:  ca. 8.7 air mi SW of Hendersonville, S of Crab Creek Road (Rd 1127), occurrenceRemarks: NA, verbatimLocality: NA",35.24,-82.57,NA,NA,"plants growing on mesic slope above small stream under mixed hardwood and conifer forest","GBIF","Shortia galacifolia"
