"name","lat","long"
"Galax urceolata",35.23,-82.73
"Galax urceolata",36.83,-84.33
"Galax urceolata",35.15,-79.37
"Galax urceolata",35.73,-81.9
"Galax urceolata",36.66,-83.58
"Galax urceolata",35.94,-82.01
"Galax urceolata",35.24,-81.27
"Galax urceolata",34.19,-84.58
"Galax urceolata",34.88,-83.02
"Galax urceolata",35.06,-83.19
"Galax urceolata",35.02,-82.73
"Galax urceolata",36.44,-76.69
"Galax urceolata",36.84,-84.34
"Galax urceolata",35.56,-84.01
"Galax urceolata",35.24,-77.88
"Galax urceolata",34.75,-83.79
"Galax urceolata",33.61,-81.81
"Galax urceolata",35.69,-82.38
"Galax urceolata",34.68,-83.32
"Galax urceolata",37.7,-83.36
"Galax urceolata",33.88,-85.3
"Galax urceolata",37.67,-80.33
"Galax urceolata",36,-83.95
"Galax urceolata",35.63,-83.95
"Galax urceolata",35.06,-87.77
"Galax urceolata",35.75,-82.22
"Galax urceolata",36.34,-80.47
"Galax urceolata",35.04,-83.19
"Galax urceolata",37.37,-80.52
"Galax urceolata",37.64,-78.78
"Galax urceolata",38.9,-77.06
"Galax urceolata",34.97,-82.85
"Galax urceolata",35.6,-82.29
"Galax urceolata",36.2,-81.58
"Galax urceolata",36.11,-83.75
"Galax urceolata",35.03,-83.44
"Galax urceolata",34.32,-84.63
"Galax urceolata",35.65,-83.58
"Galax urceolata",33.8,-80.54
"Galax urceolata",36,-81.11
"Galax urceolata",34.23,-84.17
"Galax urceolata",36.08,-82.57
"Galax urceolata",36.39,-80.26
"Galax urceolata",37.37,-76.82
"Galax urceolata",34.35,-78.15
"Galax urceolata",34.85,-83.8
"Galax urceolata",36.84,-84.33
"Galax urceolata",37.35,-80.53
"Galax urceolata",35.67,-83.47
"Galax urceolata",36.55,-84.05
"Galax urceolata",33.81,-81.2
"Galax urceolata",34.74,-83.46
"Galax urceolata",38.99,-79.2
"Galax urceolata",35.73,-81.91
"Galax urceolata",35.81,-76.89
"Galax urceolata",35.97,-83.9
"Galax urceolata",35.17,-83.58
"Galax urceolata",36.18,-82.08
"Galax urceolata",36.4,-81.04
"Galax urceolata",35.64,-83.5
"Galax urceolata",36.41,-80.21
"Galax urceolata",34.5,-85.63
"Galax urceolata",35.94,-82.9
"Galax urceolata",35.6,-81.64
"Galax urceolata",35.65,-83.44
"Galax urceolata",34.96,-83.3
"Galax urceolata",35.63,-83.82
"Galax urceolata",35.18,-83.56
"Galax urceolata",35.9,-82.03
"Galax urceolata",34.87,-84.69
"Galax urceolata",35.17,-83.62
"Galax urceolata",34.6,-85.39
"Galax urceolata",35.79,-81.91
"Galax urceolata",33.9,-83.38
"Galax urceolata",35.09,-83.26
"Galax urceolata",35.38,-76.99
"Galax urceolata",35.77,-81.55
"Galax urceolata",34.77,-83.91
"Galax urceolata",35.03,-83.28
"Galax urceolata",35.76,-83.2
"Galax urceolata",35.23,-76.98
"Galax urceolata",35.54,-83.3
"Galax urceolata",34.94,-82.89
"Galax urceolata",35.66,-83.59
"Galax urceolata",35.68,-83.76
"Galax urceolata",36.8,-80.1
"Galax urceolata",33.59,-85.69
"Galax urceolata",35.51,-83.34
"Galax urceolata",36.06,-79.12
"Galax urceolata",36.38,-81.23
"Galax urceolata",36.33,-84.23
"Galax urceolata",36.36,-81.34
"Galax urceolata",35.7,-83.41
"Galax urceolata",36.16,-81.51
"Galax urceolata",34.58,-84.08
"Galax urceolata",35.09,-82.92
"Galax urceolata",35.49,-82.61
"Galax urceolata",34.76,-84.71
"Galax urceolata",36.91,-82.63
"Galax urceolata",35.48,-82.34
"Galax urceolata",36.7,-80.7
"Galax urceolata",34.69,-83.77
"Galax urceolata",34.82,-83.3
"Galax urceolata",35.68,-83.48
"Galax urceolata",34.64,-84.18
"Galax urceolata",37.24,-80.09
"Galax urceolata",34.59,-84.21
"Galax urceolata",34.67,-84.18
"Galax urceolata",34.74,-83.93
"Galax urceolata",36.13,-81.63
"Galax urceolata",35.7,-83.12
"Galax urceolata",35.08,-82.6
"Galax urceolata",33.74,-84.69
"Galax urceolata",34.37,-85.63
"Galax urceolata",35.07,-82.61
"Galax urceolata",35.63,-82.24
"Galax urceolata",35.03,-82.7
"Galax urceolata",35.31,-82.83
"Galax urceolata",35.16,-82.75
"Galax urceolata",36.49,-81.16
"Galax urceolata",35.06,-84.46
"Galax urceolata",35.48,-82.61
"Galax urceolata",34.8,-83.13
"Galax urceolata",35.62,-83.78
"Galax urceolata",36.41,-81.47
"Galax urceolata",36.33,-84.22
"Galax urceolata",35.65,-83.91
"Galax urceolata",35.28,-82.79
"Galax urceolata",35.97,-81.51
"Galax urceolata",36.12,-81.81
"Galax urceolata",35.67,-83.72
"Galax urceolata",35.32,-82.85
"Galax urceolata",37.08,-79.94
"Galax urceolata",36.79,-82.71
"Galax urceolata",34.56,-84.25
"Galax urceolata",33.5,-85.87
"Galax urceolata",34.67,-84.17
"Galax urceolata",35.46,-82.32
"Galax urceolata",34.55,-84.25
"Galax urceolata",34.75,-83.48
"Galax urceolata",34.7,-83.79
"Galax urceolata",36.42,-80.27
"Galax urceolata",36.03,-81.68
"Galax urceolata",35.46,-82.72
"Galax urceolata",34.64,-84.19
"Galax urceolata",35.88,-81.89
"Galax urceolata",34.93,-84.53
"Galax urceolata",36.07,-82.68
"Galax urceolata",35.46,-82.58
"Galax urceolata",35.2,-82.62
"Galax urceolata",35.81,-82.21
"Galax urceolata",34.84,-84.47
"Galax urceolata",36.86,-84.3
"Galax urceolata",34.96,-82.85
"Galax urceolata",35.2,-82.5
"Galax urceolata",36.28,-82.35
"Galax urceolata",37.41,-76.72
"Galax urceolata",35.55,-82.48
"Galax urceolata",36.27,-82.36
"Galax urceolata",35.58,-83.37
"Galax urceolata",36.71,-81.62
"Galax urceolata",35.61,-82.44
"Galax urceolata",35.66,-82.86
"Galax urceolata",37.64,-80.02
"Galax urceolata",35.74,-83.13
"Galax urceolata",35.58,-83.38
"Galax urceolata",35.6,-83.86
"Galax urceolata",36.34,-80.48
"Galax urceolata",36.41,-80.27
"Galax urceolata",35.71,-83.38
"Galax urceolata",35.73,-83.11
"Galax urceolata",34.75,-84.02
"Galax urceolata",36.79,-80.07
"Galax urceolata",33.72,-85.6
"Galax urceolata",37.32,-80
"Galax urceolata",35.63,-83.51
"Galax urceolata",33.59,-85.1
"Galax urceolata",34.3,-85.43
"Galax urceolata",35.34,-82.73
"Galax urceolata",35.14,-82.74
"Galax urceolata",36.64,-81.67
"Galax urceolata",34.02,-84.36
"Galax urceolata",34.97,-84.57
"Galax urceolata",34.9,-83.3
"Galax urceolata",34.84,-84.43
"Galax urceolata",34.92,-83.42
"Galax urceolata",35.66,-83.71
"Galax urceolata",35.89,-82.82
"Galax urceolata",35.68,-83.46
"Galax urceolata",35.46,-82.64
"Galax urceolata",34.69,-83.41
"Galax urceolata",35.91,-81.89
"Galax urceolata",36.4,-80.26
"Galax urceolata",36.61,-83.68
"Galax urceolata",36.87,-83.37
"Galax urceolata",37.39,-80.05
"Galax urceolata",35.09,-82.95
"Galax urceolata",35.47,-83.43
"Galax urceolata",37.18,-82.58
"Galax urceolata",35.69,-83.4
"Galax urceolata",35.59,-83.86
"Galax urceolata",35.79,-83.21
"Galax urceolata",36.57,-80.74
"Galax urceolata",37.42,-79.79
"Galax urceolata",35.63,-83.73
"Galax urceolata",35.24,-81.28
"Galax urceolata",35.12,-82.45
"Galax urceolata",36.39,-80.27
"Galax urceolata",36.25,-81.31
"Galax urceolata",35.68,-83.59
"Galax urceolata",34.88,-83.35
"Galax urceolata",35.25,-82.31
"Galax urceolata",35.14,-83.09
"Galax urceolata",35.29,-82.78
"Galax urceolata",35.36,-82.9
"Galax urceolata",35.48,-83.32
"Galax urceolata",36.7,-81.36
"Galax urceolata",36.12,-81.78
"Galax urceolata",35.6,-83.39
"Galax urceolata",36.03,-81.79
"Galax urceolata",34.78,-84.39
"Galax urceolata",36.5,-82.62
"Galax urceolata",34.84,-84.59
"Galax urceolata",35.87,-81.88
"Galax urceolata",35.24,-82.51
"Galax urceolata",35.2,-82.25
"Galax urceolata",35.8,-83.41
"Galax urceolata",35.61,-83.83
"Galax urceolata",35.47,-83.57
"Galax urceolata",37.79,-79.7
"Galax urceolata",35.49,-83.17
"Galax urceolata",34.14,-78.01
"Galax urceolata",35.83,-83.18
"Galax urceolata",35.18,-84.44
"Galax urceolata",35.05,-83.18
"Galax urceolata",34.7,-85.49
"Galax urceolata",34.7,-84.3
"Galax urceolata",35.47,-82.34
"Galax urceolata",35.17,-83.15
"Galax urceolata",35.6,-82.53
"Galax urceolata",36.85,-84.34
