"species","longitude","latitude"
"Galax urceolata",-84.33,36.83
"Galax urceolata",-83.58,36.66
"Galax urceolata",-84.58,34.19
"Galax urceolata",-83.02,34.88
"Galax urceolata",-83.79,34.75
"Galax urceolata",-81.81,33.61
"Galax urceolata",-83.32,34.68
"Galax urceolata",-83.36,37.7
"Galax urceolata",-80.33,37.67
"Galax urceolata",-83.95,35.63
"Galax urceolata",-83.44,35.03
"Galax urceolata",-84.63,34.32
"Galax urceolata",-84.17,34.23
"Galax urceolata",-83.58,35.65
"Galax urceolata",-85.82,33.67
"Galax urceolata",-84.05,36.55
"Galax urceolata",-83.58,35.17
"Galax urceolata",-82.08,36.18
"Galax urceolata",-83.5,35.64
"Galax urceolata",-82.9,35.94
"Galax urceolata",-83.82,35.63
"Galax urceolata",-82.1,36.46
"Galax urceolata",-82.97,35.72
"Galax urceolata",-80.35,37.32
"Galax urceolata",-80.28,36.41
"Galax urceolata",-83.52,35.06
"Galax urceolata",-80.45,36.61
"Galax urceolata",-83.97,35.42
"Galax urceolata",-82.73,35.23
"Galax urceolata",-80.75,36.56
"Galax urceolata",-82.01,35.94
"Galax urceolata",-76.7,37.17
"Galax urceolata",-82.9,34.92
"Galax urceolata",-76.71,37.24
"Galax urceolata",-82.73,35.02
"Galax urceolata",-82.83,34.64
"Galax urceolata",-76.59,37.16
"Galax urceolata",-81.1,37.17
"Galax urceolata",-78.96,37.12
"Galax urceolata",-82.38,35.69
"Galax urceolata",-81.87,35.88
"Galax urceolata",-85.3,33.88
"Galax urceolata",-81.81,36.12
"Galax urceolata",-83.95,36
"Galax urceolata",-87.77,35.06
"Galax urceolata",-82.85,34.97
"Galax urceolata",-82.29,35.6
"Galax urceolata",-83.75,36.11
"Galax urceolata",-76.48,37.06
"Galax urceolata",-81.11,36
"Galax urceolata",-82.57,36.08
"Galax urceolata",-78.76,37.64
"Galax urceolata",-80.08,36.78
"Galax urceolata",-80.42,36.72
"Galax urceolata",-81.2,33.81
"Galax urceolata",-83.46,34.74
"Galax urceolata",-76.73,37.27
"Galax urceolata",-78.83,37.65
"Galax urceolata",-83.9,35.97
"Galax urceolata",-76.6,37.38
"Galax urceolata",-76.9,37.35
"Galax urceolata",-76.9,37.43
"Galax urceolata",-80.21,36.41
"Galax urceolata",-76.49,37.72
"Galax urceolata",-76.8,37.48
"Galax urceolata",-79.09,37.39
"Galax urceolata",-83.56,35.18
"Galax urceolata",-81.76,36.19
"Galax urceolata",-84.05,35.34
"Galax urceolata",-82.71,35.05
"Galax urceolata",-84.61,34.96
"Galax urceolata",-81.62,36.31
"Galax urceolata",-84.3,33.79
"Galax urceolata",-82.97,35.05
"Galax urceolata",-83.09,35.55
"Galax urceolata",-82.89,34.93
"Galax urceolata",-82.84,34.91
"Galax urceolata",-82.2,35.95
"Galax urceolata",-83.55,35.45
"Galax urceolata",-81.88,35.77
"Galax urceolata",-83.79,35.6
"Galax urceolata",-83.77,34.7
"Galax urceolata",-83.13,34.81
"Galax urceolata",-84.53,34.78
"Galax urceolata",-81.64,35.61
"Galax urceolata",-84.69,33.75
"Galax urceolata",-81.91,35.84
"Galax urceolata",-83.89,35.68
"Galax urceolata",-81,36.93
"Galax urceolata",-79.46,37.57
"Galax urceolata",-83,35.03
"Galax urceolata",-76.92,37.35
"Galax urceolata",-83.8,35.64
"Galax urceolata",-82.33,35.27
"Galax urceolata",-81.83,36.22
"Galax urceolata",-81.05,36.39
"Galax urceolata",-83.4,34.88
"Galax urceolata",-83.29,35.75
"Galax urceolata",-84.34,33.8
"Galax urceolata",-83.37,35.75
"Galax urceolata",-82.59,35.12
"Galax urceolata",-81.47,36.3
"Galax urceolata",-83.81,34.81
"Galax urceolata",-84.1,34.57
"Galax urceolata",-82.56,35.61
"Galax urceolata",-81.93,36.1
"Galax urceolata",-82.99,35.12
"Galax urceolata",-78.37,38.6
"Galax urceolata",-79.92,37.19
"Galax urceolata",-84.32,36.84
"Galax urceolata",-81.9,35.84
"Galax urceolata",-81.72,35.56
"Galax urceolata",-82.98,35.11
"Galax urceolata",-81.9,35.89
"Galax urceolata",-82.82,37.08
"Galax urceolata",-82.98,35.09
"Galax urceolata",-83.55,35.64
"Galax urceolata",-83.44,35.57
"Galax urceolata",-78.85,38.03
"Galax urceolata",-83.73,34.72
"Galax urceolata",-81.65,36.21
"Galax urceolata",-83.7,35.65
"Galax urceolata",-84.64,34.35
"Galax urceolata",-82.02,36.23
"Galax urceolata",-83.53,35.68
"Galax urceolata",-83.52,35.1
"Galax urceolata",-82.71,35.26
"Galax urceolata",-81.64,36.18
"Galax urceolata",-82.35,36.31
"Galax urceolata",-82.25,35.78
"Galax urceolata",-82.99,35.22
"Galax urceolata",-84.91,34.03
"Galax urceolata",-84.61,34.85
"Galax urceolata",-81.84,36.01
"Galax urceolata",-82.21,35.74
"Galax urceolata",-80.54,37.35
"Galax urceolata",-82.99,35.62
"Galax urceolata",-83.46,35.59
"Galax urceolata",-83.17,34.29
"Galax urceolata",-83.03,35.73
"Galax urceolata",-83.23,35.74
"Galax urceolata",-83.85,35.68
"Galax urceolata",-83.33,34.98
"Galax urceolata",-83.1,34.92
"Galax urceolata",-82.63,35.12
"Galax urceolata",-82.19,35.69
"Galax urceolata",-82.5,35.62
"Galax urceolata",-85.62,34.48
"Galax urceolata",-80.34,37.63
"Galax urceolata",-80.12,37.35
"Galax urceolata",-84.09,35.4
"Galax urceolata",-82.18,35.65
"Galax urceolata",-84.35,34.77
"Galax urceolata",-83.66,35.66
"Galax urceolata",-85.89,32.71
"Galax urceolata",-84.53,34.75
"Galax urceolata",-80.02,37.46
"Galax urceolata",-85.6,34.49
"Galax urceolata",-82.81,35.93
"Galax urceolata",-79.97,37.22
"Galax urceolata",-81.65,36.22
"Galax urceolata",-83.98,34.67
"Galax urceolata",-83.94,35.61
"Galax urceolata",-83.91,34.77
"Galax urceolata",-84.69,34.87
"Galax urceolata",-76.99,35.38
"Galax urceolata",-83.62,35.17
