"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"bio1",1,-0.604058247799983,0.790076290571933,-0.991539771374108,-0.0290200854467548,0.986552426117813,-0.964722463172785,0.83727512736073,0.772272850594086,0.892068927184845,0.997993317205637,-0.436343593496,0.570312022645396,-0.797911871869225,0.891563327109546,0.567162967644952,-0.857854549017449,0.410163279720254,-0.943244897426021
"bio2",-0.604058247799983,1,-0.0178593279398345,0.576090226269287,0.700908619786745,-0.716325724608167,0.777034947932638,-0.489252344826507,-0.311188892651786,-0.67267871627599,-0.601185667056724,-0.00612315417769948,-0.285336582390817,0.224554979042115,-0.326686789064124,-0.18514097590764,0.268191753236674,-0.0760340038277804,0.471704453107256
"bio3",0.790076290571933,-0.0178593279398345,1,-0.817513002485908,0.407003416808944,0.702675925671463,-0.638965138765378,0.623607221017698,0.743683834001254,0.567195751106183,0.799148755824499,-0.453669669147128,0.54902265342263,-0.780282944893088,0.840409174152271,0.579807880434504,-0.82864440734749,0.46484376662438,-0.795540712061215
"bio4",-0.991539771374108,0.576090226269287,-0.817513002485908,1,0.0373987107368297,-0.980192875323105,0.959468257370273,-0.779139290057146,-0.767790075271281,-0.833052783999179,-0.997222867118348,0.428073095867652,-0.561963391993942,0.795413759409335,-0.877912221457274,-0.54571796781276,0.861190792027162,-0.389286491570514,0.943043667473724
"bio5",-0.0290200854467548,0.700908619786745,0.407003416808944,0.0373987107368297,1,-0.171075583785795,0.27933816700029,0.113521723599256,0.0446002937640224,-0.0501319762305394,-0.043005760670302,-0.320976147957822,-0.00724194223401795,-0.276386737817752,0.200370849825594,0.139856116282312,-0.260997865871126,0.124656014918113,-0.0971768989080561
"bio6",0.986552426117813,-0.716325724608167,0.702675925671463,-0.980192875323105,-0.171075583785795,1,-0.993825476403948,0.804357240019737,0.735683849701945,0.890424739733341,0.987573112903809,-0.357011845770452,0.559936555447565,-0.728265683743586,0.83027672547829,0.526313457978361,-0.791274628864077,0.368205842575813,-0.906552955405085
"bio7",-0.964722463172785,0.777034947932638,-0.638965138765378,0.959468257370273,0.27933816700029,-0.993825476403948,1,-0.771110038506258,-0.711945281573136,-0.873417791482999,-0.967292177172723,0.3117827503874,-0.546507228589836,0.678613257003917,-0.786589633362736,-0.497174093581798,0.741752258700811,-0.344800517465923,0.872546547095801
"bio8",0.83727512736073,-0.489252344826507,0.623607221017698,-0.779139290057146,0.113521723599256,0.804357240019737,-0.771110038506258,1,0.659803585593385,0.911615621924045,0.812296044749216,-0.375531614506788,0.509396898584081,-0.674334070138293,0.782654665627702,0.562410220319348,-0.703190288260385,0.461752294876916,-0.762116908399957
"bio9",0.772272850594086,-0.311188892651786,0.743683834001254,-0.767790075271281,0.0446002937640224,0.735683849701945,-0.711945281573136,0.659803585593385,1,0.673383405018996,0.769817414774221,-0.364928867003715,0.513980297624528,-0.668001778037812,0.733228134147262,0.478062272369127,-0.701543652936108,0.406919988803679,-0.698587977988517
"bio10",0.892068927184845,-0.67267871627599,0.567195751106183,-0.833052783999179,-0.0501319762305394,0.890424739733341,-0.873417791482999,0.911615621924045,0.673383405018996,1,0.869917193575672,-0.303798200200309,0.575569382691789,-0.651359805050599,0.783129994291814,0.567812019954241,-0.688877938379689,0.415770247312335,-0.7894411630597
