"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"0055fbfa-2378-4add-8641-b0de7f462c3a","4c172d75-993e-4378-94b7-de7116ada31d","duke10095552","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"006c7d6c-86c0-4096-b260-90c517c05300","6cd3f28c-60dc-4996-89bd-39c968828d44","vpi-v-0059501","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"00845880-3d08-49de-b063-2b1666b356a3","772a6b4d-177b-4a30-8eef-6352179b7cc3","vpi-v-0059484","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"011c1cd9-f6a7-4276-af60-2ade6add0982","be3103ed-4275-47bd-a19d-44b7ce716682","vpi-v-0060061","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"01778493-dc30-4a2b-b7c9-9a6fda4cd986","c3e8b0b7-0991-4b5a-a87e-a58388b1a767","ncu00080578","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1975-05-01","boufford, david e.; wood, emily w.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"018211d3-6c31-415b-8954-bf2e06962934","9987fad7-a610-11e3-a341-00ff10703b0e","sjnm-v-0064866","diapensiaceae","galax","galax urceolata","united states","kentucky",-84.3333333,36.8333333,"1997-05-13T00:00:00+00:00","heil, kenneth d.","8ec76c75-a673-4682-bfde-00a18bc12794"
"01b93580-d71d-43ec-b07b-a9602e90d7d8","b32c8990-ec49-461d-ac5c-282afe98c984","ucht045403","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"120d557c-c5be-474d-98f0-1ba00ae16b40"
"0274c566-27b4-4703-846a-8be8d04cf72e","0cb67ea4-b661-4e46-b3d1-4c27f909f8f7","mem004201","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"1967-10-25T00:00:00+00:00","raymond athey","1d17fdad-d338-4ae0-9232-dbf18eaf9f66"
"0290bf8f-1c3c-48a6-97ac-939479cbcfcc","212f49fc-c1eb-4cfc-ad49-2028f1a94afc","ga059171","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1938-06-04T00:00:00+00:00","pyron, j; mcvaugh, r","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"02dbd499-5bea-4332-949b-6e66f301081a","48470a5c-625d-4a71-94d4-da0fad23e00b","ga202444","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"beab5209-9628-4d4d-851e-2bc9bb1a0105"
"02e541f0-6844-4ca8-bc44-68efd9336cfd","de52b435-662e-4c73-b687-762708bfc798","263090","diapensiaceae","galax","galax urceolata","united states","north carolina",-79.3685,35.1536,NA,"stein servick","781fd581-7b93-471e-a025-413e4bcd8491"
"02fecfb1-ae21-4659-9f35-ec1b3643cd6f","urn:uuid:794dd3c9-d2db-4814-9cee-8caf19326531","000105464","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"ddef79ec-043c-4027-9876-c4a298feff6d"
"0419c82c-29a2-4e5f-8d1e-20abe1cc38cf","6d9d999f-4aa6-4117-9746-8c942c4eb122",NA,"diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"1999-10-09","loy r. phillippe","f0174bc9-0cca-450e-a941-655d80040139"
"042e26be-a582-43a6-b685-10f584fda5d6","e7658987-847d-468c-bcf4-05fa77caac0f","cm255463","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1974-10-31","boufford, d.e.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"046f4ddf-c380-464a-afdf-a48f178e714b","722950a2-c91d-4a89-b9ac-f51a0130dea0","ksp032244","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1959-11-05","t.m. sperry","664bd710-8791-4dba-a3b6-000a1b140951"
"04d49f3c-f50f-4426-a966-0650b68819aa","9f72ee10-81f3-49ad-bd02-3b15ac7f1f37","duke10095586","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1913-01-14","dellinger, s. c.","6258d160-a7aa-4937-bce3-3538eebd374f"
"04da8136-13cd-4054-9046-0da690c918ee","939284f0-0f68-4991-8fec-396dac35842c","duke10095623","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"04fc4108-b1db-4033-b1ca-f5139d2d813b","63614aec-fff6-4307-afd3-c2ba2fe95f49","clems0042894","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1977-03-14","a. d. cochran","264c48ec-8636-451f-a7e0-74131bc6f84c"
"0511828f-c731-420f-bc36-14d4c2252459","78f00246-85e1-4b02-8819-2ad6f5cfda67","duke10095600","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
