"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"0002fd5d-4b90-4c8b-b24c-a1c7a687f3d8","urn:catalog:uconn:conn:conn00049553","conn00049553","diapensiaceae","pyxidanthera","pyxidanthera barbulata michx.","united states","north carolina",-77.945,43.22555,"1874-03-05T00:00:00+00:00",NA,"e70af26a-fb9e-43ab-96a0-d62a2df37e6d"
"00096f35-7f4a-471a-a8e5-765533c30629","9d819ab4-4743-43cd-ae71-90ae50a6198f","chsc020659","diapensiaceae","galax","galax aphylla","united states","north carolina",NA,NA,"1960-04-18T00:00:00+00:00","r. a. schlising","71bf994a-3af5-484d-983b-b146aa1512d1"
"0018e86e-61ab-4e3d-a8af-971eacf86769","urn:catalog:o:v:4905","4905","diapensiaceae","diapensia","diapensia lapponica","norway","innlandet",10.68,62.1707,"1846-07-17","h. c. printz","e6ccc2bd-9451-4802-8a51-8640d9f09793"
"0019cfb1-ea90-49c8-8412-4e90827c89e7","571a098d-18bb-4042-9004-f02174498522","4227686","diapensiaceae","pyxidanthera","pyxidanthera brevifolia wells",NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"001dd621-b0cc-4e99-b846-06172ff43b5f","d0f106cb-6621-4735-a945-6ff90fb2dc3d","cm409936","diapensiaceae","diapensia","diapensia lapponica","canada","ungava and labrador",NA,NA,"1939-08-13T00:00:00+00:00","dutilly, a.; duman, m.; o'neill, h.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"0023d1db-074b-41cc-b74a-36d39bf7ff33","0a79c2f4-6651-4596-8da9-0beb20b0cd7c","etsu015776","diapensiaceae","galax","galax aphylla","united states","tennessee",NA,NA,NA,NA,"21b563bc-70c2-46d5-bce8-2489db2db3d8"
"0038c274-884f-415c-973f-13bf5e968005","7f0d7cc4-233a-48b9-9cb4-897d1e6d271e","tenn-v-0170840","diapensiaceae","diapensia","diapensia lapponica","united states","alaska",NA,NA,NA,NA,"d53132e6-7997-4850-8607-4fec5a3f9c3f"
"0049a5a2-f568-4609-ad72-cff65f556d68","urn:catalog:trom:v:34749","34749","diapensiaceae","diapensia","diapensia lapponica","norway","nordland",14.0302,66.0095,"1986-07-10","reidar elven","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
"004b8ee5-1f7f-4518-b71d-734bbfb1efaa","90d8c316-6ff5-45b7-9f91-2d5d20859b20","4086874","diapensiaceae","diapensia","diapensia lapponica l.","united states","alaska",NA,NA,"1975-06-13T00:00:00+00:00","j. taylor","36d35b23-113e-4633-90ec-19d265a3b5f6"
"004e3cd2-7e56-45ba-bee6-32c56ac70f53","urn:catalog:trom:v:34731","34731","diapensiaceae","diapensia","diapensia lapponica","norway","nordland",14.7835,66.8484,"1953-07-07","olaf i. rønning, ola skifte","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
"0055fbfa-2378-4add-8641-b0de7f462c3a","4c172d75-993e-4378-94b7-de7116ada31d","duke10095552","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"00605d4f-8cd7-40b8-a92e-21479a187423","c6980026-9070-41a1-a616-311c31c5ac94","uwfp007669","diapensiaceae","galax","galax aphylla","united states","georgia",NA,NA,NA,NA,"e7016bd5-cb10-45b9-8959-0f5750f7a5db"
"0062ec8d-1289-41e3-8318-0010fa5f3342","urn:catalog:o:v:612201","612201","diapensiaceae","diapensia","diapensia lapponica","norway","troms og finnmark",19.1975,69.9382,"1896-05-07","h. resvoll-holmsen","e6ccc2bd-9451-4802-8a51-8640d9f09793"
"00686841-09ab-46bc-82a8-5184c2200d96","s:vascularplants:s09-38678","s09-38678","diapensiaceae","schizocodon","shortia soldanelloides (siebold & zucc.) makino","japan","nagano",NA,NA,"1993-09-06","arne anderberg & roger lundin","fc014977-92f7-47fd-92d7-b609c39d8212"
"006c7d6c-86c0-4096-b260-90c517c05300","6cd3f28c-60dc-4996-89bd-39c968828d44","vpi-v-0059501","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"00703fae-e58c-4cae-b544-2068950dc284","urn:catalog:trom:v:97472","97472","diapensiaceae","diapensia","diapensia lapponica","norway","troms og finnmark",NA,NA,"1948-06-30","kristian lanes","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
"007fb007-6bec-4226-8492-a06ac02f0ab3","553c9bc8-c081-41d4-a481-ca1dafb027e1","no0092167","diapensiaceae","shortia","shortia galacifolia","united states","north carolina",NA,NA,"1930-04-20T00:00:00+00:00","unkown","4523e216-ee13-4b15-a3f7-a6fd56431604"
"00802e7e-e197-481e-9564-146cc1849333","http://n2t.net/ark:/65665/320fbe38d-c42a-4691-b228-b4020df40d48","us 2349497","diapensiaceae","diapensia","diapensia lapponica","united states","alaska",NA,NA,"1957-06-20","l. spetzman","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"00837767-f0ac-4ad3-a9a5-19f852a64b39","b6a093f6-7ffd-488b-8582-a8665d483b5e","ncsc00082971","diapensiaceae","shortia","shortia galacifolia","united states","south carolina",NA,NA,NA,NA,"aca26f37-3ec8-4e9e-b927-50b4944a0096"
"00845880-3d08-49de-b063-2b1666b356a3","772a6b4d-177b-4a30-8eef-6352179b7cc3","vpi-v-0059484","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"0087e7ed-bac4-43c6-b6d1-16f598719ab1","1639b444-84da-4e03-96af-0c280fe86d89","uvmvt089250","diapensiaceae","diapensia","diapensia lapponica","united states","maine",-68.8864,45.9015,"1900-07-09T00:00:00+00:00",NA,"3027c437-cdb3-4072-9410-5a46ec3b1fd5"
"008d87e4-2e72-4196-86f8-bd2f3d5c2951","37385c4b-5153-44e0-82dc-3cb4e775ae96",NA,"diapensiaceae","diapensia","diapensia lapponica var. obovata","united states","alaska",-159.552361,66.123639,"2005-07-13T00:00:00+00:00","ayzik solomeshch; stephan talbot","b9ab58cf-785e-44a7-a873-1966e14a6715"
"009333d2-d3e8-4d86-ae06-24fd516655d0","http://n2t.net/ark:/65665/380523313-b8e4-4b1a-8716-1d159fdf9eeb","us 2131780","diapensiaceae","diapensia","diapensia lapponica","canada","quebec",-67.17,55.05,"1953-08-12","f. harper","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"00a22366-fe91-42b4-a5d7-4d363d8e54cd","9ef64dbf-3521-4e20-957d-6d0a578f360f","cm149898","diapensiaceae","diapensia","diapensia lapponica","canada","nunavut",NA,NA,"1935-08-16T00:00:00+00:00","doutt, m.t.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"00a53438-4379-4cd7-8eaf-fe6498ff678b","3ee80151-3e29-45ff-8cbd-d0edd8e36509","brit797796","diapensiaceae","galax","galax",NA,NA,NA,NA,NA,NA,"70abba3e-5f2a-4276-87f3-261706e24453"
