"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"006b407f-aafc-49e5-82c9-31ff8aff3fe3","b70c7beb-8a13-4779-8a5d-9e952edc75e9","brit287702","asteraceae","liatris","liatris cylindracea","united states",NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"00cb52c6-3606-47ec-94cd-72222ac77f2c","46d67299-9122-4bb8-80af-1ac000ff76d4","v0033039wis","asteraceae","liatris","liatris cylindracea","united states","wisconsin",NA,NA,"1958-07-20T00:00:00+00:00","hartley, thomas","9e5aede6-bee5-4a3d-a255-513771b20035"
"01f04596-0721-4556-8831-86a39cbb2c58","373bea21-5138-4730-8915-2347f84e5256","ind-0137239","asteraceae","liatris","liatris cylindracea","united states","indiana",NA,NA,"1915-08-22T00:00:00+00:00","chas. c. deam","0dab1fc7-ca99-456b-9985-76edbac003e0"
"021b6c1d-9b22-45e4-9cea-a26821e65910","urn:uuid:788e76f1-4e00-4ead-b81a-b30179edff26","211373","asteraceae","liatris","liatris cylindracea","united states","minnesota",-92.83619,45.42608,NA,"taylor, b.","e2def7e2-1455-4856-9823-6d3738417d24"
"0237adc6-dd85-4f87-9e5c-422996272a9f","a48f306d-d338-471d-a2ee-82100933d41b","b99374","asteraceae","liatris","liatris cylindracea","united states","wisconsin",NA,NA,"1937-09-08T00:00:00+00:00","r. pohl","c2767dde-1315-4d78-abf9-8e098dd588ab"
"039f4bde-2ab1-4561-a9af-1c850a42aab9","urn:uuid:8c635507-6f3d-4936-b642-221666aafb26","211375","asteraceae","liatris","liatris cylindracea","united states","minnesota",-91.318526,43.62916,"1919-08-01T00:00:00+00:00","rosendahl, c.","e2def7e2-1455-4856-9823-6d3738417d24"
"03efd0cf-f421-41ea-80a5-89cf79c93f2e","b451ce5c-c418-4b5f-a8b6-8dc3a9b5afb7","v0033071wis","asteraceae","liatris","liatris cylindracea","united states","wisconsin",NA,NA,"1969-09-24T00:00:00+00:00","musselman, lytton","9e5aede6-bee5-4a3d-a255-513771b20035"
"045531b5-2163-42d6-9b90-5939bc0c3636","ce3e894b-5289-44f8-88f4-fee7e84b4952","v0033017wis","asteraceae","liatris","liatris cylindracea","united states","wisconsin",NA,NA,"1859-11-30T00:00:00+00:00","watson, s.","9e5aede6-bee5-4a3d-a255-513771b20035"
"04c143c5-26b9-41d6-849d-c5d7f44bfefd","http://n2t.net/ark:/65665/3ad88bc80-b702-4626-ba8d-0e8622dec1bb","562729","asteraceae","liatris","liatris cylindracea","united states","michigan",NA,NA,"1909-08-12","g. l. fisher","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"058d355e-fc74-4018-ba1e-eaacd3572120","http://n2t.net/ark:/65665/31ca30479-4571-41cd-97b0-d4ffc994d3ca","2655738","asteraceae","liatris","liatris cylindracea","united states","illinois",NA,NA,NA,"m. bebb","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"05c61168-f904-4ab6-bcd4-2c96ff993cbd","9e0bd3a0-dc4f-4cd5-bc8f-2cd66c3659a8","brit288108","asteraceae","liatris","liatris cylindracea","united states",NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"063686ac-9eb9-4499-8c37-6cc2360cf07f","4f5ac348-4aed-4888-bcc0-7de778259937","v0033067wis","asteraceae","liatris","liatris cylindracea","united states","wisconsin",NA,NA,"1889-08-18T00:00:00+00:00","skavlem, h.","9e5aede6-bee5-4a3d-a255-513771b20035"
"064488e9-69af-40e8-8617-85b8a56633c8","275ad2a9-d407-4c4e-8db0-df4854d160bc","314028","asteraceae","liatris","liatris cylindracea","united states","michigan",NA,NA,"1979-08-28T00:00:00+00:00","crispin, susan","05c029de-734c-450a-a41a-56061b7ebb18"
"078a0ac4-58bd-4d7f-bfe2-7810b7160664","07b697d7-f5d2-4105-859f-d4cd042a28ec","ind-0137250","asteraceae","liatris","liatris cylindracea","united states","illinois",NA,NA,NA,"p.a. young","0dab1fc7-ca99-456b-9985-76edbac003e0"
"07cf97d9-6404-4b08-8bc3-d1a9fad50181","e331d314-5df4-4593-ab51-4b06f796055e","01319060","asteraceae","liatris","liatris cylindracea","united states","indiana",NA,NA,NA,"bohumil shimek","a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a"
"07ef87de-d776-443a-b03a-bcc812a95bb2","347d880f-d620-43ae-a794-853c658c25ee","hunt-000830","asteraceae","liatris","liatris cylindracea","united states","michigan",NA,NA,"1937-07-31T00:00:00+00:00","fred a. loew","67893f3c-c409-41c6-a8f2-47956739a911"
"07f066c0-512e-470f-a114-de57f89ca881","http://n2t.net/ark:/65665/32406d7b2-1255-420b-9060-b40095313f15","2668842","asteraceae","liatris","liatris cylindracea","united states","ohio",NA,NA,"1954-08-11","e. l. braun","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"08861427-9c85-4a7c-a4ff-951a91477efb","4e0716da-446a-4d5f-b6d4-c54b9590c29c","v0033029wis","asteraceae","liatris","liatris cylindracea","united states","wisconsin",NA,NA,"1958-08-22T00:00:00+00:00","fell, e.","9e5aede6-bee5-4a3d-a255-513771b20035"
"08ab5dbd-4403-4ac5-a444-b1af46303a01","1648d6cd-9849-4489-a094-240b44279cfa","v0033063wis","asteraceae","liatris","liatris cylindracea","united states","wisconsin",NA,NA,"1993-07-27T00:00:00+00:00","judziewicz, emmet","9e5aede6-bee5-4a3d-a255-513771b20035"
"090ff0ad-1ba7-483d-898f-a19e5299e4f9","129222c0-6b80-405d-a22f-19572c710284","v0033055wis","asteraceae","liatris","liatris cylindracea","united states","wisconsin",NA,NA,"1962-07-28T00:00:00+00:00","sorensen, paul","9e5aede6-bee5-4a3d-a255-513771b20035"
