"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"000007be-567f-46f8-b94b-ca3778115e93","urn:uuid:504ebe03-4869-41e8-800c-26f572f4e326","207571","asteraceae","erigeron","erigeron membranaceus","united states","oregon",NA,NA,NA,"cusick, w.c.","e2def7e2-1455-4856-9823-6d3738417d24"
"00000d81-ca43-432e-a1f2-00b85a551043","97849298-734e-4735-84a9-3b16476324c6","366469","asteraceae","calea","calea ternifolia kunth var. ternifolia","mexico","chiapas",-92.1622,16.2603,"1978-07-29T00:00:00+00:00","l. e. urbatsch","36d35b23-113e-4633-90ec-19d265a3b5f6"
"00001616-1d81-497c-ae44-d8cefa7c1f25","urn:catalog:mo:tropicos:3393969","3393969","asteraceae","calea","calea anomala hassl.","brazil","mato grosso",-53.2833333,-17.8333333,"1975-02-09","gert g. hatschbach","5386d272-06c6-4027-b5d5-d588c2afe5e5"
"000018de-e028-463e-8714-3c56fd1caf8d","e3f7c01c-c67c-4f55-ae2e-3430cfc57057","mem006055","asteraceae","krigia","krigia virginica","united states","kentucky",NA,NA,"1972-05-17T00:00:00+00:00","raymond athey","1d17fdad-d338-4ae0-9232-dbf18eaf9f66"
"00002a7f-0a52-49ef-b485-0cf7a8190125","6e46bb3c-77ef-4b09-9485-80c5f28f5b57","ho 113723","asteraceae","olearia","olearia argophylla (labill.) f.muell. ex benth.","australia","tasmania",148.25,-42.03333,"1985-12-29T00:00:00+00:00","buchanan, a.m.","c55ac6d0-180d-41be-829a-e82898c5ca54"
"00002e5a-1f76-49b3-96ea-d81cd08bb4bb","bra:ufms:cgms:0000058800","58800","asteraceae","gamochaeta","gamochaeta",NA,NA,NA,NA,"2006-09-08","a. pott","e647814d-6975-4b34-b8c4-e79b7ca83085"
"00003115-69dd-484b-a88d-3287d3da16ca","66c18532-41fa-4f38-9c94-e6c7a7f4896e","ad 98116115","asteraceae","olearia","olearia decurrens (dc.) benth.","australia","south australia",136.75,-32.7,"1981-03-10T00:00:00+00:00","mollenmans, f.","c55ac6d0-180d-41be-829a-e82898c5ca54"
"000037cb-edfe-4e35-9977-4a28003ecfc7","c7811dfa-c0aa-466e-b025-3ffe19551b13","6627jwt","asteraceae","senecio","senecio serra","united states","washington",-120.56917,47.46722,"1934-06-26T00:00:00+00:00","j. william thompson","8b0c1f4b-9de7-4521-98c2-983e0bfd33c7"
"00003d58-7d77-431b-a21e-0022915c72b0","032d90b1-ba8b-11e3-8cfe-90b11c41863e","334152","asteraceae","artemisia","artemisia","japan",NA,134.6000061,34.2000008,"2000-10-01T00:00:00+00:00","m ogawa","d7b285d4-2643-45ee-9302-b0c3d51dda5c"
"00003e84-9fb5-42af-8e4d-f2954a78e0ff","http://coldb.mnhn.fr/catalognumber/mnhn/p/p04416247","p04416247","asteraceae","hieracium","hieracium cochleatum norrl.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"000040ea-4a4b-4f3a-bdcd-d51f3326841a","urn:uuid:9d35fbe9-c241-4843-9e23-c3a22ddc0e4c","561419","asteraceae","symphyotrichum","symphyotrichum oolentangiense","united states","minnesota",-93.203997,45.428063,"1959-09-15T00:00:00+00:00","ovington, john","e2def7e2-1455-4856-9823-6d3738417d24"
"000045c0-8092-4b89-a249-47b8cac9f345","6ff12293-33de-495e-ae1d-18d5f2ce37b7","miss0067132","asteraceae","verbesina","verbesina walteri","united states","mississippi",NA,NA,"1970-07-13T00:00:00+00:00","s. b. jones","5e29dbcc-ce45-4f05-9bb0-212baffa8932"
"00004910-238b-44bf-bb3d-e55b0ce4e099","urn:uuid:0f24175b-b406-42ec-b1cb-e4ca372180c8","ll00387694","asteraceae","chaetopappa","chaetopappa bellidifolia","united states","texas",NA,NA,"1957-07-17T00:00:00+00:00","d. s. correll & i. m. johnston","c5b7dae8-b483-4742-9954-d7f9226daa34"
"00004da9-bf8f-4737-9ef5-388e978a9693","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?cas536483&related=yes","cas536483","asteraceae","malacothrix","malacothrix torreyi","united states","california",NA,NA,"1967-07-02T00:00:00+00:00","clare b. hardham","0b17c21a-f7e2-4967-bdf8-60cf9b06c721"
"00004f94-c76d-4226-84d7-71f63d9178b9","bra:uefs:huefs:0000044007","44007","asteraceae","baccharis","baccharis erioclada","brasil","paraná",NA,NA,"1998-08-08","carneiro, j.","341da8fa-d049-46ee-9be8-463043f26fa7"
