"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"galax aphylla","PreservedSpecimen","1960-04-18",NA,"vascularplants","6a942843-3cb1-4643-a475-24df2d2ba49f","united states","haywood","north carolina","Great Smoky Mountains National Park. Big Fork Ridge, south of Cataloochee. Sandy bank along Cataloochee Creek.",NA,NA,"00096f35-7f4a-471a-a8e5-765533c30629",NA,NA,NA,"idigbio",NA,NA,"idigbio",1960-04-18,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"1d328472-3b59-43d8-834c-385410415424","united states","carter","tennessee",NA,NA,NA,"0023d1db-074b-41cc-b74a-36d39bf7ff33",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","alexander","north carolina",NA,NA,NA,"0055fbfa-2378-4add-8641-b0de7f462c3a",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"8583263d-cb31-45a3-80ec-406d3c1dec61","united states",NA,"georgia",NA,NA,NA,"00605d4f-8cd7-40b8-a92e-21479a187423",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"f47e53b3-aa90-449a-87df-64f4d442f687","united states",NA,"virginia",NA,NA,NA,"006c7d6c-86c0-4096-b260-90c517c05300",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"f47e53b3-aa90-449a-87df-64f4d442f687","united states",NA,"virginia",NA,NA,NA,"00845880-3d08-49de-b063-2b1666b356a3",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"f47e53b3-aa90-449a-87df-64f4d442f687","united states",NA,"virginia",NA,NA,NA,"011c1cd9-f6a7-4276-af60-2ade6add0982",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"512d3c7f-fb50-4ef3-b2fd-4e1847b513fc",NA,NA,NA,NA,NA,NA,"0156ae79-501b-4534-a0c1-3646d576ff19",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax aphylla","PreservedSpecimen","1981-05-02",NA,NA,"ccdaf43a-6c0d-45b3-8cba-41c62b6c6873","united states","transylvania","north carolina","Brevard",35.233447,-82.734292,"017393aa-66fc-40c8-9c0d-721094b5e057","4514",NA,NA,"idigbio",35.233447,-82.734292,"idigbio",1981-05-02,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,"vascular plants","17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","macon","north carolina",NA,NA,NA,"01778493-dc30-4a2b-b7c9-9a6fda4cd986",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferenceRemarks, habitat",NA,"idigbio",NA,NA,"idigbio",1975-05-01,"galax urceolata"
"galax urceolata","PreservedSpecimen","1997-05-13",NA,NA,"c8f35b21-bd08-49a4-97a8-4328d4a0e1d9","united states","whitley","kentucky",NA,36.8333333,-84.3333333,"018211d3-6c31-415b-8954-bf2e06962934",NA,NA,NA,"idigbio",36.8333333,-84.3333333,"idigbio",1997-05-13,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"d77760fa-0a9d-469a-a49f-6c8d519dadc6","united states","macon","north carolina",NA,NA,NA,"01b93580-d71d-43ec-b07b-a9602e90d7d8",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,"v","f5da8b4f-e389-4436-b71d-1c3e0a4baacc","united states",NA,"tennessee",NA,NA,NA,"01eddf10-4658-422c-aafa-af6320c9aa54",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"024f44f2-a2f5-4daa-b306-c11efb5aa4d0","united states","ashe","north carolina",NA,NA,NA,"020d9e49-fd16-42d0-9b13-9ecc48815c49",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen","1967-10-25",NA,NA,"fbad47d8-6a83-4e5c-bbfc-625c2516f81a","united states","blount","tennessee",NA,NA,NA,"0274c566-27b4-4703-846a-8be8d04cf72e",NA,NA,NA,"idigbio",NA,NA,"idigbio",1967-10-25,"galax urceolata"
"galax urceolata","PreservedSpecimen","1938-06-04",NA,NA,"urn:lsid:biocol.org:col:15610","united states","elbert county","georgia","Elbert County, GA",NA,NA,"0290bf8f-1c3c-48a6-97ac-939479cbcfcc",NA,NA,NA,"idigbio",NA,NA,"idigbio",1938-06-04,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"urn:lsid:biocol.org:col:15610","united states","transylvania county","north carolina",NA,NA,NA,"02dbd499-5bea-4332-949b-6e66f301081a",NA,"field values redacted: locality",NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,"urn:lsid:biocol.org:col:15463","us","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","united states","jackson co.","north carolina",NA,NA,NA,"02de5661-1b24-4b35-97e6-c265e76715d5",NA,NA,NA,"idigbio",NA,NA,"idigbio",2010-09-16,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,"university of florida herbarium",NA,NA,"united states","moore","north carolina",NA,35.1536,-79.3685,"02e541f0-6844-4ca8-bc44-68efd9336cfd",NA,"location information not given for endangered species",NA,"idigbio",35.1536,-79.3685,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"5082277f-dd49-4b22-9e2d-746d2fb233b4","united states","giles","virginia",NA,NA,NA,"02fecfb1-ae21-4659-9f35-ec1b3643cd6f",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,"vascular plants","17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","wilkes","north carolina",NA,NA,NA,"035e754e-4fea-4d68-8b47-844dc9893bf9",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"8096c73b-8c2c-4a78-8cef-24ba658a259a","united states",NA,"virginia",NA,NA,NA,"03c2d964-4025-43d8-bd6a-923d82e9feab",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax aphylla","PreservedSpecimen","1996-07-17",NA,NA,"0fdd3b88-7ca2-48ad-92e0-23e26acec000","united states","union","georgia","Along the Appalachian Trail, ca .5 mi W of Neels Gap & Hwy 19. Elev. ca 3108 ft.",NA,NA,"03fd5be9-fb32-48f2-a480-a59b986e116a",NA,NA,"Mixed 2nd growth oak-kalmia woods.","idigbio",NA,NA,"idigbio",1996-07-17,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"b01784c6-c5d7-11e4-b6af-00163e00498d","united states","cocke","tennessee",NA,NA,NA,"0419c82c-29a2-4e5f-8d1e-20abe1cc38cf",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, habitat",NA,"idigbio",NA,NA,"idigbio",1999-10-09,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,"botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","united states","macon","north carolina",NA,NA,NA,"042e26be-a582-43a6-b685-10f584fda5d6",NA,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferencedBy, georeferenceSources, habitat",NA,"idigbio",NA,NA,"idigbio",1974-10-31,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,"vascular plants","17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","alleghany","north carolina",NA,NA,NA,"045f7dec-f930-4ee7-8adb-9bf392d327bc",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","Physical specimen",NA,NA,NA,"f5306a80-6eea-437a-b681-f1140a6d86f7","united states","translyvania","north carolina",NA,NA,NA,"046f4ddf-c380-464a-afdf-a48f178e714b",NA,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, verbatimElevation, decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters, verbatimCoordinates",NA,"idigbio",NA,NA,"idigbio",1959-11-05,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","orange","north carolina",NA,NA,NA,"04d49f3c-f50f-4426-a966-0650b68819aa",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1913-01-14,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","rabun","georgia",NA,NA,NA,"04da8136-13cd-4054-9046-0da690c918ee",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","jackson","north carolina",NA,NA,NA,"04fc4108-b1db-4033-b1ca-f5139d2d813b",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1977-03-14,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","wake","north carolina",NA,NA,NA,"0511828f-c731-420f-bc36-14d4c2252459",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax aphylla","PreservedSpecimen","2006-06-08",NA,"main","a13355a1-1ccc-46d9-9672-521d8d668804","united states","pickens county","south carolina","Pickens",NA,NA,"053186e7-65b2-4ced-978e-d6eac74bf574",NA,NA,"Near headwaters of Eastatoe Creek off Highway 178 Rich mafic slope","idigbio",NA,NA,"idigbio",2006-06-08,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,NA,"vascular plants","17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","cumberland","north carolina",NA,NA,NA,"054f49c9-3c43-4aa4-ba77-2eff308bb6a6",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,"botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","united states","yancey","north carolina",NA,NA,NA,"0554117b-5984-44a5-b203-6c3388c1af37",NA,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, verbatimCoordinates",NA,"idigbio",NA,NA,"idigbio",1953-10-31,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,"vascular plants","17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","davidson","north carolina",NA,NA,NA,"0575974d-1807-403f-a561-8da5a8b5733f",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,NA,"v","f5da8b4f-e389-4436-b71d-1c3e0a4baacc","united states","madison","north carolina",NA,NA,NA,"059d2bac-f458-4ea9-80fc-a0fe85e8080f",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","wake","north carolina",NA,NA,NA,"059e8b68-040d-4a1d-9901-b0b38f1781d4",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"2bed6ae5-afde-45bb-95a9-c4918414f02d","united states","watauga","north carolina",NA,NA,NA,"05bad93d-aa87-4f3a-a6c7-b32e247524a9",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
