"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera barbulata","observation","2017-03-25","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US","Pender","North Carolina","Pender County, NC, USA",34.530952,-77.72489,"1457588221",NA,NA,NA,"bison",34.530953,-77.724892,"gbif",2017-03-25,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata","observation","2017-03-25","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US","Pender","North Carolina","Pender County, NC, USA",34.530952,-77.72489,"1457588221",NA,NA,NA,"bison",34.530952,-77.72489,"bison",2017-03-25,"Pyxidanthera barbulata"
"Pyxidanthera barbulata","unknown","1989-03-01","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Chesterfield","South Carolina",NA,34.63978,-80.158714,"1274086632",NA,NA,NA,"bison",NA,NA,"gbif",1989-03-01,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata","unknown","1989-03-01","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Chesterfield","South Carolina",NA,34.63978,-80.158714,"1274086632",NA,NA,NA,"bison",34.63978,-80.158714,"bison",1989-03-01,"Pyxidanthera barbulata"
"Pyxidanthera barbulata","specimen","1976-05-14","http://www.ipa.br/novo/","Instituto Agronômico de Pernambuco","http://ipt1.cria.org.br/ipt/resource?r=ipa","US",NA,"New Jersey","margem da estrada.",NA,NA,"1077545306",NA,NA,NA,"bison",NA,NA,"gbif",1976-05-14,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata","specimen","1976-05-14","http://www.ipa.br/novo/","Instituto Agronômico de Pernambuco","http://ipt1.cria.org.br/ipt/resource?r=ipa","US",NA,"New Jersey","margem da estrada.",NA,NA,"1077545306",NA,NA,NA,"bison",NA,NA,"bison",1976-05-14,"Pyxidanthera barbulata"
"Pyxidanthera barbulata","specimen","2000-10-07",NA,"GBIF-Sweden","http://www.gbif.se/ipt/resource.do?r=s-fbo","US",NA,"New Jersey","USA, New Jersey, Pine Barrens.",38.8,-74.4,"1096598356",NA,NA,NA,"bison",38.8,-74.4,"gbif",2000-10-07,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata","specimen","2000-10-07",NA,"GBIF-Sweden","http://www.gbif.se/ipt/resource.do?r=s-fbo","US",NA,"New Jersey","USA, New Jersey, Pine Barrens.",38.8,-74.4,"1096598356",NA,NA,NA,"bison",38.8,-74.4,"bison",2000-10-07,"Pyxidanthera barbulata"
"Pyxidanthera barbulata","specimen",NA,"http://www.nmnh.si.edu/","National Museum of Natural History, Smithsonian Institution","http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a","US",NA,"North Carolina","Bolton, Columbus Co.",NA,NA,"2235847491",NA,NA,NA,"bison",NA,NA,"gbif",NA,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata","specimen",NA,"http://www.nmnh.si.edu/","National Museum of Natural History, Smithsonian Institution","http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a","US",NA,"North Carolina","Bolton, Columbus Co.",NA,NA,"2235847491",NA,NA,NA,"bison",NA,NA,"bison",NA,"Pyxidanthera barbulata"
"Pyxidanthera barbulata","specimen","1892-05-01","http://www.nmnh.si.edu/","National Museum of Natural History, Smithsonian Institution","http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a","US",NA,"New Jersey","New Jersey Pine barrens.",NA,NA,"2235917824",NA,NA,NA,"bison",NA,NA,"gbif",1892-05-01,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata","specimen","1892-05-01","http://www.nmnh.si.edu/","National Museum of Natural History, Smithsonian Institution","http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a","US",NA,"New Jersey","New Jersey Pine barrens.",NA,NA,"2235917824",NA,NA,NA,"bison",NA,NA,"bison",1892-05-01,"Pyxidanthera barbulata"
"Pyxidanthera barbulata","observation","2018-02-28","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US",NA,"North Carolina","North Carolina, US",34.43661,-77.29227,"2529265023","28818.0",NA,NA,"bison",34.436611,-77.29227,"gbif",2018-02-28,"Pyxidanthera barbulata Michx."
