"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera brevifolia","observation","1996-10-16","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Cumberland","North Carolina",NA,35.04859,-78.82744,"1274648376",NA,NA,NA,"bison",NA,NA,"gbif",1996-10-16,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","observation","1996-10-16","http://www.natureserve.org","NatureServe","http://services.natureserve.org/ipt/resource.do?r=occurrences","US","Cumberland","North Carolina",NA,35.04859,-78.82744,"1274648376",NA,NA,NA,"bison",35.04859,-78.82744,"bison",1996-10-16,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation",NA,"https://bison.usgs.gov","BISON","https://plants.sc.egov.usda.gov",NA,"Moore","North Carolina",NA,35.310722,-79.48131,"2735820746",NA,NA,NA,"bison",35.310722,-79.48131,"bison",NA,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation",NA,"https://bison.usgs.gov","BISON","https://plants.sc.egov.usda.gov",NA,"Darlington","South Carolina",NA,34.33235,-79.957695,"2735820747",NA,NA,NA,"bison",34.33235,-79.957695,"bison",NA,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation",NA,"https://bison.usgs.gov","BISON","https://plants.sc.egov.usda.gov",NA,"Harnett","North Carolina",NA,35.3686,-78.869316,"2735820748",NA,NA,NA,"bison",35.3686,-78.869316,"bison",NA,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","1993-06-16","https://bison.usgs.gov","BISON","https://bison.usgs.gov/ipt/resource?r=vegbank-carolina-survey","US","Chesterfield","South Carolina",NA,34.58463,-80.21299,"2641858829","50m",NA,NA,"bison",34.58463,-80.21299,"bison",1993-06-16,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","1993-06-16","https://bison.usgs.gov","BISON","https://bison.usgs.gov/ipt/resource?r=vegbank-carolina-survey","US","Chesterfield","South Carolina",NA,34.58563,-80.21331,"2641968679","50m",NA,NA,"bison",34.58563,-80.21331,"bison",1993-06-16,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","1989-06-01","https://bison.usgs.gov","BISON","https://bison.usgs.gov/ipt/resource?r=vegbank-carolina-survey","US","Hoke","North Carolina",NA,35.13303,-79.27603,"2641991783","200m",NA,NA,"bison",35.13303,-79.27603,"bison",1989-06-01,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","1990-06-13","https://bison.usgs.gov","BISON","https://bison.usgs.gov/ipt/resource?r=vegbank-carolina-survey","US","Hoke","North Carolina",NA,35.09189,-79.2362,"2641992625","10m",NA,NA,"bison",35.09189,-79.2362,"bison",1990-06-13,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","1927-06-15","http://www.nybg.org/","The New York Botanical Garden","http://sweetgum.nybg.org:8080/ipt/resource?r=idigbio_mysql","US",NA,"North Carolina","Near Spout Springs",NA,NA,"1929074115",NA,NA,NA,"bison",NA,NA,"gbif",1927-06-15,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","1927-06-15","http://www.nybg.org/","The New York Botanical Garden","http://sweetgum.nybg.org:8080/ipt/resource?r=idigbio_mysql","US",NA,"North Carolina","Near Spout Springs",NA,NA,"1929074115",NA,NA,NA,"bison",NA,NA,"bison",1927-06-15,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571251260",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-24,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571251260",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-24,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571259347",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-25,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571259347",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-25,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571276785",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-24,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571276785",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-24,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571285012",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-24,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571285012",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-24,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571294356",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-25,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571294356",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-25,"Pyxidanthera brevifolia"
