"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","ID","name","basis"
NA,"united states","north carolina",NA,NA,NA,"","","","","007fb007-6bec-4226-8492-a06ac02f0ab3","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina",NA,NA,NA,"","","","","00837767-f0ac-4ad3-a9a5-19f852a64b39","shortia galacifolia","PreservedSpecimen"
"Highlands Biological Station, Highlands","united states","north carolina","macon",NA,NA,"","","","","01248009-632b-4a8d-a103-ad02a4877be8","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","unspecified county",NA,NA,"","","","","017d98b4-292f-4e80-9166-d620dd46c538","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","02045ff9-03fe-4ab4-9ae5-7d81f4eca941","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","023a0aeb-bd03-45e1-880a-35fdaa1dc5c2","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","048907d3-06a5-4046-a035-e094b5576b6c","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","04c58b44-1534-41f3-a36c-17c99c439cce","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","04d722c7-0af7-4497-a292-2394b2d6c258","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","08b4930b-b4e3-423f-9b85-2f3f5b87eaf1","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","09119127-051c-4a15-8b22-de481b7154ae","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","0b177f92-6289-4ecd-926c-cf000a673f0d","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","0b2011b8-af76-4a53-a30e-83868880058b","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","0b763fee-e3e6-4a57-9eab-5f8a2417d30d","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","0d6ed1ed-511c-4887-ac7e-ffdaa8cb67fb","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","0e109173-f821-4c3c-b011-c1d19a405766","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","0f79c282-7df3-41e2-ac5f-e2348f701b46","shortia galacifolia","PreservedSpecimen"
"The New York Botanical Garden. Plants of Biltmore, North Carolina.","united states","north carolina","buncombe",NA,NA,"","","","","0ff03b9a-6a98-46e1-8904-41407a80536b","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","1012a444-fc97-4c13-8a6e-3682eebd61a4","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","1038e691-ce6b-4241-870d-9220f6c209bd","shortia galacifolia","PreservedSpecimen"
"Cultivated New York, Nassau County, Sands Point, Creem property","united states","new york","nassau",NA,NA,"","","","","1170b4ec-4fea-408a-bf0f-16406e503ce8","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee co.",NA,NA,"","","","","137f2a53-0652-4c99-8974-1d01ff3a9f54","shortia galacifolia","PreservedSpecimen"
"On Joe McNulty's road below Fish Hatchery on both sides of stream beginning at road. This is the first branch crossed on McNulty's road from Fish Hatchery road. Shortia comes to the road here on both sides and can be pcked from the road on the up side, and goes up and down for hundreds of yards. Mr. Townsend says at least 1/2 mi. up - has never followed it far down.","united states","north carolina","mcdowell",NA,NA,"","","","","13a83c6b-988c-4b5b-8e94-7ecbe4a98369","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","13f56a06-0970-4350-8f9b-d6ef4307e63c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","14076473-354a-4f71-b76d-d2fd2636992a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","141a7d6d-09cb-4823-bb01-42f14e0103b9","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","146e5f41-49e9-4a3c-9858-e6b3fb460244","shortia galacifolia","PreservedSpecimen"
"No locality given.","united states","south carolina",NA,NA,NA,"","","","","14740e4c-b155-477d-91e0-5d46b210cc1d","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","15391053-7f97-495c-bcd7-7398cab1b7c5","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","157b5f7c-1e67-4d39-9934-cddf457bb423","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","160e2ac1-452d-4238-a5b2-5dda659f1fad","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","1629a68c-857e-47bf-a00f-69797c70377f","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","17947776-eb9d-42e5-b3e5-633ad7c9e149","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","18b9d374-3615-4af7-a7a4-86b2a3cf1297","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","1ccd2202-3bef-460f-b28e-ac0079cfb85a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","1e63154b-eb5d-4b6f-b11b-3c6d4ac5bc96","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","1e787942-d8fe-4723-a85a-0ac2e8e3aa0b","shortia galacifolia","PreservedSpecimen"
NA,"united states","tennessee","polk",NA,NA,"","","","","1eb79421-026d-4aeb-bdb5-5960e272b144","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","spartanburg",NA,NA,"","","","","1f3ff4cd-e7ff-4cba-97f7-6df9a736d579","shortia galacifolia","PreservedSpecimen"
