"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4034795793","https://www.inaturalist.org/observations/148738186","HUMAN_OBSERVATION","2023-02-13T13:57:26","2023","2","13","iNaturalist","Ashwin Srinivasan","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.00126,-79.340414,"28734","Coordinate uncertainty increased to 28734m to protect threatened taxon",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4039407852","https://www.inaturalist.org/observations/148793584","HUMAN_OBSERVATION","2023-02-14T17:32:40","2023","2","14","iNaturalist","Samuel Cannon","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.069902,-79.371265,"28734","Coordinate uncertainty increased to 28734m to protect threatened taxon",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4039386818","https://www.inaturalist.org/observations/148871336","HUMAN_OBSERVATION","2023-02-15T16:49:00","2023","2","15","iNaturalist","Will Stuart","United States of America",NA,"South Carolina","locality:  NA, occurrenceRemarks: A number of patches showing many open blossoms on 2/15/2023. Carolina Sandhills NWR, McBee, SC., verbatimLocality: Chesterfield County, US-SC, US",34.596226,-80.230115,"28818","Coordinate uncertainty increased to 28818m to protect threatened taxon",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4046694027","https://www.inaturalist.org/observations/149602910","HUMAN_OBSERVATION","2023-02-24T16:41:31","2023","2","24","iNaturalist","Brandon Wheeler","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.003722,-79.361319,"28734","Coordinate uncertainty increased to 28734m to protect threatened taxon",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4046330934","https://www.inaturalist.org/observations/149602921","HUMAN_OBSERVATION","2023-02-24T16:50:53","2023","2","24","iNaturalist","Brandon Wheeler","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.131982,-79.398748,"28734","Coordinate uncertainty increased to 28734m to protect threatened taxon",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4046616087","https://www.inaturalist.org/observations/149676128","HUMAN_OBSERVATION","2023-02-24T17:29:00","2023","2","24","iNaturalist","gman122","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.066846,-79.244109,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4046228130","https://www.inaturalist.org/observations/149689237","HUMAN_OBSERVATION","2023-02-25T17:54:03","2023","2","25","iNaturalist","Brandon Wheeler","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.230788,-79.186031,"28706","Coordinate uncertainty increased to 28706m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4046327094","https://www.inaturalist.org/observations/149689245","HUMAN_OBSERVATION","2023-02-25T17:54:51","2023","2","25","iNaturalist","Brandon Wheeler","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.370036,-79.097527,"28706","Coordinate uncertainty increased to 28706m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4054994582","https://www.inaturalist.org/observations/149939917","HUMAN_OBSERVATION","2023-02-28T14:41:58","2023","2","28","iNaturalist","cgdana","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.019521,-78.903529,"28734","Coordinate uncertainty increased to 28734m to protect threatened taxon",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"4062890182","https://www.inaturalist.org/observations/150982507","HUMAN_OBSERVATION","2023-03-04T12:36:52","2023","3","4","iNaturalist","Keith Bradley","United States of America",NA,"South Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Chesterfield County, US-SC, US",34.500576,-80.300697,"28818","Coordinate uncertainty increased to 28818m to protect threatened taxon",NA,"GBIF"
